INT,STRING,INT,INT,INT,INT,INT,INT,INT,INT
INDEX,NAME,ROLE_ID,ROLE_LEVEL,PET1,PET1_LEVEL,PET2,PET2_LEVEL,PET3,PET3_LEVEL
0,角色名,主角ID,主角等级,宠物1类型,宠物1等级,,,,
1,,190000,18,4,18,4,15,4,18
2,,190001,17,4,17,4,16,4,15
3,,190002,16,4,16,4,17,4,17
4,,191000,15,4,15,4,18,4,16
5,,191001,18,4,18,4,15,4,18
6,,191002,17,4,17,4,16,4,15
7,,190000,16,4,16,4,17,4,17
8,,190001,15,4,15,4,18,4,16
9,,190002,18,4,18,4,15,4,18
10,,191000,17,4,17,4,16,4,15
11,,191001,16,4,16,4,17,4,17
12,,191002,15,4,15,4,18,4,16
13,,190000,18,4,18,4,15,4,18
14,,190001,17,4,17,4,16,4,15
15,,190002,16,4,16,4,17,4,17
16,,191000,15,4,15,4,18,4,16
17,,191001,18,4,18,4,15,4,18
18,,191002,17,4,17,4,16,4,15
19,,190000,16,4,16,4,17,4,17
20,,190001,15,4,15,4,18,4,16
21,,190002,18,4,18,4,15,4,18
22,,191000,17,4,17,4,16,4,15
23,,191001,16,4,16,4,17,4,17
24,,191002,15,4,15,4,18,4,16
25,,190000,18,4,18,4,15,4,18
26,,190001,17,4,17,4,16,4,15
27,,190002,16,4,16,4,17,4,17
28,,191000,15,4,15,4,18,4,16
29,,191001,18,4,18,4,15,4,18
30,,191002,17,4,17,4,16,4,15
31,,190000,16,4,16,4,17,4,17
32,,190001,15,4,15,4,18,4,16
33,,190002,18,4,18,4,15,4,18
34,,191000,17,4,17,4,16,4,15
35,,191001,16,4,16,4,17,4,17
36,,191002,15,4,15,4,18,4,16
37,,190000,18,4,18,4,15,4,18
38,,190001,17,4,17,4,16,4,15
39,,190002,16,4,16,4,17,4,17
40,,191000,15,4,15,4,18,4,16
41,,191001,18,4,18,4,15,4,18
42,,191002,17,4,17,4,16,4,15
43,,190000,16,4,16,4,17,4,17
44,,190001,15,4,15,4,18,4,16
45,,190002,18,4,18,4,15,4,18
46,,191000,17,4,17,4,16,4,15
47,,191001,16,4,16,4,17,4,17
48,,191002,15,4,15,4,18,4,16
49,,190000,18,4,18,4,15,4,18
50,,190001,17,4,17,4,16,4,15
51,,190002,16,4,16,4,17,4,17
52,,191000,15,4,15,4,18,4,16
53,,191001,18,4,18,4,15,4,18
54,,191002,17,4,17,4,16,4,15
55,,190000,16,4,16,4,17,4,17
56,,190001,15,4,15,4,18,4,16
57,,190002,18,4,18,4,15,4,18
58,,191000,17,4,17,4,16,4,15
59,,191001,16,4,16,4,17,4,17
60,,191002,15,4,15,4,18,4,16
61,,190000,18,4,18,4,15,4,18
62,,190001,17,4,17,4,16,4,15
63,,190002,16,4,16,4,17,4,17
64,,191000,15,4,15,4,18,4,16
65,,191001,18,4,18,4,15,4,18
66,,191002,17,4,17,4,16,4,15
67,,190000,16,4,16,4,17,4,17
68,,190001,15,4,15,4,18,4,16
69,,190002,18,4,18,4,15,4,18
70,,191000,17,4,17,4,16,4,15
71,,191001,16,4,16,4,17,4,17
72,,191002,15,4,15,4,18,4,16
73,,190000,18,4,18,4,15,4,18
74,,190001,17,4,17,4,16,4,15
75,,190002,16,4,16,4,17,4,17
76,,191000,15,4,15,4,18,4,16
77,,191001,18,4,18,4,15,4,18
78,,191002,17,4,17,4,16,4,15
79,,190000,16,4,16,4,17,4,17
80,,190001,15,4,15,4,18,4,16
81,,190002,18,4,18,4,15,4,18
82,,191000,17,4,17,4,16,4,15
83,,191001,16,4,16,4,17,4,17
84,,191002,15,4,15,4,18,4,16
85,,190000,18,4,18,4,15,4,18
86,,190001,17,4,17,4,16,4,15
87,,190002,16,4,16,4,17,4,17
88,,191000,15,4,15,4,18,4,16
89,,191001,18,4,18,4,15,4,18
90,,191002,17,4,17,4,16,4,15
91,,190000,16,4,16,4,17,4,17
92,,190001,15,4,15,4,18,4,16
93,,190002,18,4,18,4,15,4,18
94,,191000,17,4,17,4,16,4,15
95,,191001,16,4,16,4,17,4,17
96,,191002,15,4,15,4,18,4,16
97,,190000,18,4,18,4,15,4,18
98,,190001,17,4,17,4,16,4,15
99,,190002,16,4,16,4,17,4,17
100,,191000,15,4,15,4,18,4,16
101,,191001,18,4,18,4,15,4,18
102,,191002,17,4,17,4,16,4,15
103,,190000,16,4,16,4,17,4,17
104,,190001,15,4,15,4,18,4,16
105,,190002,18,4,18,4,15,4,18
106,,191000,17,4,17,4,16,4,15
107,,191001,16,4,16,4,17,4,17
108,,191002,15,4,15,4,18,4,16
109,,190000,18,4,18,4,15,4,18
110,,190001,17,4,17,4,16,4,15
111,,190002,16,4,16,4,17,4,17
112,,191000,15,4,15,4,18,4,16
113,,191001,18,4,18,4,15,4,18
114,,191002,17,4,17,4,16,4,15
115,,190000,16,4,16,4,17,4,17
116,,190001,15,4,15,4,18,4,16
117,,190002,18,4,18,4,15,4,18
118,,191000,17,4,17,4,16,4,15
119,,191001,16,4,16,4,17,4,17
120,,191002,15,4,15,4,18,4,16
121,,190000,18,4,18,4,15,4,18
122,,190001,17,4,17,4,16,4,15
123,,190002,16,4,16,4,17,4,17
124,,191000,15,4,15,4,18,4,16
125,,191001,18,4,18,4,15,4,18
126,,191002,17,4,17,4,16,4,15
127,,190000,16,4,16,4,17,4,17
128,,190001,15,4,15,4,18,4,16
129,,190002,18,4,18,4,15,4,18
130,,191000,17,4,17,4,16,4,15
131,,191001,16,4,16,4,17,4,17
132,,191002,15,4,15,4,18,4,16
133,,190000,18,4,18,4,15,4,18
134,,190001,17,4,17,4,16,4,15
135,,190002,16,4,16,4,17,4,17
136,,191000,15,4,15,4,18,4,16
137,,191001,18,4,18,4,15,4,18
138,,191002,17,4,17,4,16,4,15
139,,190000,16,4,16,4,17,4,17
140,,190001,15,4,15,4,18,4,16
141,,190002,18,4,18,4,15,4,18
142,,191000,17,4,17,4,16,4,15
143,,191001,16,4,16,4,17,4,17
144,,191002,15,4,15,4,18,4,16
145,,190000,18,4,18,4,15,4,18
146,,190001,17,4,17,4,16,4,15
147,,190002,16,4,16,4,17,4,17
148,,191000,15,4,15,4,18,4,16
149,,191001,18,4,18,4,15,4,18
150,,191002,17,4,17,4,16,4,15
151,,190000,16,4,16,4,17,4,17
152,,190001,15,4,15,4,18,4,16
153,,190002,18,4,18,4,15,4,18
154,,191000,17,4,17,4,16,4,15
155,,191001,16,4,16,4,17,4,17
156,,191002,15,4,15,4,18,4,16
157,,190000,18,4,18,4,15,4,18
158,,190001,17,4,17,4,16,4,15
159,,190002,16,4,16,4,17,4,17
160,,191000,15,4,15,4,18,4,16
161,,191001,18,4,18,4,15,4,18
162,,191002,17,4,17,4,16,4,15
163,,190000,16,4,16,4,17,4,17
164,,190001,15,4,15,4,18,4,16
165,,190002,18,4,18,4,15,4,18
166,,191000,17,4,17,4,16,4,15
167,,191001,16,4,16,4,17,4,17
168,,191002,15,4,15,4,18,4,16
169,,190000,18,4,18,4,15,4,18
170,,190001,17,4,17,4,16,4,15
171,,190002,16,4,16,4,17,4,17
172,,191000,15,4,15,4,18,4,16
173,,191001,18,4,18,4,15,4,18
174,,191002,17,4,17,4,16,4,15
175,,190000,16,4,16,4,17,4,17
176,,190001,15,4,15,4,18,4,16
177,,190002,18,4,18,4,15,4,18
178,,191000,17,4,17,4,16,4,15
179,,191001,16,4,16,4,17,4,17
180,,191002,15,4,15,4,18,4,16
181,,190000,18,4,18,4,15,4,18
182,,190001,17,4,17,4,16,4,15
183,,190002,16,4,16,4,17,4,17
184,,191000,15,4,15,4,18,4,16
185,,191001,18,4,18,4,15,4,18
186,,191002,17,4,17,4,16,4,15
187,,190000,16,4,16,4,17,4,17
188,,190001,15,4,15,4,18,4,16
189,,190002,18,4,18,4,15,4,18
190,,191000,17,4,17,4,16,4,15
191,,191001,16,4,16,4,17,4,17
192,,191002,15,4,15,4,18,4,16
193,,190000,18,4,18,4,15,4,18
194,,190001,17,4,17,4,16,4,15
195,,190002,16,4,16,4,17,4,17
196,,191000,15,4,15,4,18,4,16
197,,191001,18,4,18,4,15,4,18
198,,191002,17,4,17,4,16,4,15
199,,190000,16,4,16,4,17,4,17
200,,190001,15,4,15,4,18,4,16
201,,190002,15,4,15,4,10,4,15
202,,191000,14,4,14,4,11,3,10
203,,191001,13,4,13,3,12,3,14
204,,191002,12,3,12,3,13,3,11
205,,190000,11,4,11,4,14,4,13
206,,190001,10,4,10,4,15,3,12
207,,190002,15,4,15,3,10,3,15
208,,191000,14,3,14,3,11,3,10
209,,191001,13,4,13,4,12,4,14
210,,191002,12,4,12,4,13,3,11
211,,190000,11,4,11,3,14,3,13
212,,190001,10,3,10,3,15,3,12
213,,190002,15,4,15,4,10,4,15
214,,191000,14,4,14,4,11,3,10
215,,191001,13,4,13,3,12,3,14
216,,191002,12,3,12,3,13,3,11
217,,190000,11,4,11,4,14,4,13
218,,190001,10,4,10,4,15,3,12
219,,190002,15,4,15,3,10,3,15
220,,191000,14,3,14,3,11,3,10
221,,191001,13,4,13,4,12,4,14
222,,191002,12,4,12,4,13,3,11
223,,190000,11,4,11,3,14,3,13
224,,190001,10,3,10,3,15,3,12
225,,190002,15,4,15,4,10,4,15
226,,191000,14,4,14,4,11,3,10
227,,191001,13,4,13,3,12,3,14
228,,191002,12,3,12,3,13,3,11
229,,190000,11,4,11,4,14,4,13
230,,190001,10,4,10,4,15,3,12
231,,190002,15,4,15,3,10,3,15
232,,191000,14,3,14,3,11,3,10
233,,191001,13,4,13,4,12,4,14
234,,191002,12,4,12,4,13,3,11
235,,190000,11,4,11,3,14,3,13
236,,190001,10,3,10,3,15,3,12
237,,190002,15,4,15,4,10,4,15
238,,191000,14,4,14,4,11,3,10
239,,191001,13,4,13,3,12,3,14
240,,191002,12,3,12,3,13,3,11
241,,190000,11,4,11,4,14,4,13
242,,190001,10,4,10,4,15,3,12
243,,190002,15,4,15,3,10,3,15
244,,191000,14,3,14,3,11,3,10
245,,191001,13,4,13,4,12,4,14
246,,191002,12,4,12,4,13,3,11
247,,190000,11,4,11,3,14,3,13
248,,190001,10,3,10,3,15,3,12
249,,190002,15,4,15,4,10,4,15
250,,191000,14,4,14,4,11,3,10
251,,191001,13,4,13,3,12,3,14
252,,191002,12,3,12,3,13,3,11
253,,190000,11,4,11,4,14,4,13
254,,190001,10,4,10,4,15,3,12
255,,190002,15,4,15,3,10,3,15
256,,191000,14,3,14,3,11,3,10
257,,191001,13,4,13,4,12,4,14
258,,191002,12,4,12,4,13,3,11
259,,190000,11,4,11,3,14,3,13
260,,190001,10,3,10,3,15,3,12
261,,190002,15,4,15,4,10,4,15
262,,191000,14,4,14,4,11,3,10
263,,191001,13,4,13,3,12,3,14
264,,191002,12,3,12,3,13,3,11
265,,190000,11,4,11,4,14,4,13
266,,190001,10,4,10,4,15,3,12
267,,190002,15,4,15,3,10,3,15
268,,191000,14,3,14,3,11,3,10
269,,191001,13,4,13,4,12,4,14
270,,191002,12,4,12,4,13,3,11
271,,190000,11,4,11,3,14,3,13
272,,190001,10,3,10,3,15,3,12
273,,190002,15,4,15,4,10,4,15
274,,191000,14,4,14,4,11,3,10
275,,191001,13,4,13,3,12,3,14
276,,191002,12,3,12,3,13,3,11
277,,190000,11,4,11,4,14,4,13
278,,190001,10,4,10,4,15,3,12
279,,190002,15,4,15,3,10,3,15
280,,191000,14,3,14,3,11,3,10
281,,191001,13,4,13,4,12,4,14
282,,191002,12,4,12,4,13,3,11
283,,190000,11,4,11,3,14,3,13
284,,190001,10,3,10,3,15,3,12
285,,190002,15,4,15,4,10,4,15
286,,191000,14,4,14,4,11,3,10
287,,191001,13,4,13,3,12,3,14
288,,191002,12,3,12,3,13,3,11
289,,190000,11,4,11,4,14,4,13
290,,190001,10,4,10,4,15,3,12
291,,190002,15,4,15,3,10,3,15
292,,191000,14,3,14,3,11,3,10
293,,191001,13,4,13,4,12,4,14
294,,191002,12,4,12,4,13,3,11
295,,190000,11,4,11,3,14,3,13
296,,190001,10,3,10,3,15,3,12
297,,190002,15,4,15,4,10,4,15
298,,191000,14,4,14,4,11,3,10
299,,191001,13,4,13,3,12,3,14
300,,191002,12,3,12,3,13,3,11
301,,190000,11,4,11,4,14,4,13
302,,190001,10,4,10,4,15,3,12
303,,190002,15,4,15,3,10,3,15
304,,191000,14,3,14,3,11,3,10
305,,191001,13,4,13,4,12,4,14
306,,191002,12,4,12,4,13,3,11
307,,190000,11,4,11,3,14,3,13
308,,190001,10,3,10,3,15,3,12
309,,190002,15,4,15,4,10,4,15
310,,191000,14,4,14,4,11,3,10
311,,191001,13,4,13,3,12,3,14
312,,191002,12,3,12,3,13,3,11
313,,190000,11,4,11,4,14,4,13
314,,190001,10,4,10,4,15,3,12
315,,190002,15,4,15,3,10,3,15
316,,191000,14,3,14,3,11,3,10
317,,191001,13,4,13,4,12,4,14
318,,191002,12,4,12,4,13,3,11
319,,190000,11,4,11,3,14,3,13
320,,190001,10,3,10,3,15,3,12
321,,190002,15,4,15,4,10,4,15
322,,191000,14,4,14,4,11,3,10
323,,191001,13,4,13,3,12,3,14
324,,191002,12,3,12,3,13,3,11
325,,190000,11,4,11,4,14,4,13
326,,190001,10,4,10,4,15,3,12
327,,190002,15,4,15,3,10,3,15
328,,191000,14,3,14,3,11,3,10
329,,191001,13,4,13,4,12,4,14
330,,191002,12,4,12,4,13,3,11
331,,190000,11,4,11,3,14,3,13
332,,190001,10,3,10,3,15,3,12
333,,190002,15,4,15,4,10,4,15
334,,191000,14,4,14,4,11,3,10
335,,191001,13,4,13,3,12,3,14
336,,191002,12,3,12,3,13,3,11
337,,190000,11,4,11,4,14,4,13
338,,190001,10,4,10,4,15,3,12
339,,190002,15,4,15,3,10,3,15
340,,191000,14,3,14,3,11,3,10
341,,191001,13,4,13,4,12,4,14
342,,191002,12,4,12,4,13,3,11
343,,190000,11,4,11,3,14,3,13
344,,190001,10,3,10,3,15,3,12
345,,190002,15,4,15,4,10,4,15
346,,191000,14,4,14,4,11,3,10
347,,191001,13,4,13,3,12,3,14
348,,191002,12,3,12,3,13,3,11
349,,190000,11,4,11,4,14,4,13
350,,190001,10,4,10,4,15,3,12
351,,190002,15,4,15,3,10,3,15
352,,191000,14,3,14,3,11,3,10
353,,191001,13,4,13,4,12,4,14
354,,191002,12,4,12,4,13,3,11
355,,190000,11,4,11,3,14,3,13
356,,190001,10,3,10,3,15,3,12
357,,190002,15,4,15,4,10,4,15
358,,191000,14,4,14,4,11,3,10
359,,191001,13,4,13,3,12,3,14
360,,191002,12,3,12,3,13,3,11
361,,190000,11,4,11,4,14,4,13
362,,190001,10,4,10,4,15,3,12
363,,190002,15,4,15,3,10,3,15
364,,191000,14,3,14,3,11,3,10
365,,191001,13,4,13,4,12,4,14
366,,191002,12,4,12,4,13,3,11
367,,190000,11,4,11,3,14,3,13
368,,190001,10,3,10,3,15,3,12
369,,190002,15,4,15,4,10,4,15
370,,191000,14,4,14,4,11,3,10
371,,191001,13,4,13,3,12,3,14
372,,191002,12,3,12,3,13,3,11
373,,190000,11,4,11,4,14,4,13
374,,190001,10,4,10,4,15,3,12
375,,190002,15,4,15,3,10,3,15
376,,191000,14,3,14,3,11,3,10
377,,191001,13,4,13,4,12,4,14
378,,191002,12,4,12,4,13,3,11
379,,190000,11,4,11,3,14,3,13
380,,190001,10,3,10,3,15,3,12
381,,190002,15,4,15,4,10,4,15
382,,191000,14,4,14,4,11,3,10
383,,191001,13,4,13,3,12,3,14
384,,191002,12,3,12,3,13,3,11
385,,190000,11,4,11,4,14,4,13
386,,190001,10,4,10,4,15,3,12
387,,190002,15,4,15,3,10,3,15
388,,191000,14,3,14,3,11,3,10
389,,191001,13,4,13,4,12,4,14
390,,191002,12,4,12,4,13,3,11
391,,190000,11,4,11,3,14,3,13
392,,190001,10,3,10,3,15,3,12
393,,190002,15,4,15,4,10,4,15
394,,191000,14,4,14,4,11,3,10
395,,191001,13,4,13,3,12,3,14
396,,191002,12,3,12,3,13,3,11
397,,190000,11,4,11,4,14,4,13
398,,190001,10,4,10,4,15,3,12
399,,190002,15,4,15,3,10,3,15
400,,191000,14,3,14,3,11,3,10
401,,191001,13,4,13,4,12,4,14
402,,191002,12,4,12,4,13,3,11
403,,190000,11,4,11,3,14,3,13
404,,190001,10,3,10,3,15,3,12
405,,190002,15,4,15,4,10,4,15
406,,191000,14,4,14,4,11,3,10
407,,191001,13,4,13,3,12,3,14
408,,191002,12,3,12,3,13,3,11
409,,190000,11,4,11,4,14,4,13
410,,190001,10,4,10,4,15,3,12
411,,190002,15,4,15,3,10,3,15
412,,191000,14,3,14,3,11,3,10
413,,191001,13,4,13,4,12,4,14
414,,191002,12,4,12,4,13,3,11
415,,190000,11,4,11,3,14,3,13
416,,190001,10,3,10,3,15,3,12
417,,190002,15,4,15,4,10,4,15
418,,191000,14,4,14,4,11,3,10
419,,191001,13,4,13,3,12,3,14
420,,191002,12,3,12,3,13,3,11
421,,190000,11,4,11,4,14,4,13
422,,190001,10,4,10,4,15,3,12
423,,190002,15,4,15,3,10,3,15
424,,191000,14,3,14,3,11,3,10
425,,191001,13,4,13,4,12,4,14
426,,191002,12,4,12,4,13,3,11
427,,190000,11,4,11,3,14,3,13
428,,190001,10,3,10,3,15,3,12
429,,190002,15,4,15,4,10,4,15
430,,191000,14,4,14,4,11,3,10
431,,191001,13,4,13,3,12,3,14
432,,191002,12,3,12,3,13,3,11
433,,190000,11,4,11,4,14,4,13
434,,190001,10,4,10,4,15,3,12
435,,190002,15,4,15,3,10,3,15
436,,191000,14,3,14,3,11,3,10
437,,191001,13,4,13,4,12,4,14
438,,191002,12,4,12,4,13,3,11
439,,190000,11,4,11,3,14,3,13
440,,190001,10,3,10,3,15,3,12
441,,190002,15,4,15,4,10,4,15
442,,191000,14,4,14,4,11,3,10
443,,191001,13,4,13,3,12,3,14
444,,191002,12,3,12,3,13,3,11
445,,190000,11,4,11,4,14,4,13
446,,190001,10,4,10,4,15,3,12
447,,190002,15,4,15,3,10,3,15
448,,191000,14,3,14,3,11,3,10
449,,191001,13,4,13,4,12,4,14
450,,191002,12,4,12,4,13,3,11
451,,190000,11,4,11,3,14,3,13
452,,190001,10,3,10,3,15,3,12
453,,190002,15,4,15,4,10,4,15
454,,191000,14,4,14,4,11,3,10
455,,191001,13,4,13,3,12,3,14
456,,191002,12,3,12,3,13,3,11
457,,190000,11,4,11,4,14,4,13
458,,190001,10,4,10,4,15,3,12
459,,190002,15,4,15,3,10,3,15
460,,191000,14,3,14,3,11,3,10
461,,191001,13,4,13,4,12,4,14
462,,191002,12,4,12,4,13,3,11
463,,190000,11,4,11,3,14,3,13
464,,190001,10,3,10,3,15,3,12
465,,190002,15,4,15,4,10,4,15
466,,191000,14,4,14,4,11,3,10
467,,191001,13,4,13,3,12,3,14
468,,191002,12,3,12,3,13,3,11
469,,190000,11,4,11,4,14,4,13
470,,190001,10,4,10,4,15,3,12
471,,190002,15,4,15,3,10,3,15
472,,191000,14,3,14,3,11,3,10
473,,191001,13,4,13,4,12,4,14
474,,191002,12,4,12,4,13,3,11
475,,190000,11,4,11,3,14,3,13
476,,190001,10,3,10,3,15,3,12
477,,190002,15,4,15,4,10,4,15
478,,191000,14,4,14,4,11,3,10
479,,191001,13,4,13,3,12,3,14
480,,191002,12,3,12,3,13,3,11
481,,190000,11,4,11,4,14,4,13
482,,190001,10,4,10,4,15,3,12
483,,190002,15,4,15,3,10,3,15
484,,191000,14,3,14,3,11,3,10
485,,191001,13,4,13,4,12,4,14
486,,191002,12,4,12,4,13,3,11
487,,190000,11,4,11,3,14,3,13
488,,190001,10,3,10,3,15,3,12
489,,190002,15,4,15,4,10,4,15
490,,191000,14,4,14,4,11,3,10
491,,191001,13,4,13,3,12,3,14
492,,191002,12,3,12,3,13,3,11
493,,190000,11,4,11,4,14,4,13
494,,190001,10,4,10,4,15,3,12
495,,190002,15,4,15,3,10,3,15
496,,191000,14,3,14,3,11,3,10
497,,191001,13,4,13,4,12,4,14
498,,191002,12,4,12,4,13,3,11
499,,190000,11,4,11,3,14,3,13
500,,190001,10,3,10,3,15,3,12
501,,190002,15,4,15,4,10,4,15
502,,191000,14,4,14,4,11,3,10
503,,191001,13,4,13,3,12,3,14
504,,191002,12,3,12,3,13,3,11
505,,190000,11,4,11,4,14,4,13
506,,190001,10,4,10,4,15,3,12
507,,190002,15,4,15,3,10,3,15
508,,191000,14,3,14,3,11,3,10
509,,191001,13,4,13,4,12,4,14
510,,191002,12,4,12,4,13,3,11
511,,190000,11,4,11,3,14,3,13
512,,190001,10,3,10,3,15,3,12
513,,190002,15,4,15,4,10,4,15
514,,191000,14,4,14,4,11,3,10
515,,191001,13,4,13,3,12,3,14
516,,191002,12,3,12,3,13,3,11
517,,190000,11,4,11,4,14,4,13
518,,190001,10,4,10,4,15,3,12
519,,190002,15,4,15,3,10,3,15
520,,191000,14,3,14,3,11,3,10
521,,191001,13,4,13,4,12,4,14
522,,191002,12,4,12,4,13,3,11
523,,190000,11,4,11,3,14,3,13
524,,190001,10,3,10,3,15,3,12
525,,190002,15,4,15,4,10,4,15
526,,191000,14,4,14,4,11,3,10
527,,191001,13,4,13,3,12,3,14
528,,191002,12,3,12,3,13,3,11
529,,190000,11,4,11,4,14,4,13
530,,190001,10,4,10,4,15,3,12
531,,190002,15,4,15,3,10,3,15
532,,191000,14,3,14,3,11,3,10
533,,191001,13,4,13,4,12,4,14
534,,191002,12,4,12,4,13,3,11
535,,190000,11,4,11,3,14,3,13
536,,190001,10,3,10,3,15,3,12
537,,190002,15,4,15,4,10,4,15
538,,191000,14,4,14,4,11,3,10
539,,191001,13,4,13,3,12,3,14
540,,191002,12,3,12,3,13,3,11
541,,190000,11,4,11,4,14,4,13
542,,190001,10,4,10,4,15,3,12
543,,190002,15,4,15,3,10,3,15
544,,191000,14,3,14,3,11,3,10
545,,191001,13,4,13,4,12,4,14
546,,191002,12,4,12,4,13,3,11
547,,190000,11,4,11,3,14,3,13
548,,190001,10,3,10,3,15,3,12
549,,190002,15,4,15,4,10,4,15
550,,191000,14,4,14,4,11,3,10
551,,191001,13,4,13,3,12,3,14
552,,191002,12,3,12,3,13,3,11
553,,190000,11,4,11,4,14,4,13
554,,190001,10,4,10,4,15,3,12
555,,190002,15,4,15,3,10,3,15
556,,191000,14,3,14,3,11,3,10
