INT,INT,INT
INDEX,PETID,TYPE
0,对应到ActiviteObject表中,12345分别代表对应的宠物包
10001,101001,1
10002,101002,1
10003,101003,1
10004,101011,1
10005,101012,1
10006,101013,1
10007,101031,1
10008,101032,1
10009,101033,1
10010,101061,1
10011,101062,1
10012,101063,1
10013,101014,1
10014,101015,1
10015,101016,1
20001,102001,2
20002,102002,2
20003,102003,2
20004,102011,2
20005,102012,2
20006,102013,2
20007,102014,2
20008,102015,2
20009,102016,2
20010,102017,2
20011,102018,2
20012,102019,2
20013,102020,2
20014,102021,2
20015,102022,2
20016,102031,2
20017,102032,2
20018,102033,2
20019,102061,2
20020,102062,2
20021,102063,2
20022,102064,2
20023,102065,2
20027,102104,2
20028,102105,2
20032,102114,2
20033,102115,2
20034,102134,2
20035,102135,2
20036,102154,2
20037,102155,2
20038,102181,2
20039,102182,2
20040,102183,2
20041,102184,2
20042,102185,2
30001,103091,3
30002,103092,3
30003,103093,3
30004,103017,3
30005,103018,3
30006,103019,3
30007,103020,3
30008,103021,3
30009,103022,3
30010,103066,3
30011,103067,3
30012,103064,3
30013,103065,3
30017,103104,3
30018,103105,3
30022,103114,3
30023,103115,3
30024,103134,3
30025,103135,3
30026,103154,3
30027,103155,3
30028,103181,3
30029,103182,3
30030,103183,3
30031,103184,3
30032,103185,3
30033,103191,3
30034,103192,3
30035,103193,3
30036,103231,3
30037,103232,3
30038,103233,3
30039,103234,3
30040,103235,3
30041,103251,3
30042,103252,3
30043,103253,3
30044,103284,3
30045,103285,3
30046,103291,3
30047,103292,3
30048,103293,3
30049,103301,3
30050,103302,3
30051,103303,3
40001,104091,4
40002,104092,4
40003,104093,4
40004,104101,4
40005,104102,4
40006,104103,4
40007,104211,4
40008,104212,4
40009,104213,4
40010,104141,4
40011,104142,4
40012,104143,4
40013,104066,4
40014,104067,4
40015,104144,4
40016,104145,4
40017,104161,4
40018,104162,4
40019,104163,4
40020,104194,4
40021,104195,4
40022,104201,4
40023,104202,4
40024,104203,4
40025,104215,4
40026,104216,4
40027,104217,4
40028,204003,4
40029,204011,4
40030,204022,4
40031,204033,4
40032,204041,4
40033,204051,4
40034,204061,4
40035,204062,4
40036,204071,4
40037,204081,4
40038,204091,4
40039,104214,4
50001,105211,5
50002,105212,5
50003,105213,5
50004,205001,5
50005,205011,5
50006,205021,5
50007,205031,5
50008,205041,5
50009,205051,5
50010,205061,5
50011,205071,5
50012,205081,5
50013,205091,5
50014,205101,5
50015,205111,5
50016,205121,5
50017,205131,5
50018,205141,5
50019,205151,5
50020,205161,5
50021,205171,5
50022,205181,5
50023,105214,5
50024,105215,5
50025,105216,5
50026,105217,5
