INDEX,NAME,TIP_TITLE,INFO,SKILL_ATLAS_NAME,SKILL_SPRITE_NAME,ICON,ATTACK_AFFECT,ATTACK_AFFECT_OBJECT,ATTACK_TARGET_RANGE,ATTACK_AFFECT_RATE,ADD_ATTACK_AFFECT_RATE,HIT_AFFECT,HIT_AFFECT_OBJECT,HIT_TARGET_RANGE,HIT_AFFECT_RATE,ADD_HIT_AFFECT_RATE,AUREOLA_AFFECT,AUREOLA_AFFECT_RANGE,AUREOLA_AFFECT_OBJECT,AUREOLA_AFFECT_RATE,AUREOLA_AFFECT_TIME,ITEM_TYPE,ITEM_ID,ITEM_NUM,COST_TYPE,COST_ID,COST_NUM,START_BATTLE,UPGRADE_BATTLE
INT,STRING,STRING,STRING,STRING,STRING,STRING,INT,STRING,FLOAT,INT,FLOAT,INT,STRING,FLOAT,INT,FLOAT,INT,INT,STRING,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
0,1_治疗类状态,0,范例：[6][01][01],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,5
0,2_buff状态,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,5
0,3_技能附加状态,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,5
0,4_受击附加状态,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,5
0,5_攻击附加状态,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,5
0,6_光环附加状态,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,5
60101,黯然 Lv.1,黯然 Lv.1,\n\n使5米范围内敌人受到的伤害增加[00ff00]5%,SkillAtlas,skill_critic_8,0,60101,SELF,0,15,0.1,0,0,0,0,0,60101,5,ENEMY,100,0,1,1003,5,2,0,1000,500,5
200001,黯然 Lv.2,黯然 Lv.2,\n\n使5米范围内敌人受到的伤害增加[00ff00]6%,SkillAtlas,skill_critic_8,0,60102,SELF,0,18,0.1,0,0,0,0,0,60102,5,ENEMY,100,0,1,1003,5,2,0,1000,500,5
60103,黯然 Lv.3,黯然 Lv.3,\n\n使5米范围内敌人受到的伤害增加[00ff00]7%,SkillAtlas,skill_critic_8,0,60103,SELF,0,21,0.1,0,0,0,0,0,60103,5,ENEMY,100,0,1,1003,5,2,0,1000,500,5
