INT,INT,STRING,INT,INT,INT,INT
INDEX,EVENT_ID,EVENT_DATE,BASE_PRICE,REAL_PRICE,AWARD_GROUP_1,AWARD_GROUP_2
0,主活动ID,对应活动日期,出售用的原价,出售用折扣价,奖励组ID1,奖励组ID2
1,8,2015_07_27,,,88012,88013
2,8,2015_07_28,,,88013,88014
3,8,2015_07_29,,,88014,88015
4,8,2015_07_30,,,88015,88016
5,8,2015_07_31,,,88016,88017
6,8,2015_08_01,,,88017,88018
7,8,2015_08_02,,,88018,88019
8,8,2015_08_03,,,88019,88020
9,8,2015_08_04,,,88020,88021
10,7,2015_07_27,10000,900,99001,
11,7,2015_07_28,10000,900,99002,
12,7,2015_07_29,10000,900,99003,
13,7,2015_07_30,10000,900,99011,
14,7,2015_07_31,10000,900,99012,
15,7,2015_08_01,10000,900,99013,
16,7,2015_08_02,10000,900,99001,
17,7,2015_08_03,10000,900,99002,
18,7,2015_08_04,10000,900,99003,
19,7,2015_08_05,10000,900,99011,
20,7,2015_08_06,10000,900,99012,
21,7,2015_08_07,10000,900,99013,
