INDEX,LEVFEL_MIN,LEVFEL_MAX,BASE_RATE,TILI_RATE,XIANGMOLING_RATE,LEVFEL_RATE,MIN_RATE,MAX_RATE,STAR1_WEIGHT,STAR2_WEIGHT,STAR3_WEIGHT,STAR4_WEIGHT,STAR5_WEIGHT,STAR1_TIME,STAR2_TIME,STAR3_TIME,STAR4_TIME,STAR5_TIME,STAR1_BOSS,STAR2_BOSS,STAR3_BOSS,STAR4_BOSS,STAR5_BOSS,BREAK_RATE,DOUBLE_RATE,ADD_BUFF,N_ATT_RATE,BOSS_BATTLE_TIME,CRI_RATE_MAX
INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
1,1,10,2000,-10,50,10,500,5000,0,20,30,40,0,1800,1800,3600,7200,7200,80001,80001,80002,80003,80003,25000,25000,300003,150000,30,5000
2,11,20,2000,-10,50,10,500,5000,0,20,30,40,0,1800,1800,3600,7200,7200,80001,80001,80002,80003,80003,25000,25000,300003,150000,30,5000
3,21,30,2000,-10,50,10,500,5000,0,20,30,40,0,1800,1800,3600,7200,7200,80001,80001,80002,80003,80003,25000,25000,300003,150000,30,5000
4,31,40,2000,-10,50,10,500,5000,0,20,30,40,0,1800,1800,3600,7200,7200,80001,80001,80002,80003,80003,25000,25000,300003,150000,30,5000
5,41,50,2000,-10,50,10,500,5000,0,20,30,40,0,1800,1800,3600,7200,7200,80001,80001,80002,80003,80003,25000,25000,300003,150000,30,5000
6,51,60,2000,-10,50,10,500,5000,0,20,30,40,0,1800,1800,3600,7200,7200,80001,80001,80002,80003,80003,25000,25000,300003,150000,30,5000
7,61,70,2000,-10,50,10,500,5000,0,20,30,40,0,1800,1800,3600,7200,7200,80001,80001,80002,80003,80003,25000,25000,300003,150000,30,5000
8,71,80,2000,-10,50,10,500,5000,0,20,30,40,0,1800,1800,3600,7200,7200,80001,80001,80002,80003,80003,25000,25000,300003,150000,30,5000
9,81,90,2000,-10,50,10,500,5000,0,20,30,40,0,1800,1800,3600,7200,7200,80001,80001,80002,80003,80003,25000,25000,300003,150000,30,5000
10,91,100,2000,-10,50,10,500,5000,0,20,30,40,0,1800,1800,3600,7200,7200,80001,80001,80002,80003,80003,25000,25000,300003,150000,30,5000
11,101,110,2000,-10,50,10,500,5000,0,20,30,40,0,1800,1800,3600,7200,7200,80001,80001,80002,80003,80003,25000,25000,300003,150000,30,5000
12,111,120,2000,-10,50,10,500,5000,0,20,30,40,0,1800,1800,3600,7200,7200,80001,80001,80002,80003,80003,25000,25000,300003,150000,30,5000
