INDEX,ACTIVE_LEVEL,NEED_GEM_NUM,TOTAL_NEED_GEM_NUM,NEED_COIN_NUM,TOTAL_NEED_COIN_NUM,ACTIVE_NUM,TOTAL_ACTIVE_NUM,ROLE_NEED_GEM_NUM
INT,INT,INT,INT,INT,INT,INT,INT,INT
0,1,30,0,500,0,0,0,50
1,15,75,30,1500,500,0,0,180
2,25,235,105,5000,2000,0,0,350
3,35,550,340,10000,7000,1,0,650
4,45,880,890,15000,17000,1,1,1080
5,55,1200,1770,50000,32000,2,2,1500
6,65,1800,2970,60000,82000,2,4,2500
7,75,2700,4770,70000,142000,4,6,3600
8,85,3800,7470,80000,212000,6,10,5500
9,95,8000,11270,90000,292000,8,16,12000
10,110,20000,19270,100000,382000,10,24,28000
11,120,36000,39270,110000,482000,12,34,50000
12,130,0,75270,0,592000,0,46,0
