INDEX,LEVEL_EXP,SIGN_GROUP_ID,MONEY_TREE_COINS_MIN,MONEY_TREE_COINS_MAX,EXTRA_COINS_MIN,EXTRA_COINS_MAX,MONEY_TREE_TIME,LABOR,ENERGY,LEVEL_NOTICE
INT,INT,STRING,INT,INT,INT,INT,INT,INT,INT,STRING
1,10,1000004#100|2000018#10,10000,15000,10000,20000,15,5,0,702|1405|1200
2,20,1000004#100|2000018#10,10350,15500,10400,20500,15,5,0,702|1405|1200
3,30,1000004#100|2000018#10,10700,16000,10800,21000,15,5,0,702|1405|1200
4,80,1000004#100|2000018#10,11050,16500,11200,21500,15,5,0,702|1405|1200
5,100,1000004#100|2000018#10,11400,17000,11600,22000,15,5,0,702|1405|1200
6,120,1000004#100|2000018#10,11750,17500,12000,22500,15,10,0,702|1405|1200
7,140,1000004#100|2000018#10,12100,18000,12400,23000,15,10,0,702|1405|1200
8,240,1000004#100|2000018#10,12450,18500,12800,23500,15,10,0,702|1405|1200
9,270,1000004#100|2000018#10,12800,19000,13200,24000,15,10,0,702|1405|1200
10,300,1000004#100|2000018#10,13150,19500,13600,24500,15,20,0,1405|1200|1403
11,440,1000004#100|2000018#10,13500,20000,14000,25000,15,20,0,1405|1200|1403
12,480,1000004#100|2000018#10,13850,20500,14400,25500,15,20,0,1200|1403|703
13,650,1000004#100|2000018#10,14200,21000,14800,26000,15,20,0,1200|1403|703
14,700,1000004#100|2000018#10,14550,21500,15200,26500,15,20,0,1200|1403|703
15,1050,1000004#100|2000018#10,14900,22000,15600,27000,15,20,0,1200|1403|703
16,1120,1000004#100|2000018#10,15250,22500,16000,27500,15,20,10,1200|1403|703
17,1360,1000004#100|2000018#10,15600,23000,16400,28000,15,20,10,1200|1403|1402
18,1620,1000004#100|2000018#10,15950,23500,16800,28500,15,20,10,1200|1403|1402
19,2280,1000004#100|2000018#10,16300,24000,17200,29000,15,20,10,1200|1403|1402
20,2800,1000004#100|2000018#10,16650,24500,17600,29500,15,30,10,1200|1403|1402
21,3360,1000004#100|2000018#10,17000,25000,18000,30000,15,30,10,1200|1403|1402
22,3960,1000004#100|2000018#10,17350,25500,18400,30500,15,30,10,1403|1402|1502
23,4600,1000004#100|2000018#10,17700,26000,18800,31000,15,30,10,1403|1402|1502
24,5280,1000004#100|2000018#10,18050,26500,19200,31500,15,30,10,1403|1402|1502
25,6250,1000004#100|2000018#10,18400,27000,19600,32000,15,30,10,1403|1402|1502
26,7020,1000004#100|2000018#10,18750,27500,20000,32500,15,30,10,1502|717|1404
27,8370,1000004#100|2000018#10,19100,28000,20400,33000,15,30,10,1502|717|1404
28,9520,1000004#100|2000018#10,19450,28500,20800,33500,15,30,10,1502|717|1404
29,10730,1000004#100|2000018#10,19800,29000,21200,34000,15,30,10,1502|717|1404
30,11700,1000004#100|2000018#10,20150,29500,21600,34500,15,40,10,1502|717|1404
31,12710,1000004#100|2000018#10,20500,30000,22000,35000,15,40,10,717|1404|1401
32,14720,1000004#100|2000018#10,20850,30500,22400,35500,15,40,10,717|1404|1401
33,15510,1000004#100|2000018#10,21200,31000,22800,36000,15,40,10,1404|1401|717
34,16320,1000004#100|2000018#10,21550,31500,23200,36500,15,40,10,1404|1401|717
35,17150,1000004#100|2000018#10,21900,32000,23600,37000,15,40,10,1401|717|900
36,25920,1000004#100|2000018#10,22250,32500,24000,37500,15,40,10,1401|717|900
37,29230,1000004#100|2000018#10,22600,33000,24400,38000,15,40,10,1401|900|718
38,31540,1000004#100|2000018#10,22950,33500,24800,38500,15,40,10,1401|900|718
39,33930,1000004#100|2000018#10,23300,34000,25200,39000,15,40,10,1401|900|718
40,38000,1000004#100|2000018#10,23650,34500,25600,39500,15,40,10,900|718|717
