INDEXNAME,FILENAME,FILETYPE,INFO
STRING,STRING,STRING,STRING
ActiveObject,Config/ActiveObject.csv,UNICODE,活动角色
Effect,Config/Effect.csv,UNICODE,特效配置
Skill,Config/Skill.csv,UNICODE,技能配置
Global,Config/GlobalConfig.csv,ANIS,全局参数
MotionSound,Config/MotionSound.csv,UNICODE,动作声音
Stage,Config/StageConfig.csv,UNICODE,关卡配置
CharacterLevelExp,Config/CharacterLevelExp.csv,UNICODE,主角等级经验
PetLevelExp,Config/PetLevelExp.csv,UNICODE,灵将等级经验
RoleUIConfig,Config/RoleUIConfig.csv,UNICODE,选择主角界面的配置
Element,Config/Element.csv,UNICODE,元素配置表
AffectBuffer,Config/AffectBuffer.csv,UNICODE,影响Buffer
StoneTypeIcon,Config/StoneTypeIcon.csv,ANIS,灵石类型Icon配置
StrengthenConsume,Config/StrengthenConsume.csv,ANIS,强化消耗配置
EvolutionConsume,Config/EvolutionConsume.csv,ANIS,进化消耗配置
GroupIDConfig,Config/GroupIDConfig.csv,UNICODE,组ID配置
ModelConfig,Config/Models.csv,UNICODE,模型配置
AttackState,Config/AttackState.csv,UNICODE,战斗状态
MonsterObject,Config/MonsterObject.csv,UNICODE,怪物配置
PetOfPredestined,Config/PetOfPredestined.csv,ANIS,侠客缘分配置
TaskConfig,Config/TaskConfig.csv,ANIS,任务配置
WindowConfig,Config/WindowConfig.csv,ANIS,界面窗口配置
ItemIcon,Config/ItemIcon.csv,UNICODE,物品图标配置
ShopSlotBase,Config/ShopSlotBase.csv,UNICODE,商城槽的配置
BossConfig,Config/BossConfig.csv,UNICODE,世界BOSS配置
ItemConfig,Config/ItemConfig.csv,ANIS,物品
Mailborad,Config/Mailborad.csv,ANIS,邮件标题
RoleEquipConfig,Config/RoleEquipConfig.csv,UNICODE,法宝配置
PetEquipConfig,Config/PetEquipConfig.csv,ANIS,装备配置
EquipAttachAttributeConfig,Config/EquipAttachAttributeConfig.csv,ANIS,附加属性配置
EquipAttributeIconConfig,Config/EquipAttributeIconConfig.csv,ANIS,属性名称图标配置
EquipStrengthCostConfig,Config/EquipStrengthCostConfig.csv,UNICODE,强化装备消耗金币
SetEquipConfig,Config/SetEquipConfig.csv,UNICODE,套装属性配置
StageBirth,Config/StageBirth.csv,UNICODE,场景刷怪配置
RoleStarLevel,Config/RoleStarLevel.csv,ANIS,主角升星条件
StringList,Config/Stringlist.csv,UNICODE,公共弹框
PowerUp,Config/Powerup.csv,ANIS,“我要变强”配置
Dialog,Config/Dialog.csv,UNICODE,对话配置
DailySign,Config/Dailysign.csv,ANIS,每日签到
SelPetUIConfig,Config/SelPetUIConfig.csv,UNICODE,灵将选择
VipListConfig,Config/Viplist.csv,UNICODE,vip配置
AnnouncementConfig,Config/AnnouncementConfig.csv,ANIS,广播消息配置
PetType,Config/PetType.csv,UNICODE,灵将类型
StagePoint,Config/StagePoint.csv,UNICODE,世界地图触发点
ServerList,Config/ServerList.csv,ANIS,服务器列表
StageBonus,Config/StageBonus.csv,ANIS,世界地图宝箱
EventList,Config/Eventlist.csv,ANIS,活动列表父项
EventConfig,Config/Eventconfig.csv,UNICODE,活动列表子项
PvpAttributeConfig,Config/PvpAttributeConfig.csv,ANIS,属性pvp
PvpRankAwardsConfig,Config/Rankaward.csv,ANIS,pvp排行榜奖励
FirstName,Config/FirstName.csv,UNICODE,随机取名表
EffectSound,Config/EffectSound.csv,UNICODE,效果音效
TacticalFormation,Config/TacticalFormation.csv,ANIS,阵法
GuildShop,Config/GuildShop.csv,ANIS,宗门商店
GuildDonation,Config/GuildDonation.csv,ANIS,宗门捐献
GuildTech,Config/GuildTech.csv,ANIS,宗门科技
BeStronger,Config/BeStronger.csv,ANIS,我要变强
HelpTipsConfig,Config/helptips.csv,ANIS,窗口帮助
EventShow,Config/EventShow.csv,ANIS,剧情图片列表
FirstPayGiftConfig,Config/Libaolist.csv,ANIS,首充礼包列表
EndlessDifficultConfig,Config/EndlessDifficult.csv,ANIS,无尽难度选择
ActiveLevelListConfig,Config/HDLevelinglist.csv,ANIS,活动升级列表
ActiveTakeBreakConfig,Config/HDEnergylist.csv,ANIS,活动小憩一会列表
ActiveLuckyGuyConfig,Config/HDTurntableglist.csv,ANIS,活动幸运转盘列表
Fragment,Config/Fragment.csv,UNICODE,装备&灵将碎片
ConsumeConfig,Config/ToolItem.csv,UNICODE,道具列表列表
PlayerLevelConfig,Config/PlayerLevel.csv,ANIS,玩家等级解锁功能列表
StageStar,Config/StageStar.csv,UNICODE,过关星级配置
RoleSkinConfig,Config/RoleSkinConfig.csv,UNICODE,角色皮肤配置
BanedTextConfig,Config/BanedTextConfig.csv,UNICODE,屏蔽字配置
MaterialConfig,Config/MaterialConfig.csv,ANIS,材料配置
MaterialFragment,Config/MaterialFragment.csv,ANIS,材料碎片配置
MaterialPrompt,Config/MaterialPrompt.csv,ANIS,材料出处配置
MaterialSynthesis,Config/MaterialSynthesis.csv,ANIS,o
ScriptBase,Config/ScriptBase.csv,ANIS,Lua脚本基本配置
Decompose,Config/Decomposition.csv,ANIS,灵将分解
AwardConfig,Config/AwardConfig.csv,ANIS,奖励表
RankEventConfig,Config/RankEventConfig.csv,ANIS,排行榜活动表
TaskEventConfig,Config/TaskEventConfig.csv,ANIS,任务活动表
EquipRefineStoneConfig,Config/EquipRefineStoneConfig.csv,UNICODE,装备精炼石表
EquipRefineLvConfig,Config/EquipRefineLvConfig.csv,UNICODE,装备精炼等级表
MagicEquipLvConfig,Config/MagicEquipLvConfig.csv,UNICODE,神器强化等级表
MagicEquipRefineConfig,Config/MagicEquipRefineConfig.csv,UNICODE,神器精炼表
BreakBuff,Config/BreakBuff.csv,UNICODE,突破获得buff配置表
BreakLevelConfig,Config/BreakLevelConfig.csv,UNICODE,强化等级配置
ClimbingTower,Config/ClimbingTower.csv,UNICODE,群魔乱舞配置
CommonShopConfig,Config/CommonShopConfig.csv,UNICODE,商城商店配置
FateConfig,Config/FateStrengthConfig.csv,UNICODE,天命强化配置表
FeatAwardConfig,Config/FeatAwardConfig.csv,UNICODE,天魔奖励配置
PumpingConfig,Config/PumpingConfig.csv,UNICODE,抽卡（新）
PetRecoverConfig,Config/PetRecoverConfig.csv,UNICODE,灵将回收配置表
RelateConfig,Config/RelateConfig.csv,UNICODE,缘分表
StrengMaster,Config/StrengMaster.csv,UNICODE,强化大师
SkillCost,Config/SkillCost.csv,UNICODE,技能升级消耗
GuildCreated,Config/GuildCreated.csv,UNICODE,宗门等级表
WorshipConfig,Config/WorshipConfig.csv,UNICODE,宗门祭天消耗配置表
WorshipSchedule,Config/WorshipSchedule.csv,UNICODE,宗门祭天奖励配置表
PvpRankAwardConfig,Config/PvpRankAwardConfig.csv,UNICODE,pvp排行榜奖励
RobotConfig,Config/RobotConfig.csv,UNICODE,机器人配置表
FeatEventConfig,Config/FeatEventConfig.csv,UNICODE,天魔活动配置表
PointStarConfig,Config/PointStarConfig.csv,UNICODE,点星配置表
EquipRecoverConfig,Config/EquipRecoverConfig.csv,UNICODE,装备回收配置表
GuildShopConfig,Config/GuildShopConfig.csv,UNICODE,宗门商店配置
DeamonShopConfig,Config/DeamonShopConfig.csv,UNICODE,天魔商店配置
MallShopConfig,Config/MallShopConfig.csv,UNICODE,商城商店配置
ClimbingConsume,Config/ClimbingConsume.csv,UNICODE,爬塔重置价格
PrestigeShopConfig,Config/PrestigeShopConfig.csv,UNICODE,竞技场声望商店
TowerShopConfig,Config/TowerShopConfig.csv,UNICODE,爬塔商店
GrabRobotConfig,Config/GrabRobotConfig.csv,UNICODE,夺宝机器人
EquipCompose,Config/EquipCompose.csv,UNICODE,法宝碎片合成
FragmentAdmin,Config/FragmentAdmin.csv,UNICODE,碎片管理表
PvpLoot,Config/PvpLoot.csv,UNICODE,PVP掉落信息表
CommonEvent,Config/CommonEvent.csv,UNICODE,活动配置表
DailySignEvent,Config/DailySignEvent.csv,UNICODE,签到配置表
FirstRechargeEvent,Config/FirstRechargeEvent.csv,UNICODE,首充奖励
FundEvent,Config/FundEvent.csv,UNICODE,开服基金活动配置
EnergyEvent,Config/EnergyEvent.csv,UNICODE,体力恢复活动
Fairylad,Config/Fairylad.csv,UNICODE,寻宝
FairyladCost,Config/FairyladCost.csv,UNICODE,寻宝消耗
FairyladDesc,Config/FairyladDesc.csv,UNICODE,寻宝获得物品随机描述
MysteryShopConfig,Config/MysteryShopConfig.csv,UNICODE,神秘商店配置表
TaskConfig,Config/TaskConfig.csv,UNICODE,日常任务
AchieveConfig,Config/AchieveConfig.csv,UNICODE,成就任务
ScoreConfig,Config/ScoreConfig.csv,UNICODE,任务积分
GainFunctionConfig,Config/GainFunctionConfig.csv,UNICODE,获取链接配置
ResourceGainConfig,Config/ResourceGainConfig.csv,UNICODE,功能配置
TaskType,Config/TaskType.csv,UNICODE,任务类型表
StageLootGroupIDConfig,Config/StageLootGroupIDConfig.csv,UNICODE,关卡掉落组表
PetPostionLevel,Config/PetPostionLevel.csv,UNICODE,队伍位置开放表
Board,Config/Board.csv,UNICODE,公告
EquipAttributeIconConfig,Config/EquipAttributeIconConfig.csv,UNICODE,属性索引表
AvatarLvConfig,Config/AvatarLvConfig.csv,UNICODE,时装强化资源配置表
AvatarConfig,Config/AvatarConfig.csv,UNICODE,时装强化属性配置表
OperateEvent,Config/OperateEvent.csv,UNICODE,活动列表顺序控制表
BeginnerConfig,Config/BeginnerConfig.csv,UNICODE,新手引导配置表
UnionShopPipeLineConfig,Config/UnionShop/PipeLineConfig.csv,ANIS,ddd
UnionShopDataConfig,Config/UnionShop/DataConfig.csv,ANIS,ddd
Strengthen_1PipeLineConfig,Config/Strengthen_1/PipeLineConfig.csv,ANIS,ddd
Strengthen_1DataConfig,Config/Strengthen_1/DataConfig.csv,ANIS,ddd
Strengthen_2PipeLineConfig,Config/Strengthen_2/PipeLineConfig.csv,ANIS,ddd
Strengthen_2DataConfig,Config/Strengthen_2/DataConfig.csv,ANIS,ddd
RoleDetailPipeLineConfig,Config/RoleDetail/PipeLineConfig.csv,ANIS,ddd
RoleDetailDataConfig,Config/RoleDetail/DataConfig.csv,ANIS,ddd
Camera,Config/Camera.csv,UNICODE,摄像机调整
FunctionConfig,Config/FunctionConfig.csv,UNICODE,活动开启
StarReward,Config/StarReward.csv,UNICODE,章节奖励
StageTask,Config/StageTask.csv,UNICODE,副本任务
HDlogin,Config/HDlogin.csv,UNICODE,次日登陆
Hdrevelry,Config/HDrevelry.csv,UNICODE,七日狂欢
Hdshooter,Config/HDshooter.csv,UNICODE,射击乐园
LuckCard,Config/LuckCard.csv,UNICODE,幸运翻牌
HelpList,Config/HelpList.csv,UNICODE,帮助的集合
LocalPushConfig,Config/LocalPushConfig.csv,UNICODE,推送
EnergyCost,Config/EnergyCost.csv,UNICODE,体力消耗表
SceneBuff,Config/SceneBuff.csv,UNICODE,场景BUFF
ResetCost,Config/ResetCost.csv,UNICODE,重置副本次数消耗表
QualityConfig,Config/QualityConfig.csv,UNICODE,品质配置表
RetCode,Config/RetCode.csv,UNICODE,服务器警示配置表
GuildBoss,Config/GuildBoss.csv,UNICODE,宗门boss配置
SevenDayLoginEvent,Config/SevenDayLoginEvent.csv,UNICODE,七日登陆配置
