ID,ACTIVE_ID,LEVEL,BREAK_LEVEL,ARMS,JEWELRY,CLOTHES,SHOES,ATT_MAGIC,DEF_MAGIC,ARMS_STRENGTHEN_LEVLE,JEWELRY_STRENGTHEN_LEVLE,CLOTHES_STRENGTHEN_LEVLE,SHOES_STRENGTHEN_LEVLE,ATT_MAGIC_STRENGTHEN_LEVLE,DEF_MAGIC_STRENGTHEN_LEVLE,ARMS_REFINE_LEVLE,JEWELRY_REFINE_LEVLE,CLOTHES_REFINE_LEVLE,SHOES_REFINE_LEVLE,ATT_MAGIC_REFINE_LEVLE,DEF_MAGIC_REFINE_LEVLE,FATE_LEVEL,SKILL_LEVEL1,SKILL_LEVEL2,SKILL_LEVEL3,SKILL_LEVEL4
INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
1001,50001,100,10,14008,14108,14308,14208,15005,15105,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
1002,50002,100,10,14008,14108,14308,14208,15005,15105,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
1003,50003,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,50101,100,10,14008,14108,14308,14208,15005,15105,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
1005,50102,100,10,14008,14108,14308,14208,15005,15105,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
1006,50103,100,10,14008,14108,14308,14208,15005,15105,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2001,30074,100,10,14008,14108,14308,14208,15003,15103,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2002,30075,100,10,14008,14108,14308,14208,15006,15106,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2003,30076,100,10,14006,14106,14306,14206,15003,15103,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2004,30077,100,10,14006,14106,14306,14206,15004,15104,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2005,30078,100,10,14005,14105,14305,14205,15004,15104,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2006,30079,100,10,14004,14104,14304,14204,15003,15103,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2007,30080,100,10,14006,14106,14306,14206,15003,15103,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2008,30081,100,10,14004,14104,14304,14204,15003,15103,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2009,30082,100,10,14005,14105,14305,14205,15003,15103,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2010,30083,100,10,14004,14104,14304,14204,15003,15103,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2011,30084,100,10,14006,14106,14306,14206,15003,15103,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2012,30085,100,10,14006,14106,14306,14206,15004,15104,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2013,30086,100,10,14006,14106,14306,14206,15003,15103,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2014,30087,100,10,14006,14106,14306,14206,15004,15104,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2015,30088,100,10,14004,14104,14304,14204,15003,15103,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2016,30089,100,10,14006,14106,14306,14206,15004,15104,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2017,30090,100,10,14005,14105,14305,14205,15003,15103,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2018,30091,100,10,14005,14105,14305,14205,15003,15103,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2019,30092,100,10,14006,14106,14306,14206,15004,15104,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
2020,30093,100,10,14007,14107,14307,14207,15006,15106,200,200,200,200,30,30,20,20,20,20,10,10,5,1,1,1,1
