INDEX,ISLEFT,DIALOG,NEXT,MODEL,SCALE,OFFSET,BACKUP,SOUND
INT,INT,STRING,INT,INT,FLOAT,FLOAT,STRING,STRING
1050,0,一切就绪，让我们开始封灵大师之路吧！（点击[00E80D]封灵[EEEEEE]按钮）,0,103064,1.6,0,0,0
1060,0,妖魔丛生的五境，封灵旅途慢慢，让我们从起点开始封灵旅程吧！,0,105215,1.6,0,0,0
1070,0,前面会有什么妖魔等着我们呢？向前走走看吧。,0,105215,1.6,0,0,0
1080,0,……总之先往前看看有什么吧。,0,105215,1.6,0,0,0
1090,0,哇噢，是一只可爱的[00E80D]木精灵[EEEEEE]，用您手中的“符铳”将其封印相符吧！它有可能成为您以后合作默契的封灵呢！,0,105215,1.6,0,0,0
1100,0,前面的妖怪看起来非常厉害，记得要和您的封灵默契作战，不要一个人战斗哦！（您可以通过点击右下角的[00E80D]技能按钮释放封灵所带来的特殊技能！[EEEEEE]）,0,105215,1.6,0,0,0
1010,0,终于被我寻找到了，传说中最强的封灵师之魂。,1011,0,0,0,0,0
1011,0,我会作法让您在五境大陆转世重生的，完成您伟大的使命！但是请您先回忆一下往生前的身份吧！,1012,0,0,0,0,0
1012,0,无双，清灵门掌门之女，才貌双全，后台够硬，请问您的前生是她么？,1013,103064,1.6,0,0,0
1013,0,上官欢，天资绝佳，根骨惊奇，据说很有桃花运，他会是您的前生么？,1014,103064,1.6,0,0,0
1014,0,赢翾，风姿绰约的西域公主，美貌绝伦，聪慧贤淑，亦或者是她？,0,103064,1.6,0,0,0
1020,0,封灵师的战斗需要灵将的帮助，它们将是您旅途中最忠诚默契的伙伴！,1021,103064,1.6,0,0,0
1021,0,世界[A10CE4]阴[EEEEEE]、[F6EB00]阳[EEEEEE]平衡，[288DD5]水[EEEEEE]、[FB0000]火[EEEEEE]、[00E80D]木[EEEEEE]相生相克，彼此制约，形成五境大陆。,1022,103064,1.6,0,0,0
1022,0,现在，选择一个给力的小伙伴吧！,0,103064,1.6,0,0,0
1030,0,不知道长如何称呼？[00E80D]请确认您的选择并输入您的大名，让大家都知晓您。[EEEEEE],0,103064,1.6,0,0,0
1040,0,真是个好名字！那么就让我们立刻开始吧！,0,103064,1.6,0,0,0
10001,1,走了这么久，不知附近有没有地方可以歇脚……对面有人来了，正好问问。,10002,190000,1.7,0,0,0
10002,0,世间皆言潘安好，哪比的上我如花一枝，嗝~今天的酒宴真不错。,10003,101011,1.6,0,0,0
10003,1,这位妖兄，我想跟你打听一下……,10004,190000,1.7,0,0,0
10004,0,嗯，小美人？嘻嘻，来陪哥哥喝一杯~,10005,101011,1.6,0,0,0
10005,1,原来是个醉鬼，我还是问别人去吧。,10006,190000,1.7,0,0,0
10006,0,诶，别走呀，今天的酒特别醇，不喝是损失哦，只要……只要让我亲一下……,10007,101011,1.6,0,0,0
10007,1,……师父，弟子觉得这花妖是恶的，决定小小惩戒它一番。,0,190000,1.7,0,0,0
10101,1,循着香味来，那花妖口中的酒宴应该在这附近，正好打探妖怪的情况。,10102,190000,1.7,0,0,0
10102,1,嘿嘿，说不定能混上一餐，不知道都是什么好吃的……,10103,190000,1.7,0,0,0
10103,0,一个两个三……个？喂厨子，你眼瞎啊，这儿怎么还漏了个封灵师没杀呢？,10104,101011,1.6,0,0,0
10104,1,你要干什么？！,10105,190000,1.7,0,0,0
10105,0,干什么？把你杀了烤来吃啊，就跟那堆骨头一样。,0,101011,1.6,0,0,0
10106,1,你、你们！师父果然没说错，世道真的乱了！我绝不允许你们继续胡作非为，看招！,0,190000,1.7,0,0,0
10201,0,臭东西你刚说啥？敢、敢说我眼瞎？！有本事别躲，我今儿非把你捏成球。,10202,101011,1.6,0,0,0
10202,0,人呢？,10203,101011,1.6,0,0,0
10203,1,别找了，它已经被我收了，下一个就轮到你了。,10204,190000,1.7,0,0,0
10204,0,还真有个漏网的。你年纪不大口气不小嘛，待虎爷来会会你！,0,101011,1.6,0,0,0
10301,1,擒贼先擒王，那主位坐的一定就是它们的老大。,10302,190000,1.7,0,0,0
10302,0,混账东西，取个菜这么久，是不是想吃独食！,10303,101011,1.6,0,0,0
10303,1,傻大个，那些封灵师都是你下令杀的？,10304,190000,1.7,0,0,0
10304,0,哼，正好久未活动，拿你开开筋。,0,101011,1.6,0,0,0
10401,1,这火境真的好热……脱件外套凉快凉快。,10402,190000,1.7,0,0,0
10402,0,变态！青天白日的竟脱起衣服来！不知羞！,10403,101011,1.6,0,0,0
10403,1,你从哪里跳出来的？吓我一跳。,10404,190000,1.7,0,0,0
10404,0,喔，见到妖怪竟然不怕？,10405,101011,1.6,0,0,0
10405,1,有什么好怕的，相反，我还就是冲着妖怪来的呢，也不知在这儿能不能遇上合适的灵将。,0,190000,1.7,0,0,0
10501,1,那狐狸搞什么啊。,10502,190000,1.7,0,0,0
10502,0,它想在你身上找一样东西。,10503,101011,1.6,0,0,0
10503,0,确切来说是一只妖魂。你没听说？,10504,101011,1.6,0,0,0
10504,1,没有……,10505,190000,1.7,0,0,0
10505,0,上月妖界新王发出悬赏找一只妖魂，奖赏丰厚，妖怪们都蠢蠢欲动。,10506,101011,1.6,0,0,0
10506,1,原来是这样。兄台可知妖王为何找那妖魂？,10507,190000,1.7,0,0,0
10507,0,这就不清楚了，不过……你最好也小心些。,10508,101011,1.6,0,0,0
10508,1,在下心领兄台好意，至于灵将一事……我得先试试你身手。,0,190000,1.7,0,0,0
10601,1,火鬼说这一带不太平，不过看起来好像没什么不对……那边有情况。,10602,190000,1.7,0,0,0
10602,1,住手！你在对那个人做什么！,10603,190000,1.7,0,0,0
10603,0,哟，今天什么日子，来了一个又一个。别急，下一个就轮到你了。,10604,101011,1.6,0,0,0
10604,1,尽找旁门左道的法子修炼，哼，我今日便要教训教训你！,10605,190000,1.7,0,0,0
10605,0,我是个商人，什么热销就卖什么。封灵师的灵魄最近可是大热门呢。,10606,101011,1.6,0,0,0
10606,1,（之前的妖怪似乎也是拿封灵师换的酒宴……）谁是买家？他们的灵魄你放在哪里？,10607,190000,1.7,0,0,0
10607,0,商业机密，不能说。现在，轮到你了。,0,101011,1.6,0,0,0
10701,1,有看守……看来是这儿没错了。我先乔装一下。,10702,190000,1.7,0,0,0
10702,0,站住！什么人？,10703,101011,1.6,0,0,0
10703,1,听说你这儿有一批特别的货。,10704,190000,1.7,0,0,0
10704,0,……谁介绍你来的？,10705,101011,1.6,0,0,0
10705,1,一只掉了毛的鸟~,10706,190000,1.7,0,0,0
10706,0,做梦！货已经运走了，你追不上的。,0,101011,1.6,0,0,0
10801,1,请问你看到有运货的妖怪经过吗？,10802,190000,1.7,0,0,0
10802,0,……,10803,101011,1.6,0,0,0
10803,1,哑巴？算了，我还是自己找吧。,10804,190000,1.7,0,0,0
10804,0,……,10805,101011,1.6,0,0,0
10805,1,糟糕，你跟他们是一伙的！,10806,190000,1.7,0,0,0
10806,0,……,0,101011,1.6,0,0,0
10901,1,不知是谁要那么多封灵师灵魄，也不知送货的走了哪条路……唉，师父知道我如此不争的话肯定要生气了。,10902,190000,1.7,0,0,0
10902,0,槐叶荫荫，拒霜娇娇，忽然叶落随溪去，独留拒霜尽相思。,10903,101011,1.6,0,0,0
10903,1,这位狐兄~打扰一下，请问你有没有看见有运货的妖怪经过？,10904,190000,1.7,0,0,0
10904,0,……,10905,101011,1.6,0,0,0
10905,1,呃……你为何这么凶地瞪我？,10906,190000,1.7,0,0,0
10906,0,是你！是你抢走了她，把她还给我，还给我！,0,101011,1.6,0,0,0
11001,1,好险~不是说水境多是不理世事的快乐妖精，怎么还有疯子？,11002,190000,1.7,0,0,0
11002,0,那是从前。自妖界易主、结界打通之后，哪儿还能独善其身安居一隅。,11003,101011,1.6,0,0,0
11003,0,就比如刚才的疯子，因成亲当天新娘子被路过的妖怪抢了，落下病根，每天只会胡乱打架。,11004,101011,1.6,0,0,0
11004,1,难怪……,11005,190000,1.7,0,0,0
11005,0,唉，虽然我不认为你能打赢那位大人，不过以防万一，还是得请你留在这里。,0,101011,1.6,0,0,0
