INDEX,NAME,TYPE,MODEL,LIFE_TIME,UPDATEPOS,LOCATION_1,LOCATION_2,BONE,APPLY_DIRECTION,X,Y,Z,SOUND,SOUND_START_TIME,EFFECT_SPEED,EFFECT_SIZE
INT,STRING,STRING,STRING,FLOAT,INT,STRING,STRING,STRING,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT
9999,技能释放测试,Effect,effect/Char/ec_skillex,1.2,0,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
90001,技能释放火,Effect,effect/Char/ec_skillexfire,1.2,0,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
90002,技能释放水,Effect,effect/Char/ec_skillexwater,1.2,0,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
90003,技能释放木,Effect,effect/Char/ec_skillexwood,1.2,0,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
90004,技能释放阳,Effect,effect/Char/ec_skillexgold,1.2,0,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
90005,技能释放阴,Effect,effect/Char/ec_skillexshadow,1.2,0,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
1101,缠绕符,Effect,effect/Char/ec_sheepforce_m,2,0,OBJECT,0,Bip01Footsteps,NONE,0,0.5,0,0,0,1,1
1102,减速符,Effect,effect/Char/ec_slowdown_m,2,0,OBJECT,0,Bip01Footsteps,NONE,0,0.5,0,0,0,1,1
1103,鹰眼符,Effect,effect/Char/ec_eagleeye_blue_m,2,1,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
1104,鹰爪符,Effect,effect/Char/ec_talons_m,2,1,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
1105,鹰速符,Effect,effect/Char/ec_eagle_green_m,2,1,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
1106,威武符,Effect,effect/Char/ec_mighty_red_m,2,1,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
1107,不动符,Effect,effect/Char/ec_defense_green_m,2,1,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
1108,无力符,Effect,effect/Char/ec_unable_shadow_m,2,0,OBJECT,0,Bip01Footsteps,NONE,0,0.5,0,0,0,1,1
1109,虚弱符,Effect,effect/Char/ec_weak_gold_m,2,0,OBJECT,0,Bip01Footsteps,NONE,0,0.5,0,0,0,1,1
1110,钝足符,Effect,effect/Char/ec_bluntenough_blue_m,2,0,OBJECT,0,Bip01Footsteps,NONE,0,0.5,0,0,0,1,1
1111,嚎叫符,Effect,effect/Char/ec_howl_blue_m,2,1,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
1112,木肤符,Effect,effect/Char/ec_woodskin_green_m,2,1,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
1113,幸运符,Effect,effect/Char/ec_lucky_red_m,2,1,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
1114,治疗符,Effect,effect/Char/ec_treatment_green_m,2,1,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
1115,霞光符,Effect,effect/Char/ec_twilight_q,2,1,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
1116,回春符,Effect,effect/Char/ec_rejuvenation_q,2,1,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
1117,回命符,Effect,effect/Char/ec_backtolife_q,2,1,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
1118,鹿力符,Effect,effect/Char/ec_luli_m,2,1,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
1001,聚气符（水）起手,Effect,effect/Char/ec_gather_blue_q,1,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1002,聚气符（木）起手,Effect,effect/Char/ec_gather_green_q,1,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1003,聚气符（火）起手,Effect,effect/Char/ec_gather_red_q,1,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1004,聚气符（光）起手,Effect,effect/Char/ec_gettogether_gold_q,1,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1005,聚气符（暗）起手,Effect,effect/Char/ec_gettogether_shadow_q,1,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1006,凝气符（水）起手激光,Effect,effect/Char/ec_condensate_blue_q,4,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1007,凝气符（木）起手激光,Effect,effect/Char/ec_condensate_green_q,4,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1008,凝气符（火）起手激光,Effect,effect/Char/ec_condensate_red_q,4,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1009,凝气符（光）起手激光,Effect,effect/Char/ec_condensate_gold_q,4,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1010,凝气符（暗）起手激光,Effect,effect/Char/ec_condensate_shadow_q,4,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1011,冲击符（水）起手,Effect,effect/Char/ec_impact_blue_q,2,0,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
1012,冲击符（木）起手,Effect,effect/Char/ec_impact_green_q,2,0,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
1013,冲击符（火）起手,Effect,effect/Char/ec_impact_red_q,2,0,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
1014,冲击符（光）起手-预留,Effect,effect/Char/ec_impact_red_q,2,0,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
1015,冲击符（暗）起手-预留,Effect,effect/Char/ec_impact_red_q,2,0,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
1016,气贯长虹（水）起手,Effect,effect/Char/ec_changhong_blue_q,2,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1017,气贯长虹（木）起手,Effect,effect/Char/ec_changhong_green_q,2,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1018,气贯长虹（火）起手,Effect,effect/Char/ec_changhong_red_q,2,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1019,气贯长虹（光）起手,Effect,effect/Char/ec_changhong_gold_q,2,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1020,气贯长虹（暗）起手,Effect,effect/Char/ec_changhong_shadow_q,2,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1021,喷射（水）起手,Effect,effect/Char/ec_jet_blue_q,1.5,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1022,喷射（木）起手,Effect,effect/Char/ec_jet_green_q,1.5,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1023,喷射（火）起手,Effect,effect/Char/ec_jet_red_q,1.5,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1024,喷射（光）起手,Effect,effect/Char/ec_jet_gold_q,1.5,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1025,喷射（暗）起手,Effect,effect/Char/ec_jet_shadow_q,1.5,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1026,机关射线（水）起手,Effect,effect/Char/ec_ray_blue_q,2,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1027,机关射线（木）起手,Effect,effect/Char/ec_ray_green_q,2,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1028,机关射线（火）起手,Effect,effect/Char/ec_ray_red_q,2,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1030,超级机关射线（光）起手,Effect,effect/Char/ec_authorityray_z,2,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1031,超级机关射线（暗）起手,Effect,effect/Char/ec_authorityray_shadow,2,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
1032,蜘蛛网,Effect,Effect/Char/ec_slowdown_m,1.5,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
2000,空子弹飞行,Effect,effect/Atteffect/empty,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2001,聚气符（水）飞行,Effect,effect/Char/ec_gather_blue_z,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2002,聚气符（木）飞行,Effect,effect/Char/ec_gather_green_z,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2003,聚气符（火）飞行,Effect,effect/Char/ec_gather_red_z,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2004,聚气符（光）飞行,Effect,effect/Char/ec_gettogether_gold_z,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2005,聚气符（暗）飞行,Effect,effect/Char/ec_gettogether_shadow_z,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2006,冲击符（水）飞行,Effect,effect/Char/ec_impact_blue_z,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2007,冲击符（木）飞行,Effect,effect/Char/ec_impact_green_z,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2008,冲击符（火）飞行,Effect,effect/Char/ec_impact_red_z,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2009,冲击符（光）飞行-预留,Effect,effect/Char/ec_impact_red_z,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2010,冲击符（暗）飞行-预留,Effect,effect/Char/ec_impact_red_z,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2011,爆裂符（水）飞行,Effect,effect/Char/ec_burst_blue_z,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2012,爆裂符（木）飞行,Effect,effect/Char/ec_burst_green_z,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2013,爆裂符（火）飞行,Effect,effect/Char/ec_burst_red_z,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2014,爆裂符（光）飞行,Effect,effect/Char/ec_burst_gold_z,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2015,爆裂符（暗）飞行,Effect,effect/Char/ec_burst_gold_z,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2016,大爆裂符（水）飞行,Effect,effect/Char/ec_boom_blue_z,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2017,大爆裂符（木）飞行,Effect,effect/Char/ec_boom_green_z,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2018,大爆裂符（火）飞行,Effect,effect/Char/ec_boom_red_z,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2019,大爆裂符（光）飞行,Effect,effect/Char/ec_boom_gold_z,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2020,大爆裂符（暗）飞行,Effect,effect/Char/ec_boom_shadow_z,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2021,巨剑符（水）起手（实际为飞行）,Effect,effect/Char/ec_sword_blue_q,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2022,巨剑符（木）起手（实际为飞行）,Effect,effect/Char/ec_sword_green_q,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2023,巨剑符（火）起手（实际为飞行）,Effect,effect/Char/ec_sword_red_q,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2024,巨剑符（光）起手（实际为飞行）-暂时使用火代替,Effect,effect/Char/ec_sword_red_q,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2025,巨剑符（暗）起手（实际为飞行）-暂时使用火代替,Effect,effect/Char/ec_sword_red_q,10,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2026,天罡符（木）飞行,Effect,effect/Char/ec_highestday_green_z,3,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2027,天罡符（火）飞行,Effect,effect/Char/ec_highestday_red_z,3,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
2028,鬼剑巨剑符（水）起手（实际为飞行）,Effect,effect/Char/ec_ghostsword_blue_q,3.5,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2029,鬼剑巨剑符（木）起手（实际为飞行）,Effect,effect/Char/ec_ghostsword_green_q,3.5,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2030,鬼剑巨剑符（火）起手（实际为飞行）,Effect,effect/Char/ec_ghostsword_red_q,3.5,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2031,鬼剑巨剑符（光）起手（实际为飞行）,Effect,effect/Char/ec_ghostsword_gold_q,3.5,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2032,鬼剑巨剑符（暗）起手（实际为飞行）,Effect,effect/Char/ec_ghostsword_shadow_q,3.5,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2033,青龙符飞行,Effect,effect/Char/ec_tsinglung_z,3.5,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2034,朱雀符飞行,Effect,effect/Char/ec_rosefinch_z,3.5,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2035,暴食（木）,Effect,effect/Char/ec_taotie_z,3.5,0,OBJECT,0,Bip01Footsteps,LINE,0,0.5,0,0,0,1,1
2036,神威,Effect,effect/Char/ec_comparedto_q,3.5,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2037,天庭火,Effect,effect/Char/skill_bossgoldenlionskill1,3.5,0,OBJECT,0,Bip01Footsteps,NONE,0,0.1,0,0,0,1,1
2038,天罡符（木）起手,Effect,effect/Char/ec_sheepforce_z,3.5,0,OBJECT,0,Bip01Footsteps,NONE,0,1,0,0,0,1,1
2039,天罡符（火）起手,Effect,effect/Char/ec_highestday_red_z,3.5,0,OBJECT,0,Bip01Footsteps,NONE,0,0,0,0,0,1,1
2040,超级机关射线（暗）子弹,Effect,effect/Atteffect/empty,3.5,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,Sound/new/TX/xingtian,0,1,1
2041,猴子锤子子弹,Effect,Effect/Char/ec_chuizifly,3.5,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2042,狐狸魅惑子弹,Effect,effect/Atteffect/ec_meihuofox,3.5,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2043,技能子弹,Effect,Effect/Char/ec_queskillnew,3.5,0,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
2044,机关枪子弹,Effect,Effect/Atteffect/noratt_quefly,3.5,0,OBJECT,0,Bip01Footsteps,LINE,0,1.2,0,0,0,1,1
2045,主角新技能，散弹,Effect,Effect/Char/ec_rolesanzidan,3.5,0,OBJECT,0,Bip01Footsteps,LINE,0,0,0,0,0,1,1
3000,加红+,Effect,effect/State/ec_redcross,1,1,BONE,0,Bip01 Head,NONE,0,0,0,0,0,1,1
3001,加蓝+,Effect,effect/State/ec_bluecross,1,1,BONE,0,Bip01 Head,NONE,0.5,0,0,0,0,1,1
3002,掉落红,DropEffect,effect/State/effectballhp,9000,1,0,0,0,0,0.5,2,0,0,0,1,1
3003,掉落蓝,DropEffect,effect/State/effectballmp,9000,1,0,0,0,0,0,2,0.5,0,0,1,1
3004,绿叶旋风,BaseEffect,effect/cfx3/cartoonfx/cfx3prefabs/nature/cfx3_shield_leaves,2,1,OBJECT,0,Bip01 Head,NONE,0,1,0,0,0,1,1
3005,范围特效,Effect,effect/State/bound_effect,0,1,OBJECT,0,0,0,0,0.2,0,0,0,1,1
3006,感叹号,WarnEffect,0,0,1,OBJECT,0,Bip01 Head,0,0,2,0,0,0,1,1
3007,测试BUFFER,Effect,db/prefabs/skill/bluehoming,0,1,BONE,0,Bip01 Head,0,0,0.6,0,0,0,1,1
3008,聚气符（水）命中,Effect,effect/Char/ec_gather_blue_m,1,1,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
3009,聚气符（木）命中,Effect,effect/Char/ec_gather_green_m,1,1,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
3010,聚气符（火）命中,Effect,effect/Char/ec_gather_red_m,1,1,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
3011,聚气符（光）命中-暂时使用火代替,Effect,effect/Char/ec_gather_red_m,1,1,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
3012,聚气符（暗）命中-暂时使用火代替,Effect,effect/Char/ec_gather_red_m,1,1,OBJECT,0,Bip01Footsteps,LINE,0,1,0,0,0,1,1
3013,爆裂符（水）命中,Effect,effect/Char/ec_burst_blue_m,1,1,OBJECT,0,Bip01Footsteps,NONE,0,1,0,0,0,1,1
3014,爆裂符（水）命中,Effect,effect/Char/ec_burst_green_m,1,1,OBJECT,0,Bip01Footsteps,NONE,0,1,0,0,0,1,1
3015,爆裂符（水）命中,Effect,effect/Char/ec_burst_red_m,1,1,OBJECT,0,Bip01Footsteps,NONE,0,1,0,0,0,1,1
3016,爆裂符（水）命中,Effect,effect/Char/ec_burst_gold_m,1,1,OBJECT,0,Bip01Footsteps,NONE,0,1,0,0,0,1,1
3017,爆裂符（水）命中,Effect,effect/Char/ec_burst_shadow_m,1,1,OBJECT,0,Bip01Footsteps,NONE,0,1,0,0,0,1,1
3018,大爆裂符（水）命中,Effect,effect/Char/ec_boom_blue_m,1.5,1,OBJECT,0,Bip01Footsteps,NONE,0,1,0,0,0,1,1
3019,大爆裂符（木）命中,Effect,effect/Char/ec_boom_green_m,1.5,1,OBJECT,0,Bip01Footsteps,NONE,0,1,0,0,0,1,1
3020,大爆裂符（火）命中,Effect,effect/Char/ec_boom_red_m,1.5,1,OBJECT,0,Bip01Footsteps,NONE,0,1,0,0,0,1,1
3021,大爆裂符（光）命中-暂时使用火代替,Effect,effect/Char/ec_boom_gold_m,1.5,1,OBJECT,0,Bip01Footsteps,NONE,0,1,0,0,0,1,1
3022,大爆裂符（暗）命中-暂时使用火代替,Effect,effect/Char/ec_boom_shadow_m,1.5,1,OBJECT,0,Bip01Footsteps,NONE,0,1,0,0,0,1,1
3023,天罡符（木）命中,Effect,effect/Char/ec_highestday_green_m,1,1,OBJECT,0,Bip01Footsteps,NONE,0,1,0,0,0,1,1
