INDEX,DESC
INT,STRING
10001,搜山过程中遇到拦路虎抢劫，让你交出过路费
10002,搜山过程中遇到拦路虎抢劫，让你交出过路费
10003,搜山过程中遇到拦路虎抢劫，让你交出过路费
10004,搜山过程中遇到拦路虎抢劫，让你交出过路费
10005,搜山过程中遇到拦路虎抢劫，让你交出过路费
10006,搜山过程中遇到拦路虎抢劫，让你交出过路费
10007,搜山过程中遇到拦路虎抢劫，让你交出过路费
10008,搜山过程中遇到拦路虎抢劫，让你交出过路费
10009,搜山过程中遇到拦路虎抢劫，让你交出过路费
10010,搜山过程中遇到拦路虎抢劫，让你交出过路费
20001,好友{0}帮你击退了拦路虎，获得精力×2
20002,好友{0}帮你击退了拦路虎，获得精力×2
20003,好友{0}帮你击退了拦路虎，获得精力×2
20004,好友{0}帮你击退了拦路虎，获得精力×2
20005,好友{0}帮你击退了拦路虎，获得精力×2
20006,好友{0}帮你击退了拦路虎，获得精力×2
20007,好友{0}帮你击退了拦路虎，获得精力×2
20008,好友{0}帮你击退了拦路虎，获得精力×2
20009,好友{0}帮你击退了拦路虎，获得精力×2
20010,好友{0}帮你击退了拦路虎，获得精力×2
30001,{0}通过搜镇妖山获得了{1}×{2}个
30002,{0}通过击败魔王获得了{1}×{2}个
30003,{0}遇到仙人，仙人赠送礼物，获得了{1}×{2}个
30004,{0}通过搜镇妖山获得了{1}×{2}个
30005,{0}通过击败魔王获得了{1}×{2}个
30006,{0}遇到仙人，仙人赠送礼物，获得了{1}×{2}个
30007,{0}通过搜镇妖山获得了{1}×{2}个
30008,{0}通过击败魔王获得了{1}×{2}个
30009,{0}遇到仙人，仙人赠送礼物，获得了{1}×{2}个
30010,{0}遇到仙人，仙人赠送礼物，获得了{1}×{2}个
40001,{0}完成镇妖，获得了{1}×{2}个
