INDEX,Type,TITLE,DESC,ICON_ATLAS_NAME,ICON_SPRITE_NAME,FAILD_ATLAS_NAME,FAILD_SPRITE_NAME,Function_ID
INT,INT,STRING,STRING,STRING,STRING,STRING,STRING,INT
10001,1,灵将升级,灵将升级,GainResPathAtlas,a_ui_ziyuan_jiandan,trialUIAtlas,a_ui_failguide_icon_01,721
10002,2,灵将突破,灵将突破,GainResPathAtlas,a_ui_ziyuan_jiandan,trialUIAtlas,a_ui_failguide_icon_02,722
10003,3,灵将天命,灵将天命,GainResPathAtlas,a_ui_ziyuan_jiandan,trialUIAtlas,a_ui_failguide_icon_03,2400
10004,4,灵将技能,灵将技能,GainResPathAtlas,a_ui_ziyuan_jiandan,trialUIAtlas,a_ui_failguide_icon_04,728
10005,5,装备强化,装备强化,GainResPathAtlas,a_ui_ziyuan_jiandan,trialUIAtlas,a_ui_failguide_icon_05,1100
10006,6,装备精炼,装备精炼,GainResPathAtlas,a_ui_ziyuan_jiandan,trialUIAtlas,a_ui_failguide_icon_06,759
10007,7,神器强化,神器强化,GainResPathAtlas,a_ui_ziyuan_jiandan,trialUIAtlas,a_ui_failguide_icon_07,762
10008,8,神器精炼,神器精炼,GainResPathAtlas,a_ui_ziyuan_jiandan,trialUIAtlas,a_ui_failguide_icon_08,760
10009,9,竞技场,竞技场,GainResPathAtlas,a_ui_ziyuan_dianfengtiaozhan,trialUIAtlas,a_ui_ziyuan_dianfengtiaozhan,1405
10010,10,夺宝,夺宝,GainResPathAtlas,a_ui_ziyuan_duobao,trialUIAtlas,a_ui_failguide_icon_12,1403
10011,11,好友,好友,GainResPathAtlas,a_ui_ziyuan_jiandan,trialUIAtlas,a_ui_ziyuan_jiandan,500
10012,12,宗门商店,宗门商店,GainResPathAtlas,a_ui_ziyuan_gongxianshangdian,trialUIAtlas,a_ui_ziyuan_gongxianshangdian,1902
10013,13,商城,商城,GainResPathAtlas,a_ui_ziyuan_daoju,trialUIAtlas,a_ui_ziyuan_daoju,1900
10014,14,封灵符商店,封灵符商店,GainResPathAtlas,a_ui_ziyuan_lingheshangdian,trialUIAtlas,a_ui_ziyuan_lingheshangdian,1903
