STRING,STRING,STRING
INDEX,VALUE,INFO
FOLLOW_BOUND,2.2,
LEAVE_BOUND,4,
BOSS_APEAR_RATE,20,
PVP_PET_SKILL_RATE,60,宠物在PVP时自动释放绑定技能的概率
PVP_TICKET_TIME,1800,PVP挑战点恢复时间
SELECT_HELP_FRIEND_POINT,10,选择好友助战获得友情点
PRAISE_FRIEND_CD_TIME,86400,赠送好友友情点冷却时间（24小时）
FRIEND_HELP_CD_TIME,7200,好友助战冷却时间
MAX_MAIL_COUNT,200,最大邮件数量
,,
CLIENT_VERSION_NUMBER,0.7.8,游戏版本号
LOG,YES,是否记录日志文件(只有YES才记录)
LOG_ON_SCREEN,NO,是否在屏幕上输出日志（只有YES才输出）
LOG_ON_CONSOLE,YES,是否在控制台上输出日志（只有YES才输出）
PING_LOG_ON_SCREEN,YES,是否在屏幕上输出PING信息（只有YES才输出）
LOG_IP,YES,是否输出IP和端口（只有YES才输出）
USE_SDK,NO,是否启用SDK（只有YES且在移动平台上才可启用）
LOADING_TIME,NO,是否需要输出loading起止时间(只有YES才输出)
,,
WORLD_MAP_NUMBER,50,世界地图数量
LOADING_BACKGROUND_NUMBER,15,loding背景图片数量
FPS,NO,是否打开pfs显示(只有YES才显示)
CHAT_WORLD_NEED_COST_COUNT,10,世界聊天发言一次花费的宝石数量
UTILITY_TD_I,66#39#102#80#252#191#74#108#102#176#198#140#42#48#187#203#39#222#230#224#157#245#81#173,3DES索引
FOUR_VS_FOUR_MAX_BATTLE_TIME,120,4v4战斗的最大时间（超时即为输）
ENABLE_GUIDE,YES,是否开启新手引导（改变此配置只对新申请账号有效，不会对进行中的引导产生影响）
ENABLE_PROLOGUE,YES,是否开启序章假战斗(此配置只有在开启新手引导的前提下才会生效)
ENABLE_UPDATE_SERVER_LIST,NO,是否通过资源服务器获取服务器列表
REFRESH_MYSTERIOUS_SHOP,10,刷新神秘商店每次增加的元宝数量
ELEMENT_RATIO,0.5,属性相克加成系数
LOGIN_IP,106.75.7.149,登录IP
LOGIN_PORT,8080,登录port
AUTO_BATTLE_SPEED,1,自动战斗游戏速度
SPEED_X2,1.5,两倍速
SPEED_X3,2,三倍速
SPEED_X2_LEVEL,9,2倍速开启等级
SPEED_X3_LEVEL,25,3倍速开启等级
SPEED_X2_VIP,1,2倍速开启VIP等级
SPEED_X3_VIP,1,3倍速开启VIP等级
GM_SUPER,YES,开启超级工具
IS_USE_SDK,YES,
IS_CLOSE_BTN,NO,
IS_CLOSE_MAIL,NO,
IS_ONLINE_VERSION,YES,是否线上版本
IS_DYNAMIC_UI,NO,是否开启动态UI
IS_OPEN_MOVE_TIPS,YES,是否开启队伍飘字提示
IS_USE_MV_SKIP_TIP,NO,是否开启MV跳过提示
IS_USE_WINDOW_POINT_MARK,NO,是否使用窗口点遮罩
CAN_MOVE_PAGE_MAX,1,关卡最大翻页
GUIDE_CHARS_PER_SECOND,20,新手引导内容每秒出现的字数
FATE_NOTIC_RATE,0.3,
CHAT_TEXT_MAX_NUM,100,聊天框内所能容纳的最大字数
,,
139.196.33.199,,
8082,,
10.0.0.226,,
8080,,
139.196.35.90,,
8082,,
10.0.0.49,,
8080,,
139.196.33.199,,
8080,,
123.57.150.140,,
8080,,
123.57.150.144,,
8080,,
,,
MAX_SCENE_SOUND,8,场景中战斗音效的最大数量
ATTENUATION_TIME,0,音效衰减持续时间
USE_PUSHMESSAGE,YES,推送消息开关
