INDEX,LEVEL_MIN,LEVEL_MAX,WEIGHT,ROLE_LEVEL,ROLE_ID,PET_ID1,PET_ID2,PET_ID3
INT,INT,INT,INT,INT,INT,INT,INT,INT
1,1,10,100,9,50021,30088,30077,0
2,1,10,100,8,50120,30079,30090,0
3,1,10,100,8,50020,30088,30085,0
4,1,10,100,3,50120,30095,30082,0
5,1,10,100,6,50020,30079,30097,0
6,1,10,100,5,50120,30088,30092,0
7,1,10,100,10,50120,30083,30077,0
8,1,10,100,9,50020,30095,30087,0
9,1,10,100,7,50020,30081,30087,0
10,1,10,100,5,50120,30088,30085,0
11,1,10,100,9,50120,30088,30077,0
12,1,10,100,3,50120,30079,30097,0
13,1,10,100,2,50120,30081,30092,0
14,1,10,100,9,50020,30079,30090,0
15,1,10,100,8,50020,30083,30077,0
16,1,10,100,2,50020,30083,30080,0
17,1,10,100,10,50120,30083,30080,0
18,1,10,100,7,50120,30095,30085,0
19,1,10,100,4,50120,30081,30087,0
20,1,10,100,3,50020,30079,30082,0
21,1,10,100,2,50020,30095,30082,0
22,1,10,100,1,50120,30081,30074,0
23,1,10,100,7,50020,30095,30085,0
24,1,10,100,9,50120,30083,30084,0
25,1,10,100,9,50020,30088,30077,0
26,1,10,100,8,50020,30083,30084,0
27,1,10,100,3,50120,30079,30082,0
28,1,10,100,7,50020,30081,30074,0
29,1,10,100,6,50020,30081,30092,0
30,1,10,100,2,50120,30095,30087,0
31,1,10,100,9,50020,30088,30092,0
32,1,10,100,8,50020,30079,30090,0
33,1,10,100,2,50120,30088,30085,0
34,1,10,100,4,50020,30081,30074,0
35,1,10,100,10,50020,30081,30092,0
36,1,10,100,5,50020,30088,30077,0
37,1,10,100,10,50120,30081,30074,0
38,1,10,100,5,50120,30083,30084,0
39,1,10,100,9,50020,30079,30097,0
40,1,10,100,6,50020,30079,30082,0
41,1,10,100,6,50120,30088,30077,0
42,1,10,100,4,50020,30081,30087,0
43,1,10,100,2,50020,30083,30077,0
44,1,10,100,10,50120,30081,30087,0
45,1,10,100,10,50120,30095,30082,0
46,1,10,100,9,50020,30088,30085,0
47,1,10,100,7,50120,30083,30077,0
48,1,10,100,4,50120,30095,30087,0
49,1,10,100,4,50120,30095,30085,0
50,1,10,100,7,50020,30088,30092,0
51,1,10,100,1,50020,30095,30085,0
52,1,10,100,2,50120,30081,30092,0
53,1,10,100,7,50020,30083,30080,0
54,1,10,100,1,50020,30083,30084,0
55,1,10,100,6,50120,30079,30090,0
56,1,10,100,6,50120,30083,30080,0
57,1,10,100,6,50020,30095,30082,0
58,1,10,100,4,50120,30088,30092,0
59,1,10,100,8,50020,30095,30087,0
60,1,10,100,3,50120,30079,30097,0
61,1,10,100,2,50120,30079,30082,0
62,11,20,100,14,50021,30088,30077,0
63,11,20,100,11,50120,30079,30090,0
64,11,20,100,13,50020,30088,30085,0
65,11,20,100,13,50120,30095,30082,0
66,11,20,100,16,50020,30079,30097,0
67,11,20,100,15,50120,30088,30092,0
68,11,20,100,17,50120,30083,30077,0
69,11,20,100,11,50020,30095,30087,0
70,11,20,100,16,50020,30081,30087,0
71,11,20,100,17,50120,30088,30085,0
72,11,20,100,15,50120,30088,30077,0
73,11,20,100,13,50120,30079,30097,0
74,11,20,100,18,50120,30081,30092,0
75,11,20,100,15,50020,30079,30090,0
76,11,20,100,14,50020,30083,30077,0
77,11,20,100,17,50020,30083,30080,0
78,11,20,100,15,50120,30083,30080,0
79,11,20,100,19,50120,30095,30085,0
80,11,20,100,16,50120,30081,30087,0
81,11,20,100,11,50020,30079,30082,0
82,11,20,100,13,50020,30095,30082,0
83,11,20,100,16,50120,30081,30074,0
84,11,20,100,17,50020,30095,30085,0
85,11,20,100,13,50120,30083,30084,0
86,11,20,100,13,50020,30088,30077,0
87,11,20,100,18,50020,30083,30084,0
88,11,20,100,19,50120,30079,30082,0
89,11,20,100,16,50020,30081,30074,0
90,11,20,100,18,50020,30081,30092,0
91,11,20,100,15,50120,30095,30087,0
92,11,20,100,20,50020,30088,30092,0
93,11,20,100,12,50020,30079,30090,0
94,11,20,100,14,50120,30088,30085,0
95,11,20,100,20,50020,30081,30074,0
96,11,20,100,18,50020,30081,30092,0
97,11,20,100,11,50020,30088,30077,0
98,11,20,100,11,50120,30081,30074,0
99,11,20,100,13,50120,30083,30084,0
100,11,20,100,17,50020,30079,30097,0
101,11,20,100,19,50020,30079,30082,0
102,11,20,100,15,50120,30088,30077,0
103,11,20,100,11,50020,30081,30087,0
104,11,20,100,15,50020,30083,30077,0
105,11,20,100,15,50120,30081,30087,0
106,11,20,100,18,50120,30095,30082,0
107,11,20,100,12,50020,30088,30085,0
108,11,20,100,17,50120,30083,30077,0
109,11,20,100,15,50120,30095,30087,0
110,11,20,100,15,50120,30095,30085,0
111,11,20,100,11,50020,30088,30092,0
112,11,20,100,12,50020,30095,30085,0
113,11,20,100,18,50120,30081,30092,0
114,11,20,100,17,50020,30083,30080,0
115,11,20,100,20,50020,30083,30084,0
116,11,20,100,15,50120,30079,30090,0
117,11,20,100,14,50120,30083,30080,0
118,11,20,100,12,50020,30095,30082,0
119,11,20,100,15,50120,30088,30092,0
120,11,20,100,16,50020,30095,30087,0
121,11,20,100,16,50120,30079,30097,0
122,11,20,100,12,50120,30079,30082,0
123,21,30,100,28,50019,30081,30090,30092
124,21,30,100,21,50019,30079,30082,30092
125,21,30,100,21,50019,30088,30077,30087
126,21,30,100,27,50019,30081,30097,30087
127,21,30,100,30,50019,30095,30097,30084
128,21,30,100,22,50019,30083,30080,30087
129,21,30,100,26,50119,30083,30080,30087
130,21,30,100,26,50019,30088,30090,30085
131,21,30,100,26,50119,30083,30082,30087
132,21,30,100,26,50119,30088,30077,30087
133,21,30,100,29,50119,30079,30097,30077
134,21,30,100,30,50119,30095,30092,30084
135,21,30,100,28,50119,30079,30074,30077
136,21,30,100,23,50019,30095,30085,30092
137,21,30,100,29,50119,30088,30082,30085
138,21,30,100,25,50019,30083,30085,30077
139,21,30,100,24,50119,30081,30080,30084
140,21,30,100,24,50019,30095,30092,30084
141,21,30,100,25,50119,30081,30097,30087
142,21,30,100,29,50119,30088,30090,30085
143,21,30,100,27,50119,30095,30097,30084
144,21,30,100,24,50119,30079,30082,30092
145,21,30,100,30,50119,30083,30085,30077
146,21,30,100,29,50119,30081,30090,30092
147,21,30,100,29,50119,30095,30085,30092
148,21,30,100,29,50019,30079,30074,30077
149,21,30,100,22,50019,30083,30082,30087
150,21,30,100,28,50019,30079,30097,30077
151,21,30,100,25,50019,30088,30082,30085
152,21,30,100,27,50019,30081,30080,30084
153,21,30,100,29,50119,30083,30082,30087
154,21,30,100,24,50019,30095,30097,30084
155,21,30,100,26,50119,30095,30085,30092
156,21,30,100,29,50019,30081,30097,30087
157,21,30,100,27,50119,30081,30090,30092
158,21,30,100,27,50119,30088,30090,30085
159,21,30,100,28,50019,30079,30097,30077
160,21,30,100,28,50019,30081,30090,30092
161,21,30,100,26,50119,30088,30077,30087
162,21,30,100,29,50119,30095,30092,30084
163,21,30,100,27,50119,30095,30097,30084
164,21,30,100,30,50019,30083,30082,30087
165,21,30,100,23,50119,30081,30080,30084
166,21,30,100,26,50019,30095,30092,30084
167,21,30,100,27,50119,30081,30097,30087
168,21,30,100,22,50019,30088,30082,30085
169,21,30,100,24,50019,30095,30085,30092
170,21,30,100,26,50019,30079,30082,30092
171,21,30,100,30,50119,30083,30085,30077
172,21,30,100,29,50119,30079,30097,30077
173,21,30,100,25,50119,30079,30082,30092
174,21,30,100,27,50019,30083,30080,30087
175,21,30,100,29,50119,30088,30082,30085
176,21,30,100,21,50019,30081,30080,30084
177,21,30,100,27,50019,30088,30077,30087
178,21,30,100,29,50019,30088,30090,30085
179,21,30,100,26,50019,30083,30085,30077
180,21,30,100,23,50119,30079,30074,30077
181,21,30,100,27,50119,30083,30080,30087
182,21,30,100,22,50019,30079,30074,30077
183,31,40,100,34,50118,30079,30080,30085
184,31,40,100,40,50118,30095,30090,30077
185,31,40,100,31,50118,30081,30082,30084
186,31,40,100,36,50018,30079,30080,30085
187,31,40,100,35,50118,30088,30097,30087
188,31,40,100,39,50018,30088,30097,30087
189,31,40,100,31,50018,30095,30090,30077
190,31,40,100,37,50018,30081,30082,30084
191,31,40,100,31,50018,30083,30074,30092
192,31,40,100,33,50118,30083,30074,30092
193,31,40,100,33,50118,30081,30082,30084
194,31,40,100,32,50018,30083,30074,30092
195,31,40,100,34,50018,30088,30097,30087
196,31,40,100,31,50118,30088,30097,30087
197,31,40,100,32,50118,30083,30074,30092
198,31,40,100,37,50018,30079,30080,30085
199,31,40,100,38,50018,30081,30082,30084
200,31,40,100,36,50118,30095,30090,30077
201,31,40,100,32,50118,30079,30080,30085
202,31,40,100,35,50018,30095,30090,30077
203,41,50,100,47,50017,30088,30097,30104
204,41,50,100,41,50017,30081,30082,30100
205,41,50,100,50,50117,30088,30097,30104
206,41,50,100,46,50117,30079,30080,30117
207,41,50,100,41,50017,30079,30085,30103
208,41,50,100,46,50017,30079,30085,30105
209,41,50,100,45,50117,30088,30087,30118
210,41,50,100,49,50017,30097,30087,30076
211,41,50,100,42,50117,30090,30077,30113
212,41,50,100,41,50117,30080,30085,30098
213,41,50,100,44,50117,30074,30092,30102
214,41,50,100,47,50017,30083,30074,30106
215,41,50,100,45,50017,30081,30082,30096
216,41,50,100,47,50017,30083,30092,30099
217,41,50,100,41,50117,30079,30085,30105
218,41,50,100,41,50117,30083,30092,30099
219,41,50,100,48,50017,30081,30084,30094
220,41,50,100,48,50117,30081,30082,30100
221,41,50,100,45,50117,30082,30084,30116
222,41,50,100,46,50017,30080,30085,30098
223,41,50,100,44,50017,30074,30092,30102
224,41,50,100,46,50017,30088,30097,30112
225,41,50,100,43,50117,30081,30082,30096
226,41,50,100,50,50017,30079,30080,30117
227,41,50,100,48,50117,30095,30090,30107
228,41,50,100,47,50117,30095,30077,30110
229,41,50,100,43,50017,30095,30090,30107
230,41,50,100,43,50117,30083,30074,30111
231,41,50,100,47,50117,30097,30087,30076
232,41,50,100,46,50017,30095,30077,30110
233,41,50,100,47,50017,30083,30074,30111
234,41,50,100,42,50117,30083,30074,30106
235,41,50,100,42,50117,30088,30097,30112
236,41,50,100,49,50017,30090,30077,30113
237,41,50,100,49,50017,30082,30084,30116
238,41,50,100,42,50117,30081,30084,30094
239,41,50,100,41,50017,30088,30087,30118
240,41,50,100,42,50117,30079,30085,30103
241,41,50,100,48,50117,30079,30085,30103
242,41,50,100,43,50017,30079,30080,30117
243,41,50,100,47,50117,30080,30085,30098
244,41,50,100,50,50017,30083,30074,30106
245,41,50,100,41,50017,30090,30077,30113
246,41,50,100,49,50117,30088,30097,30112
247,41,50,100,43,50117,30088,30087,30118
248,41,50,100,44,50017,30083,30092,30099
249,41,50,100,41,50117,30082,30084,30116
250,41,50,100,44,50017,30080,30085,30098
251,41,50,100,41,50017,30081,30082,30096
252,41,50,100,45,50117,30095,30077,30110
253,41,50,100,42,50117,30095,30090,30107
254,41,50,100,47,50017,30088,30087,30118
255,41,50,100,42,50017,30088,30097,30112
256,41,50,100,44,50117,30074,30092,30102
257,41,50,100,47,50117,30081,30082,30100
258,41,50,100,44,50117,30088,30097,30104
259,41,50,100,47,50117,30097,30087,30076
260,41,50,100,45,50117,30083,30074,30106
261,41,50,100,48,50017,30079,30085,30105
262,41,50,100,43,50117,30090,30077,30113
263,41,50,100,44,50017,30074,30092,30102
264,41,50,100,46,50017,30079,30085,30103
265,41,50,100,41,50117,30079,30085,30105
266,41,50,100,42,50117,30081,30082,30096
267,41,50,100,50,50117,30079,30080,30117
268,41,50,100,49,50017,30088,30097,30104
269,41,50,100,48,50017,30095,30090,30107
270,41,50,100,47,50117,30083,30074,30111
271,41,50,100,44,50017,30097,30087,30076
272,41,50,100,50,50117,30081,30084,30094
273,41,50,100,44,50017,30095,30077,30110
274,41,50,100,44,50017,30082,30084,30116
275,41,50,100,50,50017,30083,30074,30111
276,41,50,100,45,50117,30083,30092,30099
277,41,50,100,49,50017,30081,30084,30094
278,41,50,100,48,50017,30081,30082,30100
279,51,60,100,51,50116,30079,30103,30108
280,51,60,100,55,50116,30081,30094,30096
281,51,60,100,58,50116,30081,30100,30093
282,51,60,100,58,50016,30084,30116,30100
283,51,60,100,59,50116,30085,30098,30105
284,51,60,100,51,50016,30079,30105,30108
285,51,60,100,54,50116,30083,30099,30111
286,51,60,100,60,50016,30079,30117,30108
287,51,60,100,60,50116,30074,30102,30099
288,51,60,100,57,50116,30088,30112,30104
289,51,60,100,54,50016,30077,30113,30107
290,51,60,100,52,50116,30081,30096,30100
291,51,60,100,55,50016,30080,30098,30117
292,51,60,100,52,50016,30081,30100,30093
293,51,60,100,54,50116,30088,30104,30115
294,51,60,100,54,50116,30083,30106,30099
295,51,60,100,56,50016,30077,30113,30110
296,51,60,100,60,50016,30083,30111,30106
297,51,60,100,58,50016,30087,30076,30104
298,51,60,100,56,50116,30084,30116,30094
299,51,60,100,55,50116,30097,30076,30112
300,51,60,100,54,50016,30083,30106,30099
301,51,60,100,56,50116,30077,30113,30107
302,51,60,100,60,50116,30079,30117,30108
303,51,60,100,56,50016,30074,30102,30099
304,51,60,100,54,50116,30095,30110,30107
305,51,60,100,54,50116,30077,30113,30110
306,51,60,100,56,50116,30084,30116,30100
307,51,60,100,59,50016,30079,30103,30108
308,51,60,100,54,50016,30088,30104,30115
309,51,60,100,57,50016,30095,30107,30086
310,51,60,100,57,50016,30081,30096,30100
311,51,60,100,55,50016,30083,30099,30111
312,51,60,100,51,50016,30084,30116,30094
313,51,60,100,53,50016,30088,30118,30112
314,51,60,100,60,50016,30095,30110,30107
315,51,60,100,51,50116,30088,30118,30112
316,51,60,100,52,50116,30080,30098,30117
317,51,60,100,57,50116,30083,30111,30106
318,51,60,100,53,50116,30087,30076,30104
319,51,60,100,58,50016,30085,30098,30105
320,51,60,100,53,50016,30081,30094,30096
321,51,60,100,56,50016,30088,30112,30104
322,51,60,100,55,50116,30095,30107,30086
323,51,60,100,51,50116,30079,30105,30108
324,51,60,100,55,50016,30097,30076,30112
325,51,60,100,55,50115,30083,30099,30111
326,51,60,100,59,50015,30087,30076,30104
327,51,60,100,56,50115,30079,30105,30108
328,51,60,100,57,50115,30097,30076,30112
329,51,60,100,58,50015,30077,30113,30107
330,51,60,100,60,50015,30080,30098,30117
331,51,60,100,58,50115,30088,30112,30104
332,51,60,100,60,50015,30074,30102,30099
333,51,60,100,58,50115,30083,30111,30106
334,51,60,100,53,50115,30084,30116,30094
335,51,60,100,52,50015,30081,30100,30093
336,51,60,100,56,50015,30077,30113,30110
337,51,60,100,55,50015,30079,30103,30108
338,51,60,100,52,50015,30085,30098,30105
339,51,60,100,56,50015,30084,30116,30100
340,51,60,100,57,50015,30088,30112,30104
341,51,60,100,54,50015,30081,30094,30096
342,51,60,100,60,50115,30081,30100,30093
343,51,60,100,53,50015,30081,30096,30100
344,51,60,100,57,50115,30077,30113,30107
345,51,60,100,60,50015,30083,30106,30099
346,51,60,100,58,50115,30095,30107,30086
347,51,60,100,54,50015,30083,30111,30106
348,51,60,100,51,50115,30088,30104,30115
349,51,60,100,57,50115,30080,30098,30117
350,51,60,100,55,50115,30087,30076,30104
351,51,60,100,57,50115,30085,30098,30105
352,51,60,100,52,50115,30095,30110,30107
353,51,60,100,51,50015,30079,30105,30108
354,51,60,100,52,50115,30081,30096,30100
355,51,60,100,56,50015,30083,30099,30111
356,51,60,100,54,50015,30095,30110,30107
357,51,60,100,58,50115,30077,30113,30110
358,51,60,100,55,50015,30097,30076,30112
359,51,60,100,59,50015,30084,30116,30094
360,51,60,100,56,50015,30088,30118,30112
361,51,60,100,53,50015,30079,30117,30108
362,51,60,100,54,50115,30079,30103,30108
363,51,60,100,60,50115,30081,30094,30096
364,51,60,100,58,50115,30088,30118,30112
365,51,60,100,58,50115,30079,30117,30108
366,51,60,100,54,50015,30088,30104,30115
367,51,60,100,55,50115,30084,30116,30100
368,51,60,100,51,50015,30095,30107,30086
369,51,60,100,59,50115,30074,30102,30099
370,51,60,100,56,50115,30083,30106,30099
371,51,60,100,57,50014,30081,30094,30096
372,51,60,100,56,50014,30085,30098,30105
373,51,60,100,59,50014,30081,30100,30093
374,51,60,100,54,50014,30095,30110,30107
375,51,60,100,54,50014,30083,30111,30106
376,51,60,100,58,50114,30081,30094,30096
377,51,60,100,54,50114,30084,30116,30094
378,51,60,100,55,50014,30083,30099,30111
379,51,60,100,52,50014,30087,30076,30104
380,51,60,100,58,50114,30083,30111,30106
381,51,60,100,58,50114,30087,30076,30104
382,51,60,100,52,50114,30077,30113,30107
383,51,60,100,57,50114,30079,30117,30108
384,51,60,100,56,50014,30079,30105,30108
385,51,60,100,52,50114,30085,30098,30105
386,51,60,100,56,50014,30074,30102,30099
387,51,60,100,59,50014,30084,30116,30094
388,51,60,100,52,50014,30077,30113,30110
389,51,60,100,60,50114,30088,30118,30112
390,51,60,100,52,50114,30088,30112,30104
391,51,60,100,59,50014,30081,30096,30100
392,51,60,100,59,50014,30079,30117,30108
393,51,60,100,55,50114,30084,30116,30100
394,51,60,100,51,50114,30079,30103,30108
395,51,60,100,53,50114,30080,30098,30117
396,51,60,100,51,50114,30095,30107,30086
397,51,60,100,58,50014,30080,30098,30117
398,51,60,100,58,50114,30083,30106,30099
399,51,60,100,56,50014,30084,30116,30100
400,51,60,100,54,50014,30088,30112,30104
401,51,60,100,57,50014,30079,30103,30108
402,51,60,100,53,50114,30095,30110,30107
403,51,60,100,59,50114,30088,30104,30115
404,51,60,100,57,50014,30088,30104,30115
405,51,60,100,60,50114,30097,30076,30112
406,51,60,100,52,50114,30081,30096,30100
407,51,60,100,58,50014,30097,30076,30112
408,51,60,100,58,50114,30074,30102,30099
409,51,60,100,55,50014,30095,30107,30086
410,51,60,100,55,50014,30077,30113,30107
411,51,60,100,60,50114,30077,30113,30110
412,51,60,100,56,50014,30083,30106,30099
413,51,60,100,57,50114,30083,30099,30111
414,61,70,100,62,50013,30075,30099,30111
415,61,70,100,70,50113,30076,30118,30112
416,61,70,100,68,50013,30116,30100,30093
417,61,70,100,65,50013,30098,30105,30103
418,61,70,100,62,50113,30098,30105,30108
419,61,70,100,61,50013,30101,30107,30086
420,61,70,100,66,50013,30113,30110,30086
421,61,70,100,61,50013,30076,30104,30112
422,61,70,100,64,50113,30101,30110,30086
423,61,70,100,62,50013,30076,30118,30112
424,61,70,100,69,50113,30076,30115,30118
425,61,70,100,61,50113,30076,30112,30118
426,61,70,100,69,50113,30116,30100,30096
427,61,70,100,62,50113,30116,30094,30093
428,61,70,100,63,50113,30098,30105,30103
429,61,70,100,66,50013,30075,30106,30099
430,61,70,100,70,50013,30098,30105,30108
431,61,70,100,67,50113,30113,30110,30086
432,61,70,100,61,50113,30102,30106,30111
433,61,70,100,67,50013,30076,30112,30118
434,61,70,100,66,50013,30102,30099,30106
435,61,70,100,70,50013,30076,30115,30118
436,61,70,100,61,50113,30098,30108,30117
437,61,70,100,67,50013,30102,30106,30111
438,61,70,100,66,50113,30076,30104,30112
439,61,70,100,62,50113,30101,30107,30086
440,61,70,100,61,50012,30076,30115,30118
441,61,70,100,64,50012,30101,30110,30086
442,61,70,100,65,50012,30098,30108,30117
443,61,70,100,63,50012,30076,30112,30118
444,61,70,100,61,50012,30116,30094,30093
445,61,70,100,66,50112,30101,30110,30086
446,61,70,100,62,50012,30102,30099,30106
447,61,70,100,61,50012,30075,30099,30111
448,61,70,100,65,50012,30075,30106,30099
449,61,70,100,61,50112,30098,30117,30103
450,61,70,100,67,50112,30102,30106,30111
451,61,70,100,62,50112,30076,30118,30112
452,61,70,100,62,50012,30102,30106,30111
453,61,70,100,69,50112,30076,30115,30118
454,61,70,100,68,50112,30075,30106,30099
455,61,70,100,61,50012,30098,30105,30103
456,61,70,100,62,50012,30116,30100,30096
457,61,70,100,61,50112,30075,30099,30111
458,61,70,100,65,50012,30113,30110,30086
459,61,70,100,65,50112,30098,30105,30108
460,61,70,100,63,50012,30076,30118,30112
461,61,70,100,68,50112,30101,30107,30086
462,61,70,100,70,50112,30113,30110,30086
463,61,70,100,61,50012,30098,30117,30103
464,61,70,200,62,50111,30116,30100,30094
465,61,70,200,62,50011,30098,30117,30105
466,61,70,200,61,50011,30113,30107,30110
467,61,70,200,69,50011,30102,30099,30111
468,61,70,200,69,50111,30113,30107,30110
469,61,70,200,63,50111,30076,30104,30115
470,61,70,200,65,50011,30116,30100,30094
471,71,80,100,71,50013,30081,30090,30092
472,71,80,100,72,50113,30079,30082,30092
473,71,80,100,78,50013,30088,30077,30087
474,71,80,100,75,50013,30081,30097,30087
475,71,80,100,78,50113,30095,30097,30084
476,71,80,100,79,50013,30083,30080,30087
477,71,80,100,74,50013,30083,30080,30087
478,71,80,100,77,50013,30088,30090,30085
479,71,80,100,76,50113,30083,30082,30087
480,71,80,100,80,50013,30088,30077,30087
481,71,80,100,78,50113,30079,30097,30077
482,71,80,100,78,50113,30095,30092,30084
483,71,80,100,75,50113,30079,30074,30077
484,71,80,100,80,50113,30095,30085,30092
485,71,80,100,73,50113,30088,30082,30085
486,71,80,100,71,50013,30083,30085,30077
487,71,80,100,79,50013,30081,30080,30084
488,71,80,100,80,50113,30095,30092,30084
489,71,80,100,77,50113,30081,30097,30087
490,71,80,100,76,50013,30088,30090,30085
491,71,80,100,77,50013,30095,30097,30084
492,71,80,100,80,50013,30079,30082,30092
493,71,80,100,75,50113,30083,30085,30077
494,71,80,100,73,50013,30081,30090,30092
495,71,80,100,75,50113,30095,30085,30092
496,71,80,100,80,50113,30079,30074,30077
497,71,80,100,72,50012,30083,30082,30087
498,71,80,100,72,50012,30079,30097,30077
499,71,80,100,77,50012,30088,30082,30085
500,71,80,100,77,50012,30081,30080,30084
501,71,80,100,80,50012,30083,30082,30087
502,71,80,100,77,50112,30095,30097,30084
503,71,80,100,76,50012,30095,30085,30092
504,71,80,100,77,50012,30081,30097,30087
505,71,80,100,80,50012,30081,30090,30092
506,71,80,100,74,50112,30088,30090,30085
507,71,80,100,80,50112,30079,30097,30077
508,71,80,100,73,50112,30081,30090,30092
509,71,80,100,74,50012,30088,30077,30087
510,71,80,100,79,50112,30095,30092,30084
511,71,80,100,78,50112,30095,30097,30084
512,71,80,100,76,50012,30083,30082,30087
513,71,80,100,71,50012,30081,30080,30084
514,71,80,100,78,50112,30095,30092,30084
515,71,80,100,78,50012,30081,30097,30087
516,71,80,100,73,50112,30088,30082,30085
517,71,80,100,74,50012,30095,30085,30092
518,71,80,100,75,50112,30079,30082,30092
519,71,80,100,78,50112,30083,30085,30077
520,71,80,100,75,50012,30079,30097,30077
521,71,80,200,72,50111,30079,30082,30092
522,71,80,200,75,50011,30083,30080,30087
523,71,80,200,79,50011,30088,30082,30085
524,71,80,200,77,50011,30081,30080,30084
525,71,80,200,77,50111,30088,30077,30087
526,71,80,200,71,50111,30088,30090,30085
527,71,80,200,73,50011,30083,30085,30077
528,81,90,100,88,50013,30079,30074,30077
529,81,90,100,86,50113,30083,30080,30087
530,81,90,100,81,50013,30079,30074,30077
531,81,90,100,81,50013,30079,30080,30085
532,81,90,100,88,50113,30095,30090,30077
533,81,90,100,87,50013,30081,30082,30084
534,81,90,100,88,50013,30079,30080,30085
535,81,90,100,89,50013,30088,30097,30087
536,81,90,100,88,50113,30088,30097,30087
537,81,90,100,90,50013,30095,30090,30077
538,81,90,100,87,50113,30081,30082,30084
539,81,90,100,86,50113,30083,30074,30092
540,81,90,100,87,50113,30083,30074,30092
541,81,90,100,85,50113,30081,30082,30084
542,81,90,100,83,50113,30083,30074,30092
543,81,90,100,90,50013,30088,30097,30087
544,81,90,100,84,50013,30088,30097,30087
545,81,90,100,85,50113,30083,30074,30092
546,81,90,100,81,50113,30079,30080,30085
547,81,90,100,88,50013,30081,30082,30084
548,81,90,100,82,50013,30095,30090,30077
549,81,90,100,85,50013,30079,30080,30085
550,81,90,100,82,50113,30095,30090,30077
551,81,90,100,88,50013,30088,30097,30104
552,81,90,100,85,50113,30081,30082,30100
553,81,90,100,86,50113,30088,30097,30104
554,81,90,100,83,50012,30079,30080,30117
555,81,90,100,90,50012,30079,30085,30103
556,81,90,100,86,50012,30079,30085,30105
557,81,90,100,90,50012,30088,30087,30118
558,81,90,100,90,50012,30097,30087,30076
559,81,90,100,85,50112,30090,30077,30113
560,81,90,100,85,50012,30080,30085,30098
561,81,90,100,88,50012,30074,30092,30102
562,81,90,100,89,50012,30083,30074,30106
563,81,90,100,83,50112,30081,30082,30096
564,81,90,100,89,50112,30083,30092,30099
