INDEX,GROUP_ID,INFO,ITEM_ID,ITEM_COUNT,ITEM_DROP_WEIGHT,LOOT_TIME,QUALITY
INT,INT,STRING,INT,INT,INT,INT,INT
1,90005,紫装碎片抽卡组,16004,1,60,1,1
2,90005,紫装碎片抽卡组,16005,1,60,1,1
3,90005,紫装碎片抽卡组,16006,1,60,1,1
4,90005,紫装碎片抽卡组,16104,1,60,1,1
5,90005,紫装碎片抽卡组,16105,1,60,1,1
6,90005,紫装碎片抽卡组,16106,1,60,1,1
7,90005,紫装碎片抽卡组,16204,1,60,1,1
8,90005,紫装碎片抽卡组,16205,1,60,1,1
9,90005,紫装碎片抽卡组,16206,1,60,1,1
10,90005,紫装碎片抽卡组,16304,1,60,1,1
11,90005,紫装碎片抽卡组,16305,1,60,1,1
12,90005,紫装碎片抽卡组,16306,1,60,1,1
13,90005,紫装碎片抽卡组,16004,2,30,1,1
14,90005,紫装碎片抽卡组,16005,2,30,1,1
15,90005,紫装碎片抽卡组,16006,2,30,1,1
16,90005,紫装碎片抽卡组,16104,2,30,1,1
17,90005,紫装碎片抽卡组,16105,2,30,1,1
18,90005,紫装碎片抽卡组,16106,2,30,1,1
19,90005,紫装碎片抽卡组,16204,2,30,1,1
20,90005,紫装碎片抽卡组,16205,2,30,1,1
21,90005,紫装碎片抽卡组,16206,2,30,1,1
22,90005,紫装碎片抽卡组,16304,2,30,1,1
23,90005,紫装碎片抽卡组,16305,2,30,1,1
24,90005,紫装碎片抽卡组,16306,2,30,1,1
25,90005,紫装碎片抽卡组,16004,3,10,1,1
26,90005,紫装碎片抽卡组,16005,3,10,1,1
27,90005,紫装碎片抽卡组,16006,3,10,1,1
28,90005,紫装碎片抽卡组,16104,3,10,1,1
29,90005,紫装碎片抽卡组,16105,3,10,1,1
30,90005,紫装碎片抽卡组,16106,3,10,1,1
31,90005,紫装碎片抽卡组,16204,3,10,1,1
32,90005,紫装碎片抽卡组,16205,3,10,1,1
33,90005,紫装碎片抽卡组,16206,3,10,1,1
34,90005,紫装碎片抽卡组,16304,3,10,1,1
35,90005,紫装碎片抽卡组,16305,3,10,1,1
36,90005,紫装碎片抽卡组,16306,3,10,1,1
37,90006,紫色符福袋(DPS）,30085,1,200,1,1
38,90006,紫色符福袋(DPS）,30077,1,200,1,1
39,90006,紫色符福袋(DPS）,30087,1,200,1,1
40,90006,紫色符福袋(DPS）,30092,1,200,1,1
41,90100,VIP0礼包,30305,10,100,1,1
42,90100,VIP0礼包,2000002,10,100,1,1
43,90100,VIP0礼包,2000011,1,100,1,1
44,90100,VIP0礼包,1000002,50000,100,1,1
45,90100,VIP0礼包,2000013,2,100,1,1
46,90101,VIP1礼包,2000013,5,100,1,1
47,90101,VIP1礼包,2000002,50,100,1,1
48,90101,VIP1礼包,2000011,1,100,1,1
49,90101,VIP1礼包,1000002,100000,100,1,1
50,90101,VIP1礼包,2000014,2,100,1,1
51,90102,VIP2礼包,14005,1,100,1,1
52,90102,VIP2礼包,2000002,100,100,1,1
53,90102,VIP2礼包,2000011,1,100,1,1
54,90102,VIP2礼包,1000002,200000,100,1,1
55,90102,VIP2礼包,2000013,2,100,1,1
56,90103,VIP3礼包,14105,1,100,1,1
57,90103,VIP3礼包,2000004,30,100,1,1
58,90103,VIP3礼包,2000011,2,100,1,1
59,90103,VIP3礼包,1000002,300000,100,1,1
60,90103,VIP3礼包,2000014,5,100,1,1
61,90104,VIP4礼包,14305,1,100,1,1
62,90104,VIP4礼包,2000004,50,100,1,1
63,90104,VIP4礼包,2000011,3,100,1,1
64,90104,VIP4礼包,1000002,500000,100,1,1
65,90104,VIP4礼包,2000013,5,100,1,1
66,90105,VIP5礼包,14205,1,100,1,1
67,90105,VIP5礼包,2000002,500,100,1,1
68,90105,VIP5礼包,2000011,4,100,1,1
69,90105,VIP5礼包,1000002,800000,100,1,1
70,90105,VIP5礼包,2000014,5,100,1,1
71,90106,VIP6礼包,15005,1,100,1,1
72,90106,VIP6礼包,15105,1,100,1,1
73,90106,VIP6礼包,2000011,4,100,1,1
74,90106,VIP6礼包,2000002,1000,100,1,1
75,90106,VIP6礼包,2000013,10,100,1,1
76,90107,VIP7礼包,2000203,2,100,1,1
77,90107,VIP7礼包,2000003,50,100,1,1
78,90107,VIP7礼包,2000006,50,100,1,1
79,90107,VIP7礼包,1000002,1000000,100,1,1
80,90107,VIP7礼包,2000014,10,100,1,1
81,90108,VIP8礼包,2000203,1,100,1,1
82,90108,VIP8礼包,14007,1,100,1,1
83,90108,VIP8礼包,2000006,50,100,1,1
