INDEX,NAME,EX_BOSS_ID,STAGE_ID,GUILD_EXP,OPEN_GUILD_LEVEL,DEAD_GROUP_ID,LASTHIT_CONTRIBUTE,ATTACK_GROUP_ID,ATTACK_CONTRIBUTE,FIRST_KILL_REWARD
INT,STRING,INT,INT,INT,INT,INT,INT,INT,INT,STRING
6001,炎之狱,0,29001,1000,1,90100,10000,90100,1000,1000001#999|1000001#999|1000001#999
6002,水之痕,6001,29002,2000,2,90100,10000,90100,1000,1000001#999|1000001#999|1000001#999
6003,木之心,6002,29003,3000,3,90100,10000,90100,1000,1000001#999|1000001#999|1000001#999
6004,阳之境,6003,29004,4000,4,90100,10000,90100,1000,1000001#999|1000001#999|1000001#999
6005,阴之渊,6004,29005,5000,5,90100,10000,90100,1000,1000001#999|1000001#999|1000001#999
6006,炎之狱,6005,29006,6000,6,90100,10000,90100,1000,1000001#999|1000001#999|1000001#999
6007,水之痕,6006,29007,7000,7,90100,10000,90100,1000,1000001#999|1000001#999|1000001#999
6008,木之心,6007,29008,8000,8,90100,10000,90100,1000,1000001#999|1000001#999|1000001#999
6009,阳之境,6008,29009,9000,9,90100,10000,90100,1000,1000001#999|1000001#999|1000001#999
6010,阴之渊,6009,29010,10000,10,90100,10000,90100,1000,1000001#999|1000001#999|1000001#999
