INT,STRING,STRING,INT
INDEX,ICONATLAS,PICTURE,POSITION
0,科技树图集,科技树图标,位置
1001,GuildAtlas,ui_gonghui_tubiao001,1
1002,GuildAtlas,ui_gonghui_tubiao002,2
1003,GuildAtlas,ui_gonghui_tubiao003,3
1004,GuildAtlas,ui_gonghui_tubiao004,4
1005,GuildAtlas,ui_gonghui_tubiao005,5
1006,GuildAtlas,ui_gonghui_tubiao006,6
1007,GuildAtlas,ui_gonghui_tubiao007,7
1008,GuildAtlas,ui_gonghui_tubiao008,8
1009,GuildAtlas,ui_gonghui_tubiao009,9
1010,GuildAtlas,ui_gonghui_tubiao010,10
1011,GuildAtlas,ui_gonghui_tubiao011,11
1012,GuildAtlas,ui_gonghui_tubiao012,12
1013,GuildAtlas,ui_gonghui_tubiao013,13
1014,GuildAtlas,ui_gonghui_tubiao014,14
1015,GuildAtlas,ui_gonghui_tubiao015,15
1016,GuildAtlas,ui_gonghui_tubiao001,16
1017,GuildAtlas,ui_gonghui_tubiao002,17
1018,GuildAtlas,ui_gonghui_tubiao003,18
1019,GuildAtlas,ui_gonghui_tubiao004,19
1020,GuildAtlas,ui_gonghui_tubiao005,20
1021,GuildAtlas,ui_gonghui_tubiao006,21
1022,GuildAtlas,ui_gonghui_tubiao007,22
1023,GuildAtlas,ui_gonghui_tubiao008,23
1024,GuildAtlas,ui_gonghui_tubiao009,24
1025,GuildAtlas,ui_gonghui_tubiao010,25
