INT,FLOAT,INT,STRING
INDEX,COEFFICIENT,PROBABILITY,DESC
0,系数,概率,描述
1001,1,100,[EEEEEE]活动期间，每天有[FEB900]两次[EEEEEE]机会进行幸运转盘的活动，转到相应的倍数后，[FEB900]当天内的下一次元宝充值将会得到乘以该系数的奖励。\n[EEEEEE]奖励系数不能叠加，每天0点重置次数和抽取的系数。
1002,1.1,90,[EEEEEE]活动期间，每天有[FEB900]两次[EEEEEE]机会进行幸运转盘的活动，转到相应的倍数后，[FEB900]当天内的下一次元宝充值将会得到乘以该系数的奖励。\n[EEEEEE]奖励系数不能叠加，每天0点重置次数和抽取的系数。
1003,1.2,80,[EEEEEE]活动期间，每天有[FEB900]两次[EEEEEE]机会进行幸运转盘的活动，转到相应的倍数后，[FEB900]当天内的下一次元宝充值将会得到乘以该系数的奖励。\n[EEEEEE]奖励系数不能叠加，每天0点重置次数和抽取的系数。
1004,1.3,70,[EEEEEE]活动期间，每天有[FEB900]两次[EEEEEE]机会进行幸运转盘的活动，转到相应的倍数后，[FEB900]当天内的下一次元宝充值将会得到乘以该系数的奖励。\n[EEEEEE]奖励系数不能叠加，每天0点重置次数和抽取的系数。
1005,1.4,60,[EEEEEE]活动期间，每天有[FEB900]两次[EEEEEE]机会进行幸运转盘的活动，转到相应的倍数后，[FEB900]当天内的下一次元宝充值将会得到乘以该系数的奖励。\n[EEEEEE]奖励系数不能叠加，每天0点重置次数和抽取的系数。
1006,1.5,50,[EEEEEE]活动期间，每天有[FEB900]两次[EEEEEE]机会进行幸运转盘的活动，转到相应的倍数后，[FEB900]当天内的下一次元宝充值将会得到乘以该系数的奖励。\n[EEEEEE]奖励系数不能叠加，每天0点重置次数和抽取的系数。
1007,1.6,40,[EEEEEE]活动期间，每天有[FEB900]两次[EEEEEE]机会进行幸运转盘的活动，转到相应的倍数后，[FEB900]当天内的下一次元宝充值将会得到乘以该系数的奖励。\n[EEEEEE]奖励系数不能叠加，每天0点重置次数和抽取的系数。
1008,1.7,30,[EEEEEE]活动期间，每天有[FEB900]两次[EEEEEE]机会进行幸运转盘的活动，转到相应的倍数后，[FEB900]当天内的下一次元宝充值将会得到乘以该系数的奖励。\n[EEEEEE]奖励系数不能叠加，每天0点重置次数和抽取的系数。
1009,1.8,20,[EEEEEE]活动期间，每天有[FEB900]两次[EEEEEE]机会进行幸运转盘的活动，转到相应的倍数后，[FEB900]当天内的下一次元宝充值将会得到乘以该系数的奖励。\n[EEEEEE]奖励系数不能叠加，每天0点重置次数和抽取的系数。
1010,1.9,10,[EEEEEE]活动期间，每天有[FEB900]两次[EEEEEE]机会进行幸运转盘的活动，转到相应的倍数后，[FEB900]当天内的下一次元宝充值将会得到乘以该系数的奖励。\n[EEEEEE]奖励系数不能叠加，每天0点重置次数和抽取的系数。
1011,2,5,[EEEEEE]活动期间，每天有[FEB900]两次[EEEEEE]机会进行幸运转盘的活动，转到相应的倍数后，[FEB900]当天内的下一次元宝充值将会得到乘以该系数的奖励。\n[EEEEEE]奖励系数不能叠加，每天0点重置次数和抽取的系数。
1012,2.1,5,[EEEEEE]活动期间，每天有[FEB900]两次[EEEEEE]机会进行幸运转盘的活动，转到相应的倍数后，[FEB900]当天内的下一次元宝充值将会得到乘以该系数的奖励。\n[EEEEEE]奖励系数不能叠加，每天0点重置次数和抽取的系数。
