INT,STRING,STRING,INT
INDEX,ICONATLAS,ICONSPRITE,VIPLIMIT
0,图标集,图标,VIP限制
1001,AvatarAtlas,icon_fox_1_blue,0
1002,AvatarAtlas,icon_fox_1_blue,0
1003,AvatarAtlas,icon_fox_1_blue,0
1004,AvatarAtlas,icon_fox_1_blue,0
1005,AvatarAtlas,icon_fox_1_blue,0
1006,AvatarAtlas,icon_fox_1_blue,0
1007,AvatarAtlas,icon_fox_1_blue,0
1008,AvatarAtlas,icon_fox_1_blue,0
1009,AvatarAtlas,icon_fox_1_blue,0
1010,AvatarAtlas,icon_fox_1_blue,0
1011,AvatarAtlas,icon_fox_1_blue,1
1012,AvatarAtlas,icon_fox_1_blue,1
1013,AvatarAtlas,icon_fox_1_blue,2
1014,AvatarAtlas,icon_fox_1_blue,2
1015,AvatarAtlas,icon_fox_1_blue,3
1016,AvatarAtlas,icon_fox_1_blue,4
1017,AvatarAtlas,icon_fox_1_blue,4
1018,AvatarAtlas,icon_fox_1_blue,5
1019,AvatarAtlas,icon_fox_1_blue,5
1020,AvatarAtlas,icon_fox_1_blue,6
1021,AvatarAtlas,icon_fox_1_blue,6
1022,AvatarAtlas,icon_fox_1_blue,7
1023,AvatarAtlas,icon_fox_1_blue,7
1024,AvatarAtlas,icon_fox_1_blue,8
1025,AvatarAtlas,icon_fox_1_blue,8
1026,AvatarAtlas,icon_fox_1_blue,9
1027,AvatarAtlas,icon_fox_1_blue,9
1028,AvatarAtlas,icon_fox_1_blue,10
1029,AvatarAtlas,icon_fox_1_blue,10
1030,AvatarAtlas,icon_fox_1_blue,10
