STRING,STRING,STRING,STRING
INDEXNAME,FILENAME,FILETYPE,INFO
ActiveObject,Config/ActiveObject.csv,ANIS,活动角色
Effect,Config/Effect.csv,ANIS,特效配置
Skill,Config/Skill.csv,ANIS,技能配置
Global,Config/GlobalConfig.csv,ANIS,全局参数
MotionSound,Config/MotionSound.csv,ANIS,动作声音
Stage,Config/StageConfig.csv,ANIS,关卡配置
Debug,Config/DebugAccount.csv,ANIS,调试直连服务器配置
CharacterLevelExp,Config/CharacterLevelExp.csv,ANIS,主角等级经验
PetLevelExp,Config/PetLevelExp.csv,ANIS,宠物等级经验
RoleUIConfig,Config/RoleUIConfig.csv,ANIS,选择主角界面的配置
Element,Config/Element.csv,ANIS,元素配置表
AffectBuffer,Config/AffectBuffer.csv,ANIS,影响Buffer
StoneTypeIcon,Config/StoneTypeIcon.csv,ANIS,灵石类型Icon配置
StrengthenConsume,Config/StrengthenConsume.csv,ANIS,强化消耗配置
EvolutionConsume,Config/EvolutionConsume.csv,ANIS,进化消耗配置
StageType,Config/StageType.csv,ANIS,关卡类型配置
GroupIDConfig,Config/GroupIDConfig.csv,ANIS,组ID配置
ModelConfig,Config/Models.csv,ANIS,模型配置
AttackState,Config/AttackState.csv,ANIS,战斗状态
MonsterObject,Config/MonsterObject.csv,ANIS,怪物配置
PetOfPredestined,Config/PetOfPredestined.csv,ANIS,侠客缘分配置
ChestConfig,Config/ChestConfig.csv,ANIS,宝箱配置
TaskConfig,Config/TaskConfig.csv,ANIS,任务配置
WindowConfig,Config/WindowConfig.csv,ANIS,界面窗口配置
ItemIcon,Config/ItemIcon.csv,ANIS,物品图标配置
ShopSlotBase,Config/ShopSlotBase.csv,ANIS,商城槽的配置
ShopSlotUnitPetGroup1,Config/ShopSlotUnitPetGroup1.csv,ANIS,商城槽的Group1配置
ShopSlotUnitPetGroup2,Config/ShopSlotUnitPetGroup2.csv,ANIS,商城槽的Group2配置
OperateMask,Config/OperateMask.csv,ANIS,操作蒙版的配置
Guild,Config/Guild.csv,ANIS,剧情引导配置
BossConfig,Config/BossConfig.csv,ANIS,世界BOSS配置
ItemConfig,Config/ItemConfig.csv,ANIS,物品
