INT,STRING,INT,INT,INT,STRING
INDEX,NAME,GET_STATE_1,GET_STATE_2,GET_STATE_3,GET_WAY_DESC
0,物品名字,关卡1,关卡2,关卡3,获得方式文字描述
20101,粗木铳,33101,31105,34101,关卡
20201,玄青剑,33104,34102,34105,关卡
20401,桃木杖,31102,34103,31107,关卡
30101,粗棉靴,33102,35101,35104,关卡
30201,玄布帽,33105,35102,35105,关卡
30401,桃绣服,31103,35103,33107,关卡
40101,粗砂符,33103,31101,31104,关卡
20102,云钢铳,31101,31104,34103,关卡
20202,乌霜剑,31102,31105,34101,关卡
20402,寒铁杖,31103,34102,34105,关卡
30102,云锦靴,33101,33104,35103,关卡
30202,乌缎帽,33102,33105,35101,关卡
30402,寒光服,33103,35102,35105,关卡
40102,云灵符,32101,32103,32105,关卡
40202,乌晶戒,32102,32104,32207,关卡
210121,紫云障4星图谱碎片,35201,35206,,关卡
210221,雪魂珠4星图谱碎片,35202,35207,,关卡
210321,金乌神障4星图谱碎片,,,,商店/未开放
210421,天火灵珠4星图谱碎片,,,,商店/未开放
210521,神木剑4星图谱碎片,35203,35208,,关卡
210621,冰魄寒光剑4星图谱碎片,,,,商店/未开放
210721,修罗刀4星图谱碎片,,,,商店/未开放
210821,五火神雷4星图谱碎片,35204,35209,,关卡
210921,玄女针4星图谱碎片,,,,商店/未开放
211021,天蝉灵叶4星图谱碎片,35205,35210,,关卡
211121,天遁镜4星图谱碎片,,,,商店/未开放
211221,心灯4星图谱碎片,,,,商店/未开放
211321,天心环4星图谱碎片,,,,商店/未开放
211421,九疑鼎4星图谱碎片,,,,商店/未开放
211521,天蓝神砂4星图谱碎片,,,,商店/未开放
211621,神禹令4星图谱碎片,,,,商店/未开放
210131,紫云障5星图谱碎片,35301,35306,,关卡
210231,雪魂珠5星图谱碎片,35302,35307,,关卡
210331,金乌神障5星图谱碎片,,,,商店/未开放
210431,天火灵珠5星图谱碎片,,,,商店/未开放
210531,神木剑5星图谱碎片,35303,35308,,关卡
210631,冰魄寒光剑5星图谱碎片,,,,商店/未开放
210731,修罗刀5星图谱碎片,,,,商店/未开放
210831,五火神雷5星图谱碎片,35304,35309,,关卡
210931,玄女针5星图谱碎片,,,,商店/未开放
211031,天蝉灵叶5星图谱碎片,35305,35310,,关卡
211131,天遁镜5星图谱碎片,,,,商店/未开放
211231,心灯5星图谱碎片,,,,商店/未开放
211331,天心环5星图谱碎片,,,,商店/未开放
211431,九疑鼎5星图谱碎片,,,,商店/未开放
211531,天蓝神砂5星图谱碎片,,,,商店/未开放
211631,神禹令5星图谱碎片,,,,商店/未开放
220104,琉璃铳图谱碎片,31201,31204,31206,关卡
220204,天龙剑图谱碎片,31202,31205,31207,关卡
220304,修罗刀图谱碎片,,,,商店/未开放
220404,缠雷杖图谱碎片,31203,31208,,关卡
220504,雷神弓图谱碎片,,,,商店/未开放
220604,破霞鞭图谱碎片,,,,商店/未开放
230104,琉璃靴图谱碎片,33201,33204,33206,关卡
230204,天龙冠图谱碎片,33202,33205,34201,关卡
230304,修罗披风图谱碎片,33203,34202,33208,关卡
230404,奔雷服图谱碎片,34203,34208,,关卡
230504,雷神护腕图谱碎片,34204,34209,,关卡
230604,破霞腰带图谱碎片,34205,34210,,关卡
240104,琉璃符图谱碎片,32201,32204,32206,关卡
240204,天龙戒图谱碎片,32202,32205,32207,关卡
240304,修罗链图谱碎片,,,,商店/未开放
240404,幻雷图图谱碎片,,,,商店/未开放
240504,雷神灵珠图谱碎片,32203,32208,,关卡
240604,破霞宝镜图谱碎片,,,,商店/未开放
220105,金龙铳图谱碎片,31301,31304,31306,关卡
220205,九幽剑图谱碎片,31302,31305,31307,关卡
220305,麟火吞月刀图谱碎片,,,,商店/未开放
220405,上清玄辉杖图谱碎片,31303,31308,,关卡
220505,摘星弓图谱碎片,,,,商店/未开放
220605,陨日龙骨鞭图谱碎片,,,,商店/未开放
230105,金龙鞋图谱碎片,33301,33304,33306,关卡
230205,九幽冠图谱碎片,33302,33305,34301,关卡
230305,麟火披风图谱碎片,33303,34302,33308,关卡
230405,上清玄辉战袍图谱碎片,34303,34308,,关卡
230505,摘星护腕图谱碎片,34304,34309,,关卡
230605,陨日龙骨腰带图谱碎片,34305,34310,,关卡
240105,金龙符图谱碎片,32301,32304,32306,关卡
240205,九幽戒图谱碎片,32302,32305,32307,关卡
240305,麟火链图谱碎片,,,,商店/未开放
240405,上清玄辉图图谱碎片,,,,商店/未开放
240505,摘星宝珠图谱碎片,32303,32308,,关卡
240605,陨日龙骨镜图谱碎片,,,,商店/未开放
11301,锆石,31101,31104,34101,关卡
11402,晶石,31201,31204,34201,关卡
11503,圣痕石,31301,31304,34301,关卡
11304,生铁,31102,31105,34102,关卡
11405,陨铁,31202,31205,34202,关卡
11506,金刚石,31302,31305,34302,关卡
11307,圆木,31103,34103,34105,关卡
11408,古藤木,31203,34203,34205,关卡
11509,上古仙木,31303,34303,34305,关卡
12301,蛇皮,33101,33104,33106,关卡
12402,虎皮,33201,33204,33206,关卡
12503,龙鳞,33301,33304,33306,关卡
12304,粗布,33102,33105,33107,关卡
12405,丝绸,33202,33205,33207,关卡
12506,锦缎,33302,33305,33307,关卡
12307,羊角,33103,33108,,关卡
12408,蛮牛角,33203,33208,,关卡
12509,麒麟角,33303,33308,,关卡
13301,珍珠,32101,32104,32106,关卡
13402,玛瑙,32201,32204,32206,关卡
13503,翡翠,32301,32304,32306,关卡
13304,黑曜石,32102,32105,32107,关卡
13405,海蓝石,32202,32205,32207,关卡
13506,红晶石,32302,32305,32307,关卡
13307,露水,32103,32108,,关卡
13408,阴阳水,32203,32208,,关卡
13509,仙灵水,32303,32308,,关卡
14301,大地之灵,35101,35102,35103,关卡
14402,元神之灵,35201,35202,35203,关卡
14503,玄天之灵,35301,35302,35303,关卡
15301,下级元素结晶,33101,33102,33103,关卡
15402,中级元素结晶,33201,33202,33203,关卡
15503,上级元素结晶,33301,33302,33303,关卡
