INDEX,NAME,ANIMATION,BODY,BODY_TEX_1,IMPACT_RADIUS,SELECT_RADIUS,MODEL_ATTACK_SPEED,GUARD_TYPE,RIM_COLOR
INT,STRING,STRING,STRING,STRING,FLOAT,FLOAT,FLOAT,INT,STRING
11001,1星_狸猫_火,models/Monsters/civet/civet_anim,models/Monsters/civet/civet_1/civet_1,models/Monsters/civet/Textures/civet_1_red,0.5,1.5,1,1,0
11002,1星_木雀_木,models/Monsters/redbird/redbird_anim,models/Monsters/redbird/redbird1/redbird,models/Monsters/redbird/Textures/bird_green_2,0.5,2,1,1,0
11003,1星_符鬼_阳,models/Monsters/runeimp/runeimp_anim,models/Monsters/runeimp/runeimp_1/runeimp_1,models/Monsters/runeimp/Textures/runeimp_2_gold,0.5,2,1,1,0
11004,1星_狐狸_阴,models/Monsters/fox/fox_anim,models/Monsters/fox/fox_1/fox_1,models/Monsters/fox/Textures/fox_blue,0.5,1.5,1,1,0
11005,1星_水龟_水,models/Monsters/blackturtle/blackturtle_anim,models/Monsters/blackturtle/blackturtle1/turtle_1,models/Monsters/blackturtle/Textures/turtle_blue_1,0.5,1.5,1,0,0
11006,2星_狐狸_阴,models/Monsters/fox/fox_anim,models/Monsters/fox/fox_2/fox_2,models/Monsters/fox/Textures/fox_blue,0.5,1.5,1,0,0
11007,2星_狐狸_阳,models/Monsters/fox/fox_anim,models/Monsters/fox/fox_2/fox_2,models/Monsters/fox/Textures/fox_green,0.5,1.5,1,0,0
11008,2星_狐狸_火,models/Monsters/fox/fox_anim,models/Monsters/fox/fox_2/fox_2,models/Monsters/fox/Textures/fox_red,0.5,1.5,1,0,0
11009,2星_狸猫_水,models/Monsters/civet/civet_anim,models/Monsters/civet/civet_2/civet_2,models/Monsters/civet/Textures/civet_2_blue,0.5,1.5,1,1,0
11010,2星_狸猫_火,models/Monsters/civet/civet_anim,models/Monsters/civet/civet_2/civet_2,models/Monsters/civet/Textures/civet_2_red,0.5,1.5,1,1,0
11011,2星_狸猫_木,models/Monsters/civet/civet_anim,models/Monsters/civet/civet_2/civet_2,models/Monsters/civet/Textures/civet_2_green,0.5,1.5,1,1,0
11012,2星_机关鸟_水,models/Monsters/mechbird/mechbird_anim,models/Monsters/mechbird/mechbird_2/mechbird_2,models/Monsters/mechbird/Textures/mechbird_2_blue,0.5,1.5,1,0,0
11013,2星_机关鸟_木,models/Monsters/mechbird/mechbird_anim,models/Monsters/mechbird/mechbird_2/mechbird_2,models/Monsters/mechbird/Textures/mechbird_2_green,0.5,1.5,1,0,0
11014,2星_机关鸟_火,models/Monsters/mechbird/mechbird_anim,models/Monsters/mechbird/mechbird_2/mechbird_2,models/Monsters/mechbird/Textures/mechbird_2_red,0.5,1.5,1,0,0
11015,2星_机关人偶_水,models/Monsters/gintan/gintan_anim,models/Monsters/gintan/gintan_2/gintan_2,models/Monsters/gintan/Textures/gintan_blue_2,0.5,2,1,0,0
11016,2星_机关人偶_木,models/Monsters/gintan/gintan_anim,models/Monsters/gintan/gintan_2/gintan_2,models/Monsters/gintan/Textures/gintan_green_2,0.5,2,1,0,0
11017,2星_机关人偶_火,models/Monsters/gintan/gintan_anim,models/Monsters/gintan/gintan_2/gintan_2,models/Monsters/gintan/Textures/gintan_red_2,0.5,2,1,0,0
11018,2星_花妖_水,models/Monsters/flower/flower_anim,models/Monsters/flower/flower_2/flower_2,models/Monsters/flower/Textures/flower_2_blue,0.5,1.5,1,1,0
11019,2星_花妖_木,models/Monsters/flower/flower_anim,models/Monsters/flower/flower_2/flower_2,models/Monsters/flower/Textures/flower_2_green,0.5,1.5,1,1,0
11020,2星_花妖_火,models/Monsters/flower/flower_anim,models/Monsters/flower/flower_2/flower_2,models/Monsters/flower/Textures/flower_2_red,0.5,1.5,1,1,0
