MOTION,SOUND_FILE,INFO,PLAY_SOUND_MODEL_TYPE,SOUND_TYPE
STRING,STRING,STRING,INT,INT
armor_hit,0,0,3,3
armor_remote_hit,0,0,3,3
flesh_hit,Sound/new/Role/lron_armor,0,0,3
flesh_remote_hit,Sound/new/Role/lron_armor,0,0,3
1000_die,Sound/Skill/Monster_xms_die,0,0,3
1001_attack,Sound/Skill/test_attack,0,0,3
1004_hit,Sound/Skill/Hit_shaonian,0,0,3
2001_die,Sound/Skill/Monster_xfl_die,0,0,3
1005_die,Sound/Die/thief,0,0,3
1006_die,Sound/Die/thief,0,0,3
1007_die,Sound/Die/thief,0,0,3
1010_die,Sound/Die/fox,0,0,3
1011_die,Sound/Die/fox,0,0,3
1012_die,Sound/Die/fox,0,0,3
2004_die,Sound/Die/thief,0,0,3
2005_die,Sound/Die/thief,0,0,3
2006_die,Sound/Die/thief,0,0,3
2010_die,Sound/Die/fox,0,0,3
2011_die,Sound/Die/fox,0,0,3
2012_die,Sound/Die/fox,0,0,3
3005_die,Sound/Die/fox,0,0,3
3006_die,Sound/Die/fox,0,0,3
3007_die,Sound/Die/fox,0,0,3
4000_die,Sound/Die/fox,0,0,3
4001_die,Sound/Die/fox,0,0,3
4002_die,Sound/Die/fox,0,0,3
4003_die,Sound/Die/tiger,0,0,3
4004_die,Sound/Die/tiger,0,0,3
4005_die,Sound/Die/tiger,0,0,3
4006_die,Sound/Die/deer,0,0,3
4007_die,Sound/Die/deer,0,0,3
4008_die,Sound/Die/deer,0,0,3
5000_die,Sound/Die/tiger,0,0,3
5001_die,Sound/Die/tiger,0,0,3
5002_die,Sound/Die/tiger,0,0,3
5003_die,Sound/Die/tiger,0,0,3
5004_die,Sound/Die/deer,0,0,3
5005_die,Sound/Die/deer,0,0,3
5006_die,Sound/Die/deer,0,0,3
5007_die,Sound/Die/deer,0,0,3
5008_die,Sound/Die/fox,0,0,3
5009_die,Sound/Die/fox,0,0,3
5010_die,Sound/Die/fox,0,0,3
6000_die,Sound/Die/fox,0,0,3
6001_die,Sound/Die/fox,0,0,3
6002_die,Sound/Die/fox,0,0,3
90001_hit,Sound/Die/fox,0,0,3
90001_remote_hit,Sound/Die/deer,0,0,3
90001_run,Sound/Tap,0,3,3
11001_die,Sound/dub/,幼齿浣熊,0,3
11001_cute,Sound/dub/,幼齿浣熊,0,3
11002_die,Sound/dub/,雏雀,0,3
11002_cute,Sound/dub/,雏雀,0,3
11003_die,Sound/dub/,豁牙小妖,0,3
11003_cute,Sound/dub/,豁牙小妖,0,3
11004_die,Sound/dub/,松子鼠,0,3
11004_cute,Sound/dub/,松子鼠,0,3
11005_die,Sound/dub/,栖岸龟,0,3
11005_cute,Sound/dub/,栖岸龟,0,3
11006_die,Sound/dub/,清水灵狐,0,3
11006_cute,Sound/dub/,清水灵狐,0,3
11007_die,Sound/dub/,攀树灵狐,0,3
11007_cute,Sound/dub/,攀树灵狐,0,3
11008_die,Sound/dub/,戏火小狐,0,3
11008_cute,Sound/dub/,戏火小狐,0,3
11009_die,Sound/dub/,涴沙浣熊,0,3
11009_cute,Sound/dub/,涴沙浣熊,0,3
11010_die,Sound/dub/,柘木浣熊,0,3
11010_cute,Sound/dub/,柘木浣熊,0,3
11011_die,Sound/dub/,吐火浣熊,0,3
11011_cute,Sound/dub/,吐火浣熊,0,3
11012_die,Sound/dub/,灵镜鸟,0,3
11012_cute,Sound/dub/,灵镜鸟,0,3
11013_die,Sound/dub/,缠藤鸟,0,3
11013_cute,Sound/dub/,缠藤鸟,0,3
11014_die,Sound/dub/,撒烬鸟,0,3
11014_cute,Sound/dub/,撒烬鸟,0,3
11015_die,Sound/dub/,水机人偶,0,3
11015_cute,Sound/dub/,水机人偶,0,3
11016_die,Sound/dub/,木机人偶,0,3
11016_cute,Sound/dub/,木机人偶,0,3
11017_die,Sound/dub/,火机人偶,0,3
11017_cute,Sound/dub/,火机人偶,0,3
