INDEX,ITEM_ID,ITEM_NUM,ITEM_SHOW_LEVEL,COST_TYPE_1,COST_NUM_1,FIRST_SHOW,PET_ID,REFRESH_RATE,LEVEL_MIN,LEVEL_MAX
INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
910001,40074,5,0,1000004,100,0,30074,200,1,24
910002,40076,5,0,1000004,100,0,30076,200,1,24
910003,40077,5,0,1000004,100,0,30077,200,1,24
910004,40078,5,0,1000004,100,0,30078,200,1,24
910005,40079,5,0,1000004,100,0,30079,200,1,24
910006,40080,5,0,1000004,100,0,30080,200,1,24
910007,40081,5,0,1000004,100,0,30081,200,1,24
910008,40082,5,0,1000004,100,0,30082,200,1,24
910009,40083,5,0,1000004,100,0,30083,200,1,24
910010,40084,5,0,1000004,100,0,30084,200,1,24
910011,40085,5,0,1000004,100,0,30085,200,1,24
910012,40086,5,0,1000004,100,0,30086,200,1,24
910013,40087,5,0,1000004,100,0,30087,200,1,24
910014,40088,5,0,1000004,100,0,30088,200,1,24
910015,40089,5,0,1000004,100,0,30089,200,1,24
910016,40090,5,0,1000004,100,0,30090,200,1,24
910017,40091,5,0,1000004,100,0,30091,200,1,24
910018,40092,5,0,1000004,100,0,30092,200,1,24
910019,40074,10,0,1000004,200,0,30074,200,1,24
910020,40076,10,0,1000004,200,0,30076,200,1,24
910021,40077,10,0,1000004,200,0,30077,200,1,24
910022,40078,10,0,1000004,200,0,30078,200,1,24
910023,40079,10,0,1000004,200,0,30079,200,1,24
910024,40080,10,0,1000004,200,0,30080,200,1,24
910025,40081,10,0,1000004,200,0,30081,200,1,24
910026,40082,10,0,1000004,200,0,30082,200,1,24
910027,40083,10,0,1000004,200,0,30083,200,1,24
910028,40084,10,0,1000004,200,0,30084,200,1,24
910029,40085,10,0,1000004,200,0,30085,200,1,24
910030,40086,10,0,1000004,200,0,30086,200,1,24
910031,40087,10,0,1000004,200,0,30087,200,1,24
910032,40088,10,0,1000004,200,0,30088,200,1,24
910033,40089,10,0,1000004,200,0,30089,200,1,24
910034,40090,10,0,1000004,200,0,30090,200,1,24
910035,40091,10,0,1000004,200,0,30091,200,1,24
910036,40092,10,0,1000004,200,0,30092,200,1,24
910037,40098,5,0,1000004,125,0,30098,100,1,24
910038,40117,5,0,1000004,125,0,30117,100,1,24
910039,40105,5,0,1000004,125,0,30105,100,1,24
910040,40108,5,0,1000004,125,0,30108,100,1,24
910041,40103,5,0,1000004,125,0,30103,100,1,24
910042,40116,5,0,1000004,125,0,30116,100,1,24
910043,40100,5,0,1000004,125,0,30100,100,1,24
910044,40094,5,0,1000004,125,0,30094,100,1,24
910045,40096,5,0,1000004,125,0,30096,100,1,24
910046,40093,5,0,1000004,125,0,30093,100,1,24
910047,40097,5,0,1000004,125,0,30097,100,1,24
910048,40104,5,0,1000004,125,0,30104,100,1,24
910049,40115,5,0,1000004,125,0,30115,100,1,24
910050,40112,5,0,1000004,125,0,30112,100,1,24
910051,40118,5,0,1000004,125,0,30118,100,1,24
910052,40095,5,0,1000004,125,0,30095,100,1,24
910053,40107,5,0,1000004,125,0,30107,100,1,24
910054,40110,5,0,1000004,125,0,30110,100,1,24
910055,40101,5,0,1000004,125,0,30101,100,1,24
910056,40113,5,0,1000004,125,0,30113,100,1,24
910057,40102,5,0,1000004,125,0,30102,100,1,24
910058,40099,5,0,1000004,125,0,30099,100,1,24
910059,40111,5,0,1000004,125,0,30111,100,1,24
910060,40106,5,0,1000004,125,0,30106,100,1,24
910061,40075,5,0,1000004,125,0,30075,100,1,24
910062,40098,10,0,1000001,250,0,30098,188,1,24
910063,40117,10,0,1000001,250,0,30117,188,1,24
910064,40105,10,0,1000001,250,0,30105,188,1,24
910065,40108,10,0,1000001,250,0,30108,188,1,24
910066,40103,10,0,1000001,250,0,30103,188,1,24
910067,40116,10,0,1000001,250,0,30116,188,1,24
910068,40100,10,0,1000001,250,0,30100,188,1,24
910069,40094,10,0,1000001,250,0,30094,188,1,24
910070,40096,10,0,1000001,250,0,30096,188,1,24
910071,40093,10,0,1000001,250,0,30093,188,1,24
910072,40097,10,0,1000001,250,0,30097,188,1,24
910073,40104,10,0,1000001,250,0,30104,188,1,24
910074,40115,10,0,1000001,250,0,30115,188,1,24
910075,40112,10,0,1000001,250,0,30112,188,1,24
910076,40118,10,0,1000001,250,0,30118,188,1,24
910077,40095,10,0,1000001,250,0,30095,188,1,24
910078,40107,10,0,1000001,250,0,30107,188,1,24
910079,40110,10,0,1000001,250,0,30110,188,1,24
910080,40101,10,0,1000001,250,0,30101,188,1,24
910081,40113,10,0,1000001,250,0,30113,188,1,24
910082,40102,10,0,1000001,250,0,30102,188,1,24
910083,40099,10,0,1000001,250,0,30099,188,1,24
910084,40111,10,0,1000001,250,0,30111,188,1,24
910085,40106,10,0,1000001,250,0,30106,188,1,24
910086,40075,10,0,1000001,250,0,30075,188,1,24
910087,2000008,10,0,1000004,100,0,0,480,1,24
910088,2000008,30,0,1000004,300,0,0,480,1,24
910089,2000008,50,0,1000004,500,0,0,480,1,24
910090,2000002,10,0,1000004,50,0,0,480,1,24
910091,2000002,20,0,1000001,100,0,0,480,1,24
910092,2000002,50,0,1000001,250,0,0,480,1,24
910093,2000001,10,0,1000001,100,0,0,480,1,24
910094,2000001,20,0,1000001,200,0,0,480,1,24
910095,2000001,50,0,1000001,500,0,0,480,1,24
910096,30293,1,0,1000004,20,0,0,480,1,24
910097,30299,1,0,1000004,50,0,0,480,1,24
910098,30305,1,0,1000004,200,0,0,480,1,24
910099,1000002,100000,0,1000004,10,0,0,480,1,24
910100,1000002,300000,0,1000001,30,0,0,480,1,24
910101,1000002,500000,0,1000001,50,0,0,480,1,24
910102,40074,5,0,1000004,100,0,30074,200,25,29
910103,40076,5,0,1000004,100,0,30076,200,25,29
910104,40077,5,0,1000004,100,0,30077,200,25,29
910105,40078,5,0,1000004,100,0,30078,200,25,29
910106,40079,5,0,1000004,100,0,30079,200,25,29
910107,40080,5,0,1000004,100,0,30080,200,25,29
910108,40081,5,0,1000004,100,0,30081,200,25,29
910109,40082,5,0,1000004,100,0,30082,200,25,29
910110,40083,5,0,1000004,100,0,30083,200,25,29
910111,40084,5,0,1000004,100,0,30084,200,25,29
910112,40085,5,0,1000004,100,0,30085,200,25,29
910113,40086,5,0,1000004,100,0,30086,200,25,29
910114,40087,5,0,1000004,100,0,30087,200,25,29
910115,40088,5,0,1000004,100,0,30088,200,25,29
910116,40089,5,0,1000004,100,0,30089,200,25,29
910117,40090,5,0,1000004,100,0,30090,200,25,29
910118,40091,5,0,1000004,100,0,30091,200,25,29
910119,40092,5,0,1000004,100,0,30092,200,25,29
910120,40074,10,0,1000004,200,0,30074,200,25,29
910121,40076,10,0,1000004,200,0,30076,200,25,29
910122,40077,10,0,1000004,200,0,30077,200,25,29
910123,40078,10,0,1000004,200,0,30078,200,25,29
910124,40079,10,0,1000004,200,0,30079,200,25,29
910125,40080,10,0,1000004,200,0,30080,200,25,29
910126,40081,10,0,1000004,200,0,30081,200,25,29
910127,40082,10,0,1000004,200,0,30082,200,25,29
910128,40083,10,0,1000004,200,0,30083,200,25,29
910129,40084,10,0,1000004,200,0,30084,200,25,29
910130,40085,10,0,1000004,200,0,30085,200,25,29
910131,40086,10,0,1000004,200,0,30086,200,25,29
910132,40087,10,0,1000004,200,0,30087,200,25,29
910133,40088,10,0,1000004,200,0,30088,200,25,29
910134,40089,10,0,1000004,200,0,30089,200,25,29
910135,40090,10,0,1000004,200,0,30090,200,25,29
910136,40091,10,0,1000004,200,0,30091,200,25,29
910137,40092,10,0,1000004,200,0,30092,200,25,29
910138,40098,5,0,1000004,125,0,30098,100,25,29
910139,40117,5,0,1000004,125,0,30117,100,25,29
910140,40105,5,0,1000004,125,0,30105,100,25,29
910141,40108,5,0,1000004,125,0,30108,100,25,29
910142,40103,5,0,1000004,125,0,30103,100,25,29
910143,40116,5,0,1000004,125,0,30116,100,25,29
910144,40100,5,0,1000004,125,0,30100,100,25,29
910145,40094,5,0,1000004,125,0,30094,100,25,29
910146,40096,5,0,1000004,125,0,30096,100,25,29
910147,40093,5,0,1000004,125,0,30093,100,25,29
910148,40097,5,0,1000004,125,0,30097,100,25,29
910149,40104,5,0,1000004,125,0,30104,100,25,29
910150,40115,5,0,1000004,125,0,30115,100,25,29
910151,40112,5,0,1000004,125,0,30112,100,25,29
910152,40118,5,0,1000004,125,0,30118,100,25,29
910153,40095,5,0,1000004,125,0,30095,100,25,29
910154,40107,5,0,1000004,125,0,30107,100,25,29
910155,40110,5,0,1000004,125,0,30110,100,25,29
910156,40101,5,0,1000004,125,0,30101,100,25,29
910157,40113,5,0,1000004,125,0,30113,100,25,29
910158,40102,5,0,1000004,125,0,30102,100,25,29
910159,40099,5,0,1000004,125,0,30099,100,25,29
910160,40111,5,0,1000004,125,0,30111,100,25,29
910161,40106,5,0,1000004,125,0,30106,100,25,29
910162,40075,5,0,1000004,125,0,30075,100,25,29
910163,40098,10,0,1000001,250,0,30098,188,25,29
910164,40117,10,0,1000001,250,0,30117,188,25,29
910165,40105,10,0,1000001,250,0,30105,188,25,29
910166,40108,10,0,1000001,250,0,30108,188,25,29
910167,40103,10,0,1000001,250,0,30103,188,25,29
910168,40116,10,0,1000001,250,0,30116,188,25,29
910169,40100,10,0,1000001,250,0,30100,188,25,29
910170,40094,10,0,1000001,250,0,30094,188,25,29
910171,40096,10,0,1000001,250,0,30096,188,25,29
910172,40093,10,0,1000001,250,0,30093,188,25,29
910173,40097,10,0,1000001,250,0,30097,188,25,29
910174,40104,10,0,1000001,250,0,30104,188,25,29
910175,40115,10,0,1000001,250,0,30115,188,25,29
910176,40112,10,0,1000001,250,0,30112,188,25,29
910177,40118,10,0,1000001,250,0,30118,188,25,29
910178,40095,10,0,1000001,250,0,30095,188,25,29
910179,40107,10,0,1000001,250,0,30107,188,25,29
910180,40110,10,0,1000001,250,0,30110,188,25,29
910181,40101,10,0,1000001,250,0,30101,188,25,29
