INT,STRING,STRING
INDEX,OPENTIEM,ArenaType
0,开启日期,竞技场类型
10001,2014/12/15,1
10002,2014/12/16,2
10003,2014/12/17,3
10004,2014/12/18,4
10005,2014/12/19,5
10006,2014/12/20,1
10007,2014/12/21,2
10008,2014/12/22,3
10009,2014/12/23,4
10010,2014/12/24,5
10011,2014/12/25,1
10012,2014/12/26,2
10013,2014/12/27,3
10014,2014/12/28,4
10015,2014/12/29,5
10016,2014/12/30,1
10017,2014/12/31,2
10018,2015/1/1,3
10019,2015/1/2,4
10020,2015/1/3,5
10021,2015/1/4,1
10022,2015/1/5,2
10023,2015/1/6,3
10024,2015/1/7,4
10025,2015/1/8,5
10026,2015/1/9,1
10027,2015/1/10,2
10028,2015/1/11,3
10029,2015/1/12,4
10030,2015/1/13,5
10031,2015/1/14,1
10032,2015/1/15,2
10033,2015/1/16,3
10034,2015/1/17,4
10035,2015/1/18,5
10036,2015/1/19,1
10037,2015/1/20,2
10038,2015/1/21,3
10039,2015/1/22,4
10040,2015/1/23,5
10041,2015/1/24,1
10042,2015/1/25,2
10043,2015/1/26,3
10044,2015/1/27,4
10045,2015/1/28,5
10046,2015/1/29,1
10047,2015/1/30,2
10048,2015/1/31,3
10049,2015/2/1,4
10050,2015/2/2,5
10051,2015/2/3,1
10052,2015/2/4,2
10053,2015/2/5,3
10054,2015/2/6,4
10055,2015/2/7,5
10056,2015/2/8,1
10057,2015/2/9,2
10058,2015/2/10,3
10059,2015/2/11,4
10060,2015/2/12,5
10061,2015/2/13,1
10062,2015/2/14,2
10063,2015/2/15,3
10064,2015/2/16,4
10065,2015/2/17,5
10066,2015/2/18,1
10067,2015/2/19,2
10068,2015/2/20,3
10069,2015/2/21,4
10070,2015/2/22,5
10071,2015/2/23,1
10072,2015/2/24,2
10073,2015/2/25,3
10074,2015/2/26,4
10075,2015/2/27,5
10076,2015/2/28,1
10077,2015/3/1,2
10078,2015/3/2,3
10079,2015/3/3,4
10080,2015/3/4,5
10081,2015/3/5,1
10082,2015/3/6,2
10083,2015/3/7,3
10084,2015/3/8,4
10085,2015/3/9,5
10086,2015/3/10,1
10087,2015/3/11,2
10088,2015/3/12,3
10089,2015/3/13,4
10090,2015/3/14,5
10091,2015/3/15,1
10092,2015/3/16,2
10093,2015/3/17,3
10094,2015/3/18,4
10095,2015/3/19,5
10096,2015/3/20,1
10097,2015/3/21,2
10098,2015/3/22,3
10099,2015/3/23,4
10100,2015/3/24,5
10101,2015/3/25,1
10102,2015/3/26,2
10103,2015/3/27,3
10104,2015/3/28,4
10105,2015/3/29,5
10106,2015/3/30,1
10107,2015/3/31,2
10108,2015/4/1,3
10109,2015/4/2,4
10110,2015/4/3,5
10111,2015/4/4,1
10112,2015/4/5,2
10113,2015/4/6,3
10114,2015/4/7,4
10115,2015/4/8,5
10116,2015/4/9,1
10117,2015/4/10,2
10118,2015/4/11,3
10119,2015/4/12,4
10120,2015/4/13,5
10121,2015/4/14,1
10122,2015/4/15,2
10123,2015/4/16,3
10124,2015/4/17,4
10125,2015/4/18,5
10126,2015/4/19,1
10127,2015/4/20,2
10128,2015/4/21,3
10129,2015/4/22,4
10130,2015/4/23,5
10131,2015/4/24,1
10132,2015/4/25,2
10133,2015/4/26,3
10134,2015/4/27,4
10135,2015/4/28,5
10136,2015/4/29,1
10137,2015/4/30,2
10138,2015/5/1,3
10139,2015/5/2,4
