INT,INT,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,INT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,INT,FLOAT,FLOAT,INT,FLOAT,FLOAT,INT,FLOAT,FLOAT,INT,FLOAT,FLOAT
INDEX,EQUIP_TYPE,EQUIP_NAME_1,ICON_ATLAS_NAME_1,EQUIP_ICON_1,EQUIP_NAME_2,ICON_ATLAS_NAME_2,EQUIP_ICON_2,EQUIP_NAME_3,ICON_ATLAS_NAME_3,EQUIP_ICON_3,EQUIP_NAME_4,ICON_ATLAS_NAME_4,EQUIP_ICON_4,EQUIP_NAME_5,ICON_ATLAS_NAME_5,EQUIP_ICON_5,ATTRIBUTE_TYPE,ATTRIBUTE_TYPE_TXT,BAES_ATTRIBUTE,LEVEL_ATTRIBUTE_ADD,BASE_STRENGTHEN,LEVEL_STRENGTHEN_ADD,BAD_RATE,BAD_ATTRIBUTE,BAD_STRENGTHEN,COMMON_RATE,COMMON_ATTRIBUTE,COMMON_STRENGTHEN,GOOD_RATE,GOOD_ATTRIBUTE,GOOD_STRENGTHEN,BEST_RATE,BEST_ATTRIBUTE,BEST_STRENGTHEN
0,装备类型,装备1星名称,图标集,装备1星图标,装备2星名称,图标集,装备2星图标,装备3星名称,图标集,装备3星图标,装备4星名称,图标集,装备4星图标,装备5星名称,图标集,装备5星图标,基础属性类型,基础属性文字,基础属性数值,星级属性值加权,基础强化数值,星级强化值加权,差品质权重,差品质属性值加权,差品质强化值加权,中品质权重,中品质属性值加权,中品质强化值加权,良品质权重,良品质属性值加权,良品质强化值加权,优品质权重,优品质属性值加权,优品质强化值加权
1,1,太极剑,AvatarAtlas,icon_taoist_adv_1_green,镇妖剑,AvatarAtlas,icon_taoist_adv_1_green,陇金玉剑 ,AvatarAtlas,icon_spirit_fox_4_green,天龙伏魔剑,AvatarAtlas,icon_spirit_fox_4_green,轩辕破天剑,AvatarAtlas,icon_spirit_fox_4_green,1,攻击,120,0.02,1.2,0.02,10,0,0,10,0.01,0.01,1,0.02,0.02,1,0.03,0.03
2,1,流云刀,AvatarAtlas,icon_taoist_adv_1_gold,修罗刀,AvatarAtlas,icon_taoist_adv_1_gold,玄冥宝刀,AvatarAtlas,icon_spirit_fox_4_shadow,天魔化血刀,AvatarAtlas,icon_spirit_fox_4_shadow,麟火吞月刀,AvatarAtlas,icon_spirit_fox_4_shadow,2,攻击百分比,1,0.02,100,0.02,10,0,0,10,0.01,0.01,1,0.02,0.02,1,0.03,0.03
3,1,精铁环,AvatarAtlas,icon_deflower_thief_2_blue,龙雀环,AvatarAtlas,icon_deflower_thief_2_blue,天心环,AvatarAtlas,icon_tiger_immortal_4_red,乾坤环,AvatarAtlas,icon_tiger_immortal_4_red,如意金连环,AvatarAtlas,icon_tiger_immortal_4_red,1,攻击,120,0.02,1.2,0.02,10,0,0,10,0.01,0.01,1,0.02,0.02,1,0.03,0.03
4,1,桃木杖,AvatarAtlas,icon_deflower_thief_2_green,灵泉杖,AvatarAtlas,icon_deflower_thief_2_green,降魔杖,AvatarAtlas,icon_tiger_immortal_4_green,五雷杖,AvatarAtlas,icon_tiger_immortal_4_green,圣灵天皇杖,AvatarAtlas,icon_tiger_immortal_4_green,13,命中,57,0.02,0.57,0.02,10,0,0,10,0.01,0.01,1,0.02,0.02,1,0.03,0.03
5,1,巫纹弓,AvatarAtlas,icon_deflower_thief_2_shadow,神臂弓,AvatarAtlas,icon_deflower_thief_2_shadow,雷神弓,AvatarAtlas,icon_tiger_immortal_4_blue,化莲七彩弓,AvatarAtlas,icon_tiger_immortal_4_blue,后羿射阳弓,AvatarAtlas,icon_tiger_immortal_4_blue,2,攻击百分比,1,0.02,100,0.02,10,0,0,10,0.01,0.01,1,0.02,0.02,1,0.03,0.03
6,1,钢鞭,AvatarAtlas,icon_taoist_adv_2_blue,九尾鞭,AvatarAtlas,icon_taoist_adv_2_blue,降龙鞭,AvatarAtlas,icon_deer_immortal_4_red,雷王鞭,AvatarAtlas,icon_deer_immortal_4_red,打神鞭,AvatarAtlas,icon_deer_immortal_4_red,1,攻击,120,0.02,1.2,0.02,10,0,0,10,0.01,0.01,1,0.02,0.02,1,0.03,0.03
7,1,玉蜂针,AvatarAtlas,icon_taoist_adv_2_green,无影针,AvatarAtlas,icon_taoist_adv_2_green,双龙针,AvatarAtlas,icon_deer_immortal_4_green,定海神针,AvatarAtlas,icon_deer_immortal_4_green,天芒神针,AvatarAtlas,icon_deer_immortal_4_green,13,命中,57,0.02,0.57,0.02,10,0,0,10,0.01,0.01,1,0.02,0.02,1,0.03,0.03
8,2,紫阳冠,AvatarAtlas,icon_taoist_adv_2_gold,通天冠,AvatarAtlas,icon_taoist_adv_2_gold,五彩头冠,AvatarAtlas,icon_deer_immortal_4_blue,九龙紫金冠,AvatarAtlas,icon_deer_immortal_4_blue,瑞日临天冠,AvatarAtlas,icon_deer_immortal_4_blue,7,hp上限数值,960,0.02,9.6,0.02,10,0,0,10,0.01,0.01,1,0.02,0.02,1,0.03,0.03
9,2,癸鬼袍,AvatarAtlas,icon_spirit_fox_2_red,金缕衣,AvatarAtlas,icon_spirit_fox_2_red,玄武战袍,AvatarAtlas,icon_tiger_immortal_5_green,天师道袍,AvatarAtlas,icon_tiger_immortal_5_green,天帝祭服,AvatarAtlas,icon_tiger_immortal_5_green,7,hp上限数值,960,0.02,9.6,0.02,10,0,0,10,0.01,0.01,1,0.02,0.02,1,0.03,0.03
10,2,虎爪鞋,AvatarAtlas,icon_spirit_fox_2_green,踏风鞋,AvatarAtlas,icon_spirit_fox_2_green,雪虹鞋,AvatarAtlas,icon_tiger_immortal_5_blue,望仙鞋,AvatarAtlas,icon_tiger_immortal_5_blue,浑天鞋,AvatarAtlas,icon_tiger_immortal_5_blue,29,闪避,57,0.02,0.57,0.02,10,0,0,10,0.01,0.01,1,0.02,0.02,1,0.03,0.03
