INDEX,NEED_EXP_QUALITY_1,TOTAL_EXP_1,NEED_EXP_QUALITY_2,TOTAL_EXP_2,NEED_EXP_QUALITY_3,TOTAL_EXP_3,NEED_EXP_QUALITY_4,TOTAL_EXP_4,NEED_EXP_QUALITY_5,TOTAL_EXP_5,NEED_EXP_QUALITY_6,TOTAL_EXP_6,NEED_EXP_QUALITY_7,TOTAL_EXP_7
INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
1,20,0,25,0,35,0,45,0,90,0,125,0,150,0
2,75,20,93,25,131,35,168,45,336,90,467,125,560,150
3,161,95,202,118,282,166,363,213,726,426,1008,592,1210,710
4,279,256,348,320,488,448,627,576,1254,1152,1741,1600,2089,1920
5,426,535,532,668,745,936,958,1203,1916,2406,2660,3341,3193,4009
6,602,961,752,1200,1053,1681,1354,2161,2709,4322,3762,6001,4514,7202
7,807,1563,1008,1952,1412,2734,1815,3515,3630,7031,5042,9763,6050,11716
8,1040,2370,1300,2960,1819,4146,2339,5330,4679,10661,6498,14805,7798,17766
9,1300,3410,1626,4260,2276,5965,2926,7669,5852,15340,8128,21303,9753,25564
10,1589,4710,1986,5886,2780,8241,3574,10595,7149,21192,9929,29431,11915,35317
11,1904,6299,2380,7872,3332,11021,4284,14169,8568,28341,11900,39360,14280,47232
12,2246,8203,2808,10252,3931,14353,5054,18453,10109,36909,14040,51260,16848,61512
13,2615,10449,3269,13060,4577,18284,5884,23507,11769,47018,16346,65300,19615,78360
14,3011,13064,3763,16329,5269,22861,6774,29391,13548,58787,18817,81646,22581,97975
15,3432,16075,4291,20092,6007,28130,7723,36165,15446,72335,21453,100463,25743,120556
16,3880,19507,4850,24383,6790,34137,8731,43888,17461,87781,24251,121916,29102,146299
17,4354,23387,5442,29233,7619,40927,9796,52619,19593,105242,27212,146167,32655,175401
18,4853,27741,6067,34675,8493,48546,10920,62415,21840,124835,30334,173379,36401,208056
19,5379,32594,6723,40742,9412,57039,12102,73335,24203,146675,33616,203713,40339,244457
20,5929,37973,7411,47465,10376,66451,13340,85437,26681,170878,37057,237329,44468,284796
