INDEX,TYPE,IS_PVP_SHOW,RANK_MIN,RANK_MAX,AWARD_GROUPID
INT,INT,INT,INT,INT,STRING
1,1,1,1,1,2000003#1000|1000002#5000000|30098#1
2,1,1,2,2,2000003#800|1000002#4000000
3,1,1,3,3,2000003#600|1000002#3000000
4,1,1,4,5,2000003#500|1000002#2500000
5,1,1,6,10,2000003#400|1000002#2000000
6,1,1,11,15,2000003#350|1000002#1800000
7,1,1,16,20,2000003#300|1000002#1600000
8,1,1,21,30,2000003#250|1000002#1400000
9,1,1,31,40,2000003#200|1000002#1200000
10,1,1,41,50,2000003#150|1000002#1000000
11,2,1,1,1,1000001#8888|2000221#1
12,2,1,2,2,2000222#1|2000007#300
13,2,1,3,3,2000223#1|2000007#250
14,2,1,4,5,14009#1|2000007#200
15,2,1,6,10,1000007#30000|2000007#180
16,2,1,11,15,1000007#25000|2000007#160
17,2,1,16,20,1000007#20000|2000007#150
18,2,1,21,30,1000007#18000|2000007#140
19,2,1,31,40,1000007#16000|2000007#130
20,2,1,41,50,1000007#14000|2000007#120
21,2,1,51,100,1000007#12000|2000007#100
22,2,1,101,500,1000007#6000|2000007#50
