INT,STRING,INT,INT,INT,INT,INT,STRING,STRING,INT,INT,INT
INDEX,TITLE,EVENT_ID,TITLE_TYPE,RANK_TYPE,COLLECT_ITEM_TYPE,COLLECT_ITEM_ID,ICON_ATLAS_NAME,ICON_SPRITE_NAME,RANK_NUM_MAX,RANK_NUM_MIN,AWARD_GROUPID
0,子活动标题,对应活动ID,标签序号,排行榜类型,收集道具类型,收集道具ID,图标集,图标,排行榜最大名次,排行榜最小名次,奖励组ID
1,巅峰挑战,10,1,1,,,,,1,1,88029
2,巅峰挑战,10,1,1,,,,,2,2,88029
3,巅峰挑战,10,1,1,,,,,3,3,88029
4,巅峰挑战,10,1,1,,,,,4,4,88029
5,巅峰挑战,10,1,1,,,,,5,5,88029
6,巅峰挑战,10,1,1,,,,,6,6,88029
7,巅峰挑战,10,1,1,,,,,7,7,88029
8,巅峰挑战,10,1,1,,,,,8,8,88029
9,巅峰挑战,10,1,1,,,,,9,9,88029
10,巅峰挑战,10,1,1,,,,,10,10,88029
11,巅峰挑战,10,1,1,,,,,11,100,88029
12,巅峰挑战,10,1,1,,,,,101,999999,88029
13,符灵对决,10,2,2,,,,,1,1,88029
14,符灵对决,10,2,2,,,,,2,2,88029
15,符灵对决,10,2,2,,,,,3,3,88029
16,符灵对决,10,2,2,,,,,4,4,88029
17,符灵对决,10,2,2,,,,,5,5,88029
18,符灵对决,10,2,2,,,,,6,6,88029
19,符灵对决,10,2,2,,,,,7,7,88029
20,符灵对决,10,2,2,,,,,8,8,88029
21,符灵对决,10,2,2,,,,,9,9,88029
22,符灵对决,10,2,2,,,,,10,10,88029
23,符灵对决,10,2,2,,,,,11,100,88029
24,符灵对决,10,2,2,,,,,101,999999,88029
25,充值排行,10,3,3,,,,,1,1,88029
26,充值排行,10,3,3,,,,,2,2,88029
27,充值排行,10,3,3,,,,,3,3,88029
28,充值排行,10,3,3,,,,,4,4,88029
29,充值排行,10,3,3,,,,,5,5,88029
30,充值排行,10,3,3,,,,,6,6,88029
31,充值排行,10,3,3,,,,,7,7,88029
32,充值排行,10,3,3,,,,,8,8,88029
33,充值排行,10,3,3,,,,,9,9,88029
34,充值排行,10,3,3,,,,,10,10,88029
35,充值排行,10,3,3,,,,,11,100,88029
36,充值排行,10,3,3,,,,,101,999999,88029
37,消费排行,10,4,4,,,,,1,1,88029
38,消费排行,10,4,4,,,,,2,2,88029
39,消费排行,10,4,4,,,,,3,3,88029
40,消费排行,10,4,4,,,,,4,4,88029
41,消费排行,10,4,4,,,,,5,5,88029
42,消费排行,10,4,4,,,,,6,6,88029
43,消费排行,10,4,4,,,,,7,7,88029
44,消费排行,10,4,4,,,,,8,8,88029
45,消费排行,10,4,4,,,,,9,9,88029
46,消费排行,10,4,4,,,,,10,10,88029
47,消费排行,10,4,4,,,,,11,100,88029
48,消费排行,10,4,4,,,,,101,999999,88029
49,等级排行,10,5,5,,,,,1,1,88029
50,消费排行,10,5,5,,,,,2,2,88029
51,消费排行,10,5,5,,,,,3,3,88029
52,消费排行,10,5,5,,,,,4,4,88029
53,消费排行,10,5,5,,,,,5,5,88029
54,消费排行,10,5,5,,,,,6,6,88029
55,消费排行,10,5,5,,,,,7,7,88029
56,消费排行,10,5,5,,,,,8,8,88029
57,消费排行,10,5,5,,,,,9,9,88029
58,消费排行,10,5,5,,,,,10,10,88029
59,消费排行,10,5,5,,,,,11,100,88029
60,消费排行,10,5,5,,,,,101,999999,88029
61,收集排行,10,6,6,6,10111,EquipmentAtlas,equip_magic_01,1,1,88029
62,收集排行,10,6,6,6,10111,EquipmentAtlas,equip_magic_01,2,2,88029
63,收集排行,10,6,6,6,10111,EquipmentAtlas,equip_magic_01,3,3,88029
64,收集排行,10,6,6,6,10111,EquipmentAtlas,equip_magic_01,4,4,88029
65,收集排行,10,6,6,6,10111,EquipmentAtlas,equip_magic_01,5,5,88029
66,收集排行,10,6,6,6,10111,EquipmentAtlas,equip_magic_01,6,6,88029
67,收集排行,10,6,6,6,10111,EquipmentAtlas,equip_magic_01,7,7,88029
68,收集排行,10,6,6,6,10111,EquipmentAtlas,equip_magic_01,8,8,88029
69,收集排行,10,6,6,6,10111,EquipmentAtlas,equip_magic_01,9,9,88029
70,收集排行,10,6,6,6,10111,EquipmentAtlas,equip_magic_01,10,10,88029
71,收集排行,10,6,6,6,10112,EquipmentAtlas,equip_magic_01,11,100,88029
72,收集排行,10,6,6,6,10112,EquipmentAtlas,equip_magic_01,101,999999,88029
73,收集排行,10,7,6,6,10112,EquipmentAtlas,equip_magic_02,1,1,88029
74,收集排行,10,7,6,6,10112,EquipmentAtlas,equip_magic_02,2,2,88029
75,收集排行,10,7,6,6,10112,EquipmentAtlas,equip_magic_02,3,3,88029
76,收集排行,10,7,6,6,10112,EquipmentAtlas,equip_magic_02,4,4,88029
77,收集排行,10,7,6,6,10112,EquipmentAtlas,equip_magic_02,5,5,88029
78,收集排行,10,7,6,6,10112,EquipmentAtlas,equip_magic_02,6,6,88029
79,收集排行,10,7,6,6,10112,EquipmentAtlas,equip_magic_02,7,7,88029
80,收集排行,10,7,6,6,10112,EquipmentAtlas,equip_magic_02,8,8,88029
81,收集排行,10,7,6,6,10112,EquipmentAtlas,equip_magic_02,9,9,88029
82,收集排行,10,7,6,6,10112,EquipmentAtlas,equip_magic_02,10,10,88029
83,收集排行,10,7,6,6,10112,EquipmentAtlas,equip_magic_02,11,100,88029
84,收集排行,10,7,6,6,10112,EquipmentAtlas,equip_magic_02,101,999999,88029
