INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
INDEX,RANKMIN,RANKMAX,AWARD_TYPE1,AWARD_ITEM1,AWARD_COUNT1,AWARD_TYPE2,AWARD_ITEM2,AWARD_COUNT2,AWARD_TYPE3,AWARD_ITEM3,AWARD_COUNT3,ARENA_TYPE
0,获奖最小名次,获奖最大名词,奖励物品类型,奖励物品id,奖励物品数量,,,,,,,0
0,,,,,,,,,,,,5= 全属性竞技场
0,,,,,,,,,,,,0= 火属性竞技场
0,,,,,,,,,,,,1= 水属性竞技场
0,,,,,,,,,,,,2= 木属性竞技场
0,,,,,,,,,,,,3= 光属性竞技场
0,,,,,,,,,,,,4= 暗属性竞技场
0,,,,,,,,,,,,6=4v4巅峰竞技场
1000,1,1,0,205181,1,,,,,,,0
1001,2,5,4,0,1000,,,,,,,0
1002,6,10,4,0,500,,,,,,,0
1003,11,50,4,0,250,,,,,,,0
1004,51,200,4,0,100,,,,,,,0
1005,201,500,2,0,10000,,,,,,,0
1006,501,99999,2,0,5000,,,,,,,0
2000,1,1,0,205181,1,,,,,,,1
2001,2,5,4,0,1000,,,,,,,1
2002,6,10,4,0,500,,,,,,,1
2003,11,50,4,0,250,,,,,,,1
2004,51,200,4,0,100,,,,,,,1
2005,201,500,2,0,10000,,,,,,,1
2006,501,99999,2,0,5000,,,,,,,1
3000,1,1,0,205181,1,,,,,,,2
3001,2,5,4,0,1000,,,,,,,2
3002,6,10,4,0,500,,,,,,,2
3003,11,50,4,0,250,,,,,,,2
3004,51,200,4,0,100,,,,,,,2
3005,201,500,2,0,10000,,,,,,,2
3006,501,99999,2,0,5000,,,,,,,2
4000,1,1,0,205181,1,,,,,,,3
4001,2,5,4,0,1000,,,,,,,3
4002,6,10,4,0,500,,,,,,,3
4003,11,50,4,0,250,,,,,,,3
4004,51,200,4,0,100,,,,,,,3
4005,201,500,2,0,10000,,,,,,,3
4006,501,99999,2,0,5000,,,,,,,3
5000,1,1,0,205181,1,,,,,,,4
5001,2,5,4,0,1000,,,,,,,4
5002,6,10,4,0,500,,,,,,,4
5003,11,50,4,0,250,,,,,,,4
5004,51,200,4,0,100,,,,,,,4
5005,201,500,2,0,10000,,,,,,,4
5006,501,99999,2,0,5000,,,,,,,4
6000,1,1,0,205181,1,,,,,,,5
6001,2,5,4,0,1000,,,,,,,5
6002,6,10,4,0,500,,,,,,,5
6003,11,50,4,0,250,,,,,,,5
6004,51,200,4,0,100,,,,,,,5
6005,201,500,2,0,10000,,,,,,,5
6006,501,99999,2,0,5000,,,,,,,5
7000,1,1,2,0,10000,,,,,,,6
7001,2,5,2,0,9000,,,,,,,6
7002,6,10,2,0,8000,,,,,,,6
7003,11,50,2,0,7000,,,,,,,6
7004,51,200,2,0,6000,,,,,,,6
7005,201,500,2,0,5000,,,,,,,6
7006,501,99999,2,0,4000,,,,,,,6
