INDEX,GAIY_BY_STAGE,GAIN_BY_FUNCTION,GAIN_BY_SHOPINDEX
INT,STRING,STRING,INT
30001,,0,0
30002,,0,0
30003,,0,0
30004,,0,0
30005,,0,0
30006,,10015,0
30007,,10015,0
30008,,10015,0
30009,,10015,0
30010,,10015,0
30011,,10015,0
30012,,10015,0
30013,,10015,0
30014,,10015,0
30015,,10015,0
30016,,10015,0
30017,,10015,0
30018,,10015,0
30019,,10015,0
30020,,10015,0
30021,,10015,0
30022,,10015,0
30023,,10015,0
30024,,10015,0
30025,,10015,0
30026,,10015,0
30027,,10015,0
30028,,10015,0
30029,,10015,0
30030,,10015,0
30031,,10015,0
30032,,10015,0
30033,,10015,0
30034,,10015,0
30035,,10015,0
30036,,10015,0
30037,,10015,0
30038,,10015,0
30039,,10015,0
30040,,10015,0
30041,,10015,0
30042,,10015,0
30043,,10015,0
30044,,10015,0
30045,,10015,0
30046,,10015,0
30047,,10015,0
30048,,10015,0
30049,,10015,0
30050,,10015,0
30051,,10015,0
30052,,10015,0
30053,,10015,0
30054,,10015,0
30055,,10015,0
30056,,10015,0
30057,,10015,0
30058,,10015,0
30059,,10015,0
30060,,10015,0
30061,,10015,0
30062,,10015,0
30063,,10015,0
30064,,10015,0
30065,,10015,0
30066,,10015,0
30067,,10015,0
30068,,10015,0
30069,,10015,0
30070,,10015,0
30071,,10015,0
30072,,10015,0
30073,,10015,0
30074,,10015,0
30075,,10012|10015,0
30076,,10015,0
30077,,10015,0
30078,,10015,0
30079,,10015,0
30080,,10015,0
30081,,10015,0
30082,,10015,0
30083,,10015,0
30084,,10015,0
30085,,10015,0
30086,,10015,0
30087,,10015,0
30088,,10015,0
30089,,10015,0
30090,,10015,0
30091,,10015,0
30092,,10015,0
30093,,10012|10015,0
30094,,10012|10015,0
30095,,10012|10015,0
30096,,10012|10015,0
30097,,10012|10015,0
30098,,10012|10015,0
30099,,10012|10015,0
30100,,10012|10015,0
30101,,10012|10015,0
30102,,10012|10015,0
30103,,10012|10015,0
30104,,10012|10015,0
30105,,10012|10015,0
30106,,10012|10015,0
30107,,10012|10015,0
30108,,10012|10015,0
30109,,10012|10015,0
30110,,10012|10015,0
30111,,10012|10015,0
30112,,10012|10015,0
30113,,10012|10015,0
30114,,10012|10015,0
30115,,10012|10015,0
30116,,10012|10015,0
30117,,10012|10015,0
30118,,10012|10015,0
30293,,10017|10018,0
30305,,10017|10028|10013,0
14001,20014,0,0
14002,,10014,0
14003,,10014,0
14004,,10014,0
14005,,10014,0
14006,,10014,0
14007,,10014,0
14008,,10014,0
14009,,10014,0
14101,20026,0,0
14102,,10014,0
14103,,10014,0
14104,,10014,0
14105,,10014,0
14106,,10014,0
14107,,10014,0
14108,,10014,0
14109,,10014,0
14201,20025,0,0
14202,,10014,0
14203,,10014,0
14204,,10014,0
14205,,10014,0
14206,,10014,0
14207,,10014,0
14208,,10014,0
14209,,10014,0
14301,20015,0,0
14302,,10014,0
14303,,10014,0
14304,,10014,0
14305,,10014,0
14306,,10014,0
14307,,10014,0
14308,,10014,0
14309,,10014,0
15001,,10010,0
15002,,10010,0
15003,,10013|10010,0
15004,,10013|10010,0
15005,,10013|10010,0
15006,,10013|10010,0
15101,,10010,0
15102,,10010,0
15103,,10013|10010,0
15104,,10013|10010,0
15105,,10013|10010,0
15106,,10013|10010,0
15202,,10013|10010|10018,0
15203,,10013|10010,0
40018,,0,0
40019,,0,0
40020,,0,0
40044,20043|20093|20193,0,0
40045,,0,0
40046,20046|20103|20203,0,0
40047,,0,0
40048,,0,0
40049,,0,0
40050,,0,0
40051,20053|20113,0,0
40054,20056|20123,0,0
40055,,0,0
40056,20063|20133,0,0
40057,,0,0
40058,,0,0
40059,20066|20143,0,0
40060,,0,0
40061,,0,0
40062,20073|20153,0,0
40063,,0,0
40064,,0,0
40065,,0,0
40066,20076|20163,0,0
40067,20083|20173,0,0
40068,,0,0
40069,,0,0
40070,20086|20183,0,0
40071,,0,0
40072,,0,0
40073,,0,0
40074,20129|20196|20246|20383|20493,10017,0
40075,20269|20359|20439,10017,0
40076,20280|20369|20449,10017,0
40077,20100|20160|20209|20303|20413,10017,0
40078,20130|20253,10017,0
40079,20140|20266,10017,0
40080,20116|20176|20226|20343|20453,10017,0
40081,20150|20283,10017,0
40082,20126|20189|20243|20373|20483,10017,0
40083,20096|20156|20199|20286|20393,10017,0
40084,20109|20169|20216|20323|20433,10017,0
40085,20099|20159|20206|20293|20403,10017,0
40086,20279|20366|20446,10017,0
40087,20106|20166|20214|20313|20423,10017,0
40088,20149|20276,10017,0
40089,20136|20256,10017,0
40090,20119|20179|20233|20353|20463,10017,0
40091,20139|20263,10017,0
40092,20110|20170|20223|20333|20443,10017,0
40093,20260|20356|20436,10017,0
40094,20210|20320|20400|20486,10017,0
40095,20250|20349|20429,10017,0
40096,20239|20339|20419|20500,10017,0
40097,20120|20186|20236|20363|20473,10017,0
40098,20270|20360|20440,10017,0
40099,20309|20389|20470,10017|10016,0
40100,20306|20386|20469,10017|10018,0
40101,20229|20330|20410|20496,10017,0
40102,20290|20450,10017,0
40103,20249|20346|20426,10017,0
40104,20300|20380|20466,10017|10018,0
40105,20180|20310|20390|20476,10017,0
40106,20240|20340|20420,10017,0
40107,20299|20379|20460,10017|10018,0
40108,20220|20329|20409|20490,10017,0
40109,,10017,0
40110,20190|20316|20396|20479,10017,0
40111,20219|20326|20406|20489,10017,0
40112,20230|20336|20416|20499,10017,0
40113,20146|20273,10017,0
40114,,10017,0
40115,20200|20319|20399|20480,10017,0
40116,20289|20370|20456,10017,0
40117,20296|20376|20459,10017|10016,0
40118,20259|20350|20430,10017,0
16002,20037|20079,10012|10014,0
16003,20059,10012|10014,0
16004,20100,10012|10014,0
16005,20140,10012|10014,0
16006,20180,10012|10014,0
16007,20220,10013|10012|10014,0
16008,20260,10013|10012|10014,0
16009,20300,10013|10012|10014,0
16102,20050|20090,10012|10014,0
16103,20070,10012|10014,0
16104,20130,10012|10014,0
16105,20170,10012|10014,0
