INDEX,NAME,DESCRIPTION,EQUIP_TYPE,QUALITY,ICON_ATLAS_NAME,ICON_SPRITE_NAME,ATTRIBUTE_TYPE_0,ATTRIBUTE_TYPE_TXT_0,BASE_ATTRIBUTE_0,STRENGTHEN_0,ATTRIBUTE_TYPE_1,ATTRIBUTE_TYPE_TXT_1,BASE_ATTRIBUTE_1,STRENGTHEN_1,REFINE_TYPE_0,REFINE_VALUE_0,REFINE_TYPE_1,REFINE_VALUE_1,SUPPLY_EXP,MAX_GROW_LEVEL,MAX_REFINE_LEVEL,ATTACHATTRIBUTE_NUM,MAX_STRENGTH,GET_WAY_INDEX,SELL_PRICE
INT,STRING,STRING,INT,INT,STRING,STRING,INT,STRING,INT,INT,INT,STRING,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,STRING
14001,云灵剑,青铁铸造的长剑，云霞饰柄，剑身轻薄灵动，攻击+66。,1,2,EquipmentAtlas1,equip_weapon_green_01,1,攻击,660000,30000,0,0,0,0,1,130000,16,100,0,240,50,1,5,0,1000002#1000
14101,云灵戒,青铁戒指，蕴含青云灵力，气血上限+800。,2,2,EquipmentAtlas,equip_jewel_green_01,7,hp上限数值,10000000,500000,0,0,0,0,7,2000000,14,100,0,240,50,1,5,0,1000002#1000
14201,云灵服,云锦道袍，内秀符咒阵法，法防+40。,3,2,EquipmentAtlas,equip_armor_green_01,41,法防,400000,20000,0,0,0,0,41,80000,30,80,0,240,50,1,5,0,1000002#1000
14301,云灵靴,云锦织靴，有符咒之力，物防+40。,4,2,EquipmentAtlas1,equip_shoes_green_01,40,物防,400000,20000,0,0,0,0,40,80000,44,80,0,240,50,1,5,0,1000002#1000
14002,寒光剑,寒铁融合万年寒冰铸造而成的长剑，散发森森寒气，攻击+115。,1,3,EquipmentAtlas1,equip_weapon_blue_01,1,攻击,1150000,60000,0,0,0,0,1,260000,16,100,0,240,50,1,5,0,1000002#3000
14102,寒光戒,神山乌晶所制戒指，外表朴实无华，内含巨大威能，气血上限+1400。,2,3,EquipmentAtlas,equip_jewel_blue_01,7,hp上限数值,18000000,800000,0,0,0,0,7,4000000,14,100,0,240,50,1,5,0,1000002#3000
14202,寒光服,水境寒海之精织造而成的外袍，饱含灵力，法防+70。,3,3,EquipmentAtlas,equip_armor_blue_01,41,法防,700000,40000,0,0,0,0,41,160000,30,80,0,240,50,1,5,0,1000002#3000
14302,寒光靴,寒海之精锻造长靴，寒气逼人，物防+70。,4,3,EquipmentAtlas,equip_shoes_blue_01,40,物防,700000,40000,0,0,0,0,40,160000,44,80,0,240,50,1,5,0,1000002#3000
14003,乾坤刀,经过混沌初开上清之气精华淬炼，蕴含世间破魔化浊之力，攻击+115。,1,3,EquipmentAtlas1,equip_weapon_blue_02,1,攻击,1150000,60000,0,0,0,0,1,260000,16,100,0,240,50,1,5,0,1000002#3000
14103,乾坤珠,相传以洪荒古兽心脏炼制而成的宝珠，可护心神，气血上限+1400。,2,3,EquipmentAtlas,equip_jewel_blue_02,7,hp上限数值,18000000,800000,0,0,0,0,7,4000000,14,100,0,240,50,1,5,0,1000002#3000
14203,乾坤袍,清缎镶绣的道服，发五色光华，法防+70。,3,3,EquipmentAtlas,equip_armor_blue_02,41,法防,700000,40000,0,0,0,0,41,160000,30,80,0,240,50,1,5,0,1000002#3000
14303,乾坤靴,锦缎与上清石所造靴子，静气明神，物防+70。,4,3,EquipmentAtlas1,equip_shoes_blue_02,40,物防,700000,40000,0,0,0,0,40,160000,44,80,0,240,50,1,5,0,1000002#3000
14004,紫菱鞭,紫金锻造长鞭，阳极精华，淬光能，散发紫色光芒，光彩耀目，攻击+198。,1,4,EquipmentAtlas1,equip_weapon_purple_01,1,攻击,1980000,90000,0,0,0,0,1,330000,16,100,0,240,50,1,5,0,1000002#5000
14104,紫菱宝镜,以紫金为材，藏于极地深海之中数万年，气血上限+2400。,2,4,EquipmentAtlas,equip_jewel_purple_01,7,hp上限数值,30000000,1500000,0,0,0,0,7,5000000,14,100,0,240,50,1,5,0,1000002#5000
14204,紫菱袍,木境灵蝉之丝织造的袍甲，柔韧无比，法防+120。,3,4,EquipmentAtlas,equip_armor_purple_01,41,法防,1200000,60000,0,0,0,0,41,200000,30,80,0,240,50,1,5,0,1000002#5000
14304,紫菱靴,以紫菱精甲所造短靴，轻薄浮水，灵力逼人，物防+120。,4,4,EquipmentAtlas1,equip_shoes_purple_01,40,物防,1200000,60000,0,0,0,0,40,200000,44,80,0,240,50,1,5,0,1000002#5000
14005,摘星剑,天外飞石锻造而成，在夜间闪耀星芒光华，攻击+198。,1,4,EquipmentAtlas1,equip_weapon_purple_02,1,攻击,1980000,90000,0,0,0,0,1,330000,16,100,0,240,50,1,5,0,1000002#5000
14105,摘星戒,天外飞石精华晶核所制戒指，助心神相守，气血上限+2400。,2,4,EquipmentAtlas,equip_jewel_purple_02,7,hp上限数值,30000000,1500000,0,0,0,0,7,5000000,14,100,0,240,50,1,5,0,1000002#5000
14205,摘星护甲,极石精华凝炼而成，蕴含星华，法防+120。,3,4,EquipmentAtlas,equip_armor_purple_02,41,法防,1200000,60000,0,0,0,0,41,200000,30,80,0,240,50,1,5,0,1000002#5000
14305,摘星靴,镶嵌飞石晶核的华丽靴子，在夜色中闪耀星芒，物防+120。,4,4,EquipmentAtlas1,equip_shoes_purple_02,40,物防,1200000,60000,0,0,0,0,40,200000,44,80,0,240,50,1,5,0,1000002#5000
14006,麟火吞月刀,骨龙利爪所制长刀，孕于群龙墓地，吸取月华，攻击+198。,1,4,EquipmentAtlas1,equip_weapon_purple_03,1,攻击,1980000,90000,0,0,0,0,1,330000,16,100,0,240,50,1,5,0,1000002#5000
14106,麟火焚心珠,骨龙头骨龙气滋养的宝珠，蕴含不同于五境大陆的力量，气血上限+2400。,2,4,EquipmentAtlas,equip_jewel_purple_03,7,hp上限数值,30000000,1500000,0,0,0,0,7,5000000,14,100,0,240,50,1,5,0,1000002#5000
14206,麟火披甲,骨龙骨麟炼制的披甲，龙威隐隐，刀枪不入，法防+120。,3,4,EquipmentAtlas,equip_armor_purple_03,41,法防,1200000,60000,0,0,0,0,41,200000,30,80,0,240,50,1,5,0,1000002#5000
14306,麟火靴,以骨龙腿骨为轴所造的鞋子，坚固无比，物防+120。,4,4,EquipmentAtlas1,equip_shoes_purple_03,40,物防,1200000,60000,0,0,0,0,40,200000,44,80,0,240,50,1,5,0,1000002#5000
14007,炙焰刀,赤红如火，纯阳至宝，有吞吐极火威能，攻击+247。,1,5,EquipmentAtlas1,equip_weapon_orange_01,1,攻击,2470000,120000,0,0,0,0,1,460000,16,100,0,240,50,1,5,0,1000002#10000
14107,炙焰灵珠,天地雷力孕育的天然灵珠，守心护灵，气血上限+3000。,2,5,EquipmentAtlas,equip_jewel_orange_01,7,hp上限数值,38000000,2000000,0,0,0,0,7,7000000,14,100,0,240,50,1,5,0,1000002#10000
14207,炙焰服,火境赤蟾妖皮所制皮服，至柔克刚，法防+150。,3,5,EquipmentAtlas,equip_armor_orange_01,41,法防,1500000,80000,0,0,0,0,41,280000,30,80,0,240,50,1,5,0,1000002#10000
14307,炙焰靴,火境赤蟾妖皮所制皮靴，至柔克刚，物防+150。,4,5,EquipmentAtlas1,equip_shoes_orange_01,40,物防,1500000,80000,0,0,0,0,40,280000,44,80,0,240,50,1,5,0,1000002#10000
14008,破霞剑,以金乌精血淬炼而成，金光破霞，攻击+247。,1,5,EquipmentAtlas1,equip_weapon_orange_02,1,攻击,2470000,120000,0,0,0,0,1,460000,16,100,0,240,50,1,5,0,1000002#10000
14108,破霞戒,采东来紫气为灵，以阳境至钢为材，气血上限+3000。,2,5,EquipmentAtlas,equip_jewel_orange_02,7,hp上限数值,38000000,2000000,0,0,0,0,7,7000000,14,100,0,240,50,1,5,0,1000002#10000
14208,破霞甲,以后羿所射杀金乌炼成，五色冰纨般的彩幕，法防+150。,3,5,EquipmentAtlas,equip_armor_orange_02,41,法防,1500000,80000,0,0,0,0,41,280000,30,80,0,240,50,1,5,0,1000002#10000
14308,破霞靴,佛祖灯头结三色火焰，凝于靴中可抵御任何物理类型的伤害，物防+150。,4,5,EquipmentAtlas1,equip_shoes_orange_02,40,物防,1500000,80000,0,0,0,0,40,280000,44,80,0,240,50,1,5,0,1000002#10000
14009,玄辉飞星锤,神魔大战中遗留神器，吸取万年日月辉华，攻击+247。,1,5,EquipmentAtlas1,equip_weapon_orange_03,1,攻击,2470000,120000,0,0,0,0,1,460000,16,100,0,240,50,1,5,0,1000002#10000
14109,玄辉飞星镜,九天玄女采天地与自身灵气炼成，气血上限+3000。,2,5,EquipmentAtlas,equip_jewel_orange_03,7,hp上限数值,38000000,2000000,0,0,0,0,7,7000000,14,100,0,240,50,1,5,0,1000002#10000
14209,玄辉战袍,被阳境神教供奉万年，日月精华所凝，法防+150。,3,5,EquipmentAtlas,equip_armor_orange_03,41,法防,1500000,80000,0,0,0,0,41,280000,30,80,0,240,50,1,5,0,1000002#10000
14309,玄辉龙靴,以战神之靴为原型锻造的龙血，因为加入了金龙之血而威能无穷，物防+150。,4,5,EquipmentAtlas1,equip_shoes_orange_03,40,物防,1500000,80000,0,0,0,0,40,280000,44,80,0,240,50,1,5,0,1000002#10000
15001,流云飞扇,水境灵山金云中锻造千年得以成型，攻击+20。,6,3,EquipmentAtlas,equip_magic_blue_01,1,攻击,200000,200000,14,命中百分比,20,20,2,100,16,100,1200,80,20,1,5,0,1000002#3000
15002,雪魂塔,以千万雪妖精魂炼化为器魂，镇生灵之神魄，攻击+20。,6,3,EquipmentAtlas,equip_magic_blue_02,1,攻击,200000,200000,14,命中百分比,20,20,2,100,16,100,1200,80,20,1,5,0,1000002#3000
15003,玄冰寒光钟,藏在万年寒脉的地窍中，冰雪精华所凝，攻击+40。,6,4,EquipmentAtlas,equip_magic_purple_01,1,攻击,400000,400000,14,命中百分比,40,40,2,200,16,200,10000,80,20,1,5,0,1000002#5000
15004,幽火修罗卷,上古魔神斩杀众生所用兵器，阴气萦绕，邪气肆意，攻击+40。,6,4,EquipmentAtlas,equip_magic_purple_02,1,攻击,400000,400000,14,命中百分比,40,40,2,200,16,200,10000,80,20,1,5,0,1000002#5000
15005,五霞彩英梭,采聚空中五火之精炼而成，可破万物，无坚不摧，攻击+60。,6,5,EquipmentAtlas,equip_magic_orange_01,1,攻击,600000,600000,14,命中百分比,60,60,2,300,16,300,20000,80,20,1,5,0,1000002#10000
15006,天火灵幡,上古之战中被天火击中，日日锤炼已过万年，焚尽万物，攻击+60。,6,5,EquipmentAtlas,equip_magic_orange_02,1,攻击,600000,600000,14,命中百分比,60,60,2,300,16,300,20000,80,20,1,5,0,1000002#10000
15101,金蝉符,以阳境灵物金蝉之壳为材绘制的符箓，气血上限+200。,7,3,EquipmentAtlas,equip_magic_blue_11,7,hp上限数值,2500000,2500000,30,闪避百分比,20,20,8,100,44,100,1200,80,20,1,5,0,1000002#3000
15102,溟骨符,形如枯骨，阴境魔洞中汲取灵力，气血上限+200。,7,3,EquipmentAtlas,equip_magic_blue_12,7,hp上限数值,2500000,2500000,30,闪避百分比,20,20,8,100,44,100,1200,80,20,1,5,0,1000002#3000
15103,玄雷符,雷兽心头血为材料，绘制引雷符箓，威力巨大，气血上限+300。,7,4,EquipmentAtlas,equip_magic_purple_11,7,hp上限数值,5000000,5000000,30,闪避百分比,40,40,8,200,44,200,10000,80,20,1,5,0,1000002#5000
15104,炼火符,焚心炎龙鳞片上刻画的火符，能引天地之火，专护心神，气血上限+300。,7,4,EquipmentAtlas,equip_magic_purple_12,7,hp上限数值,5000000,5000000,30,闪避百分比,40,40,8,200,44,200,10000,80,20,1,5,0,1000002#5000
15105,九凝符,以世间九种灵力之精华为引，绘制凝练符箓，专克邪魔，气血上限+400。,7,5,EquipmentAtlas,equip_magic_orange_11,7,hp上限数值,7000000,7000000,30,闪避百分比,60,60,8,300,44,300,20000,80,20,1,5,0,1000002#10000
15106,金龙符,上古五爪金龙逆鳞所制符箓，散发隐隐龙威，气血上限+400。,7,5,EquipmentAtlas,equip_magic_orange_12,7,hp上限数值,7000000,7000000,30,闪避百分比,60,60,8,300,44,300,20000,80,20,1,5,0,1000002#10000
15201,神器经验铜印,洪荒前地海中独角潜龙角芒所制，可以给神器强化提供少量经验。,5,2,EquipmentAtlas,equip_magic_green_21,7,hp上限数值,200,200,30,闪避百分比,10,10,8,10,44,10,1000,80,20,1,5,0,1000002#1000
15202,神器经验银印,洪荒前地海中独角潜龙獠牙所制，可以给神器强化提供中等经验。,5,3,EquipmentAtlas,equip_magic_blue_21,7,hp上限数值,500,500,30,闪避百分比,20,20,8,20,44,20,2500,80,20,1,5,0,1000002#3000
15203,神器经验金印,洪荒前地海中独角潜龙眼睛所制，可以给神器强化提供大量经验。,5,4,EquipmentAtlas,equip_magic_purple_21,7,hp上限数值,1000,1000,30,闪避百分比,30,30,8,30,44,30,10000,80,20,1,5,0,1000002#5000
