INDEX,ICON_ATLAS,ICON_SPRITE,ATLAS,SPRITE,ROLE_SKIN_HP,ROLE_SKIN_MP,ROLE_SKIN_ATTACK,ROLE_TITLE,FIGHT_STRENGTH
INT,STRING,STRING,STRING,STRING,INT,INT,INT,STRING,INT
50000,RoleUIAtlas,a_ui_yuan_nv,RoleUIAtlas,a_ui_xsm,0,0,0,驱鬼师,500
50001,RoleUIAtlas,a_ui_yuan_nv,RoleUIAtlas,a_ui_xsm,0,0,0,驱鬼师,500
50002,RoleUIAtlas,a_ui_yuan_nv,RoleUIAtlas,a_ui_xsm,1000,200,50,御妖师,1500
50003,RoleUIAtlas,a_ui_yuan_nv,RoleUIAtlas,a_ui_xsm,2000,500,100,伏魔师,3000
50011,RoleUIAtlas,a_ui_yuan_nv,RoleUIAtlas,a_ui_xsm,0,0,0,驱鬼师,500
50012,RoleUIAtlas,a_ui_yuan_nv,RoleUIAtlas,a_ui_xsm,0,0,0,驱鬼师,500
50013,RoleUIAtlas,a_ui_yuan_nv,RoleUIAtlas,a_ui_xsm,0,0,0,驱鬼师,500
50014,RoleUIAtlas,a_ui_yuan_nv,RoleUIAtlas,a_ui_xsm,0,0,0,驱鬼师,500
50015,RoleUIAtlas,a_ui_yuan_nv,RoleUIAtlas,a_ui_xsm,0,0,0,驱鬼师,500
50016,RoleUIAtlas,a_ui_yuan_nv,RoleUIAtlas,a_ui_xsm,0,0,0,驱鬼师,500
50017,RoleUIAtlas,a_ui_yuan_nv,RoleUIAtlas,a_ui_xsm,0,0,0,驱鬼师,500
50018,RoleUIAtlas,a_ui_yuan_nv,RoleUIAtlas,a_ui_xsm,0,0,0,驱鬼师,500
50019,RoleUIAtlas,a_ui_yuan_nv,RoleUIAtlas,a_ui_xsm,0,0,0,驱鬼师,500
50020,RoleUIAtlas,a_ui_yuan_nv,RoleUIAtlas,a_ui_xsm,0,0,0,驱鬼师,500
50101,RoleUIAtlas,a_ui_yuan_nan,RoleUIAtlas,a_ui_xsg,0,0,0,驱鬼师,500
50102,RoleUIAtlas,a_ui_yuan_nan,RoleUIAtlas,a_ui_xsg,1000,200,50,御妖师,1500
50103,RoleUIAtlas,a_ui_yuan_nan,RoleUIAtlas,a_ui_xsg,2000,500,100,伏魔师,3000
50111,RoleUIAtlas,a_ui_yuan_nan,RoleUIAtlas,a_ui_xsg,0,0,0,驱鬼师,500
50112,RoleUIAtlas,a_ui_yuan_nan,RoleUIAtlas,a_ui_xsg,0,0,0,驱鬼师,500
50113,RoleUIAtlas,a_ui_yuan_nan,RoleUIAtlas,a_ui_xsg,0,0,0,驱鬼师,500
50114,RoleUIAtlas,a_ui_yuan_nan,RoleUIAtlas,a_ui_xsg,0,0,0,驱鬼师,500
50115,RoleUIAtlas,a_ui_yuan_nan,RoleUIAtlas,a_ui_xsg,0,0,0,驱鬼师,500
50116,RoleUIAtlas,a_ui_yuan_nan,RoleUIAtlas,a_ui_xsg,0,0,0,驱鬼师,500
50117,RoleUIAtlas,a_ui_yuan_nan,RoleUIAtlas,a_ui_xsg,0,0,0,驱鬼师,500
50118,RoleUIAtlas,a_ui_yuan_nan,RoleUIAtlas,a_ui_xsg,0,0,0,驱鬼师,500
50119,RoleUIAtlas,a_ui_yuan_nan,RoleUIAtlas,a_ui_xsg,0,0,0,驱鬼师,500
50120,RoleUIAtlas,a_ui_yuan_nan,RoleUIAtlas,a_ui_xsg,0,0,0,驱鬼师,500
50021,RoleUIAtlas,a_ui_yuan_nan,RoleUIAtlas,a_ui_xsg,0,0,0,驱鬼师,500
