INT,STRING,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
ID,SCRIPT_NAME,SCRIPT_TYPE,VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,VAR8,VAR9,VAR10
10001,BUFF_GUIDE,,,,,,,,,,,
,用于新手引导的Buff,,,,,,,,,,,
90001,BUFF90001,BUFF,5,100,90002,,,,,,,
,自爆。对VAR1范围内的敌人造成var2伤害并且使其灼烧,,,,,,,,,,,
90002,BUFF90002,BUFF,10,1,100,,,,,,,
,"灼烧。""对目标每""..var2..""秒造成""..var3..""点伤害持续""..var1..""秒""",,,,,,,,,,,
90003,BUFF90003,BUFF,10,1,,,,,,,,
,"眩晕。""被召唤时对自身范围""..var1..""码内的敌人造成眩晕""..var2..""秒的效果""",,,,,,,,,,,
90004,BUFF90004,BUFF,10,50,,,,,,,,
,"虚弱气场。""对自身范围""..var1..""码内的敌人造成攻击力下降""..var2..""%的虚弱效果""",,,,,,,,,,,
90005,BUFF90005,BUFF,10,50,,,,,,,,
,"虚弱气场。""对自身范围""..var1..""码内的敌人造成攻击力下降""..var2..""%的虚弱效果""",,,,,,,,,,,
91001,BUFF91001,BUFF,1000,,,,,,,,,
,"召唤回血。""召唤时为主角回复""..var1..""生命值""",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
920101,BUFF920101,BUFF,10,50,1003,,,,,,,1
,聚力,自身每减少x%血量提升n%的攻击力,,,,,,,,,,
920201,BUFF920201,BUFF,10,1004,,,,,,,,1
,强健,被动增加召唤持续时间X秒,,,,,,,,,,
920301,BUFF920301,BUFF,30,50,92030101,,,,,,,1
,威压,如果目标生命低于x%时，将对其造成n%的额外伤害,,,,,,,,,,
920401,BUFF920401,BUFF,20,34801,,,,,,,,1
,岚怒,被召唤时若自身范围20码内有敌人，则对其中一名敌人自动释放一次飓风技能,,,,,,,,,,
920501,BUFF920501,BUFF,10,1,3040,,,,,,,1
,冻血,死亡时，使自身X码范围内的敌人冰冻X秒,,,,,,,,,,
920601,BUFF920601,BUFF,100,150,205091,,,,,,,1
,狂化,提升自身XX点的防御力，当场上有马面时效果为n倍,,,,,,,,,,
920701,BUFF920701,BUFF,100,150,205081,,,,,,,1
,激怒,提升自身XX点的攻击力，当场上有牛头时效果为n倍,,,,,,,,,,
920801,BUFF920801,BUFF,-100,150,205071,92080101,92080111,,,,,1
,虚体,攻击命中时降低目标XXX点攻击力，当场上有白无常时，效果为n倍,,,,,,,,,,
920901,BUFF920901,BUFF,-100,150,205061,92090101,92090111,,,,,1
,弱甲,攻击命中时降低目标XXX点防御力，当场上有黑无常时，效果为n倍,,,,,,,,,,
921001,BUFF921001,BUFF,100,50,,,,,,,,1
,移殇,被动减免自身受到的伤害XXX点，若场上有分身，则将受到的XX%的伤害分摊与分身,,,,,,,,,,
921101,BUFF921101,BUFF,10,5,,,,,,,,1
,不屈,自身每降低X%血量，减少受到的XX%伤害,,,,,,,,,,
921201,BUFF921201,BUFF,20,50,10,10,92120101,,,,,1
,御神,攻击命中时使全体友方角色增强效果，同时提升攻击力与暴击率，持续X秒,,,,,,,,,,
921301,BUFF921301,BUFF,20,50,5,,,,,,,1
,命衍,死亡时，死亡时，使自身范围X码内的全体友方角色回复XX%的生命值,,,,,,,,,,
921401,BUFF921401,BUFF,100,10,205131,92140101,,,,,,1
,驭力,被动使全体友方角色提升XXX点防御力，当场上有白虎时被召唤，则提升召唤持续时间X秒,,,,,,,,,,
921501,BUFF921501,BUFF,20,-500,1,-100,10,205141,,,,1
,烈炎,被召唤时对自身范围X码内敌人造成XXX点伤害，同时对范围敌人造成每X秒XXX点的持续伤害，当场上有玄武时被召唤，则提升召唤持续时间X秒,,,,,,,,,,
921601,BUFF921601,BUFF,20,10,205111,,,,,,,1
,扰影,提升自身XXX点闪避，当场上有青龙时被召唤，则提升召唤持续时间X秒,,,,,,,,,,
921701,BUFF921701,BUFF,20,-200,10,92170101,205121,,,,,1
,封脉,被动降低自身范围X码内敌人XXX点防御力，当场上有朱雀时被召唤，则提升召唤持续时间X秒,,,,,,,,,,
921801,BUFF921801,BUFF,100,-100,,,,,,,,1
,暴戾,被动提升自身XXX点暴击伤害，所受到的伤害减少XXX点,,,,,,,,,,
921901,BUFF921901,BUFF,500,5,10,92190101,,,,,,1
,信念,召唤时增加全体XXX点防御，获得被动1中的buffx层，增加存活时间,,,,,,,,,,
922001,BUFF922001,BUFF,50,-50,10,92200101,,,,,,1
,战意,被动延长大招有效时间，降低大招冷却，增加存活时间,,,,,,,,,,
922101,BUFF922101,BUFF,10,1,3000,,,,,,,1
,妄仇,死亡时眩晕自身X码范围内的全部敌人，将己方所有符灵的再次召唤间隔时间清零,,,,,,,,,,
922201,BUFF922201,BUFF,500,5,92220101,,,,,,,1
,斗志,被动提升自身XXX点攻击力，被召唤时减少所有符灵X秒的召唤间隔时间,,,,,,,,,,
922301,BUFF922301,BUFF,15,100,10,92230101,92230111,,,,,1
,封灵,被动降低自身X码范围内敌人XXX点防御力，增加所有己方符灵X秒召唤持续时间,,,,,,,,,,
922401,BUFF922401,BUFF,200,5,92240101,,,,,,,1
,灵溢,被动提升主角XXX点法力上限，被召唤时减少主角所有技能X秒的冷却时间,,,,,,,,,,
,,,,,,,,,,,,
92030101,BUFF92030101,BUFF,30,50,102022,1013,,,,,,10
,威压,如果目标生命低于x%时，将对其造成n%的额外伤害,,,,,,,,,,
92080101,BUFF92080101,BUFF,-100,5,205061,,,,,,,10
,虚体,攻击命中时降低目标XXX点攻击力，当场上有白无常时，效果为n倍,,,,,,,,,,
92080111,BUFF92080111,BUFF,-50,5,205061,,,,,,,10
,虚体,攻击命中时降低目标XXX点攻击力，当场上有白无常时，效果为n倍,,,,,,,,,,
92090101,BUFF92030101,BUFF,-100,5,205071,,,,,,,10
,弱甲,攻击命中时降低目标XXX点防御力，当场上有黑无常时，效果为n倍,,,,,,,,,,
92090111,BUFF92090111,BUFF,-50,5,205071,,,,,,,10
,弱甲,攻击命中时降低目标XXX点防御力，当场上有黑无常时，效果为n倍,,,,,,,,,,
92120101,BUFF92120101,BUFF,50,10,10,,,,,,,10
,御神,攻击命中时使全体友方角色增强效果，同时提升攻击力与暴击率，持续X秒,,,,,,,,,,
92140101,BUFF92140101,BUFF,100,,,,,,,,,10
,驭力,被动使全体友方角色提升XXX点防御力，当场上有白虎时，提升召唤持续时间X秒,,,,,,,,,,
92170101,BUFF92170101,BUFF,-200,,,,,,,,,10
,封脉,被动降低自身范围X码内敌人XXX点防御力，当场上有朱雀时被召唤，则提升召唤持续时间X秒,,,,,,,,,,
92190101,BUFF92190101,BUFF,50,,,,,,,,,10
,信念,被动降低自身范围X码内敌人XXX点防御力，当场上有朱雀时被召唤，则提升召唤持续时间X秒,,,,,,,,,,
92200101,BUFF92200101,BUFF,-50,,,,,,,,,10
,战意,被动延长大招有效时间，降低大招冷却，增加存活时间,,,,,,,,,,
92220101,BUFF92220101,BUFF,-5,,,,,,,,,10
,斗志,减少所有符灵X秒的召唤间隔时间,,,,,,,,,,
92230101,BUFF92230101,BUFF,-100,,,,,,,,,10
,封灵,被动降低自身X码范围内敌人XXX点防御力,,,,,,,,,,
92230111,BUFF92230111,BUFF,10,,,,,,,,,10
,封灵,增加所有己方符灵X秒召唤持续时间,,,,,,,,,,
92240101,BUFF92240101,BUFF,200,-5,,,,,,,,10
,灵溢,被动提升主角XXX点法力上限，被召唤时减少主角所有技能X秒的冷却时间,,,,,,,,,,
,,,,,,,,,,,,
910101,BUFF910101,BUFF,10,300,3,3040,,,,,,
