INDEX,NAME,DESC,PAGE_TYPE,START_TIME,END_TIME,GROUP_ID,PROTECT_NUM,PROTECT_GROUP_ID,EXTRACT_TIMES,MINIMUM_GUARANTEE_TIMES,BUY_ITEM_TYPE,BUY_ITEM_COUNT,ROLE_MODEL_INDEX,ITEM_ATLAS_NAME,ITEM_SPRITE_NAME,COST_ITEM_TYPE,COST_ITEM_COUNT,ITEM_DESCRIPTION,IS_HOT,IS_NEW,IS_SALE,IS_FREE,FREE_COUNT,FREE_INTERVAL,IS_DAILY_REFRESH,IS_DISCOUNT
INT,STRING,STRING,INT,STRING,STRING,INT,INT,STRING,STRING,STRING,INT,INT,INT,STRING,STRING,INT,INT,STRING,INT,INT,INT,INT,INT,INT,INT,INT
1001,灵将炼化,获得1～3星的灵将一只,1,0,0,90001,1,90001,1,0,0,0,103104,ShopSlotIconAtlas,ui_fl_1,8,100,提供[ffc579]最基本[FFFFFF]的封灵,0,0,0,1,5,600,1,1
1002,上位灵将炼化,获得2～4星的灵将一只,1,0,0,90001,1,90001,1,0,0,0,104114,ShopSlotIconAtlas,ui_fl_2,4,300,提供[ffc579]高阶[FFFFFF]封灵与碎片,0,0,0,1,1,172800,0,1
1003,十连灵将炼化,获得2～4星的灵将十只,1,0,0,90001,1,90001,10,1,0,0,204031,ShopSlotIconAtlas,ui_fl_3,4,2800,提供[ffc579]高阶[FFFFFF]封灵与碎片,1,0,0,0,0,0,0,1
2001,恢复体力,购买后可以恢复10点体力,2,0,0,90001,0,0,1,0,0,0,204031,ShopSlotIconAtlas,ui_dj_1,4,85,购买后可以恢复[ffc579]体力,0,1,0,0,0,0,0,0
2002,炼化法宝,获得随机属性的法宝,2,0,0,90001,0,0,1,0,0,0,204031,ShopSlotIconAtlas,ui_dj_3,4,300,提供形形色色的[ffc579]主角法宝,0,1,0,0,0,0,0,0
2003,十次炼化法宝,获得随机属性的法宝,2,0,0,90001,0,0,10,1,0,0,204031,ShopSlotIconAtlas,ui_dj_3,4,2800,提供形形色色的[ffc579]主角法宝,1,0,0,0,0,0,0,1
2004,炼化灵石,获得随机属性的灵石,2,0,0,90001,0,0,10,0,0,0,204031,ShopSlotIconAtlas,ui_dj_2,4,3000,提供各种强化所必须的[ffc579]灵石,0,1,0,0,0,0,0,0
3001,无双,购买后可以使用主角—无双,3,0,0,0,0,0,0,0,5,190000,190000,ShopSlotIconAtlas,ui_dj_3,4,500,购买主角—[ffc579]无双[FFFFFF]的使用权,0,1,0,0,0,0,0,0
3002,上官欢,购买后可以使用主角—上官欢,3,0,0,0,0,0,0,0,5,191000,191000,ShopSlotIconAtlas,ui_dj_3,4,500,购买主角—[ffc579]上官欢[FFFFFF]的使用权,0,1,0,0,0,0,0,0
3003,赢翾,购买后可以使用主角—赢翾,3,0,0,0,0,0,0,0,5,192000,192000,ShopSlotIconAtlas,ui_dj_3,4,500,购买主角—[ffc579]赢翾[FFFFFF]的使用权,0,1,0,0,0,0,0,0
3004,无双（御妖师）,购买后可以使用皮肤—无双（御妖师）,3,0,0,0,0,0,0,0,5,190001,190001,ShopSlotIconAtlas,ui_dj_3,4,1000,购买皮肤—[ffc579]无双（御妖师）[FFFFFF]的使用权,0,1,0,0,0,0,0,0
3005,无双（御灵师）,购买后可以使用皮肤—无双（御灵师）,3,0,0,0,0,0,0,0,5,190002,190002,ShopSlotIconAtlas,ui_dj_3,4,2000,购买皮肤—[ffc579]无双（御灵师）[FFFFFF]的使用权,0,1,0,0,0,0,0,0
3006,上官欢（御妖师）,购买后可以使用皮肤—上官欢（御妖师）,3,0,0,0,0,0,0,0,5,191001,191001,ShopSlotIconAtlas,ui_dj_3,4,1000,购买皮肤—[ffc579]上官欢（御妖师）[FFFFFF]的使用权,0,1,0,0,0,0,0,0
3007,上官欢（御灵师）,购买后可以使用皮肤—上官欢（御灵师）,3,0,0,0,0,0,0,0,5,191002,191002,ShopSlotIconAtlas,ui_dj_3,4,2000,购买皮肤—[ffc579]上官欢（御灵师）[FFFFFF]的使用权,0,1,0,0,0,0,0,0
3008,小双（御妖师）,购买后可以使用皮肤—小双（御妖师）,3,0,0,0,0,0,0,0,5,192001,192001,ShopSlotIconAtlas,ui_dj_3,4,1000,购买皮肤—[ffc579]赢翾（御妖师）[FFFFFF]的使用权,0,1,0,0,0,0,0,0
3009,小双（御灵师）,购买后可以使用皮肤—小双（御灵师）,3,0,0,0,0,0,0,0,5,192002,192002,ShopSlotIconAtlas,ui_dj_3,4,2000,购买皮肤—[ffc579]赢翾（御灵师）[FFFFFF]的使用权,0,1,0,0,0,0,0,0
4001,铜钱箱,获得10000铜钱,4,0,0,0,0,0,0,0,2,10000,103104,ShopSlotIconAtlas,ui_tq_1,4,150,[ffc579]购买游戏中必要的铜钱,1,0,0,0,0,0,0,0
4002,铜钱华箱,获得50000铜钱,4,0,0,0,0,0,0,0,2,50000,103104,ShopSlotIconAtlas,ui_tq_2,4,700,[ffc579]购买游戏中必要的铜钱,1,0,0,0,0,0,0,0
4003,铜钱池子,获得500000铜钱,4,0,0,0,0,0,0,0,2,500000,103104,ShopSlotIconAtlas,ui_tq_3,4,6000,[ffc579]购买游戏中必要的铜钱,1,0,0,0,0,0,0,0
5001,小堆元宝,购买120元宝,5,0,0,0,0,0,0,0,4,120,103104,ShopSlotIconAtlas,ui_yb_1,4,12,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
5002,大堆元宝,购买325元宝,5,0,0,0,0,0,0,0,4,325,103104,ShopSlotIconAtlas,ui_yb_2,4,30,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
5003,元宝箱,购买2000元宝,5,0,0,0,0,0,0,0,4,2000,103104,ShopSlotIconAtlas,ui_yb_3,4,180,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
5004,元宝华箱,购买3500元宝,5,0,0,0,0,0,0,0,4,3500,103104,ShopSlotIconAtlas,ui_yb_4,4,328,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
5005,成吨的元宝,购买7500元宝,5,0,0,0,0,0,0,0,4,7500,103104,ShopSlotIconAtlas,ui_yb_5,4,648,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
6001,神秘商店1,价格100,6,0,0,90001,0,0,1,0,0,0,103104,ShopSlotIconAtlas,0,17,5,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
6002,神秘商店2,价格200,6,0,0,90001,0,0,1,0,0,0,103104,ShopSlotIconAtlas,0,17,10,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
6003,神秘商店3,价格300,6,0,0,90001,0,0,1,0,0,0,103104,ShopSlotIconAtlas,0,17,15,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
6004,神秘商店4,价格400,6,0,0,90001,0,0,1,0,0,0,103104,ShopSlotIconAtlas,0,17,20,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
6005,神秘商店5,价格500,6,0,0,90001,0,0,1,0,0,0,103104,ShopSlotIconAtlas,0,17,25,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
6006,神秘商店6,价格600,6,0,0,90001,0,0,1,0,0,0,103104,ShopSlotIconAtlas,0,17,30,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
6007,神秘商店7,价格700,6,0,0,90001,0,0,2,0,0,0,103104,ShopSlotIconAtlas,0,17,500,[ffc579]购买游戏中必要的元宝,0,0,1,0,0,0,0,0
