INDEX,NAME,TIP_TITLE,INFO,TYPE,ATTACK_SKILL,SKILL_ATLAS_NAME,SKILL_SPRITE_NAME,START_MOTION,START_EFFECT,START_TIME,ATTACK_MOTION,ATTACK_EFFECT,EFFECT_SPACE,ATTACK_DISTANCE,ATTACK_TIME,HIT_MOTION,DAMAGE_EFFECT,DO_HIT_TIME,DAMAGE,ADD_DAMAGE,DAMAGE_TYPE_PARAM,DAMAGE_TIME,DAMAGE_COUNT,MULT_EFFECT,EXTRA_PARAM,DAMAGE_RANGE,CAMERA_SHAKE,BEAT_BACK,CD_TIME,ADD_CD_TIME,NEED_MP,ADD_NEED_MP,FLY_LENGTH,FLY_SPEED,OBJECT_ID,OBJECT_TIME,TARGET_CONDITION,BUFF_TARGET_TYPE,BUFF_ADDITION,BUFF_PROBABILITY_BASE,BUFF_PROBABILITY_ADD,BUFF_RANGE,ATTACK_STATE,IS_ANIME,ANIME_EFFECT,PAUSE_TIME,ITEM_TYPE,ITEM_ID,ITEM_NUM,COST_TYPE,COST_ID,COST_NUM,START_BATTLE,UPGRADE_BATTLE,ICON,DAMAGE_NUM,ADD_DAMAGE_NUM,ATTACK_TYPE,SKILL_CONDITION
INT,STRING,STRING,STRING,STRING,INT,STRING,STRING,STRING,INT,FLOAT,STRING,INT,FLOAT,FLOAT,FLOAT,STRING,INT,FLOAT,INT,STRING,INT,FLOAT,INT,INT,STRING,FLOAT,INT,FLOAT,FLOAT,FLOAT,INT,INT,FLOAT,FLOAT,INT,INT,INT,INT,INT,INT,STRING,FLOAT,INT,INT,INT,FLOAT,INT,INT,INT,INT,INT,INT,INT,INT,STRING,INT,INT,INT,STRING
100025,暴食,残吞,对前方直线敌人造成[00ff00]50%[ffffff]攻击力伤害，有[00ff00]10%[ffffff]概率使攻击者攻击力降低[00ff00]25[ffffff]点，持续[00ff00]2[ffffff]秒,FlySkill,0,SkillAtlas,skill_active_82,attack,0,0.384,0,2035,0,9,0.8,hit,0,0,5000,200,0,0,0,0,0,1.2,0,0,8,0,10000,0,25,12,0,0,0,0,0,10000,0,0,30901,1,90003,0.5,1,1003,5,2,0,1000,100,50,0,5,0,1,0
108001,火焰拍击,火焰拍击,狻猊火BOSS技能1 done,FlySkill,0,0,0,skill,9002,1.3,0,9003,0,9,0,hit,0,0,45000,1800,0,0,0,0,0,3.5,1,0,8,0,0,0,20,9,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,50,0,2,0
108002,火龙喷发,火龙喷发,狻猊火BOSS技能2 done,AOESkill,0,0,0,skill_2,9004,2,0,9005,0,9,0.9,hit,0,0,30000,1200,0,0.5,8,0,0,3.5,1,0,12,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,35,0,1,0
108003,召唤火元素,召唤火元素,狻猊火BOSS技能3 done,Summon,0,0,0,skill_3,0,1,0,0,0,90000,1,0,0,0,0,0,90003,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,0,0,2,0
108004,普攻,普攻,0,Skill,1,0,0,0,0,0,attack_2,9001,0,5,1.14,hit,0,0.5,10000,400,75,0,0,0,0,7,0,0,2,0,0,0,20,9,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,10,0,1,0
108006,集束打击,集束打击,巨擎木BOSS技能1 done,FlySkill,0,0,0,skill_1,9006,2,0,2000,0,6,0.7,hit,0,0,18000,700,0,0,0,0,0,2.8,1,0,8,0,0,0,20,40,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,20,0,2,0
108007,盾牌迎击,盾牌迎击,巨擎木BOSS技能2 done,AOESkill,0,0,0,skill,9007,2,0,9008,0,9,0.9,hit,0,0,4800,100,0,0.5,8,0,0,3.5,1,0,12,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,5,0,1,0
108008,召唤木元素,召唤木元素,巨擎木BOSS技能3 done,Summon,0,0,0,skill_3,0,1,0,0,0,90000,1,0,0,0,0,0,90002,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,0,0,2,0
108009,普攻,普攻,0,Skill,1,0,0,0,0,0,attack,9009,0,4,1.14,hit,0,0.47,10000,400,75,0,0,0,0,5,0,0,2,0,0,0,20,9,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,10,0,1,0
108011,黑洞,黑洞,石叽暗BOSS技能1,AOESkill,0,0,0,skill,9011,2,0,9012,0,9,0.5,hit,0,0,50000,2000,0,0,1,0,0,3.5,1,0,8,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,55,0,2,0
108012,黑龙卷,黑龙卷,石叽暗BOSS技能2,AOESkill,0,0,0,skill_1,9011,2,0,9013,0,9,0.5,hit,0,0,10000,400,0,0.5,8,0,0,3.5,1,0,12,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,10,0,1,0
108013,召唤暗元素,召唤暗元素,石叽暗BOSS技能3,Summon,0,0,0,skill_2,0,1,0,0,0,90000,1,0,0,0,0,0,11100,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,0,0,2,0
108014,普攻,普攻,0,FlySkill,1,0,0,attack,0,0.8,0,5097,0,8,1.84,hit,0,0,12000,400,0,0,0,0,0,2.6,0,0,2,0,0,0,20,9,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,15,0,1,0
108016,劈砍光束,劈砍光束,武圣光BOSS技能1,Skill,0,0,0,0,0,0,skill_1,9021,0,5,1.2,hit,0,1.15,20000,800,150,0,0,0,0,7,1,0,8,0,0,0,20,9,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,20,0,2,0
108017,连续光爆,连续光爆,武圣光BOSS技能2,AOESkill,0,0,0,skill_2,9022,2,0,9023,0,6,0.9,0,9023,0,2000,0,0,0.15,30,0,0,3.5,1,0,12,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,0,0,1,0
108018,召唤光元素,召唤光元素,武圣光BOSS技能3,Summon,0,0,0,skill_2,0,1,0,0,0,90000,1,0,0,0,10000,400,11100,0,2,0,0,3,0,0,25,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,10,0,2,0
108019,普攻,普攻,0,Skill,1,0,0,0,0,0,attack,9024,0,4,1.74,hit,0,0.97,10000,400,90,0,0,0,0,9,0,0,2,0,0,0,20,9,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,10,0,1,0
108021,暴风雪,暴风雪,寒冰妖王水BOSS技能1,AOESkill,0,0,0,skill,9015,2,0,9016,0,6,0.9,hit,0,0,5000,200,0,0.5,8,0,0,3.5,1,0,8,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,5,0,2,0
108022,寒冰光束,寒冰光束,寒冰妖王水BOSS技能2,ThreeBulletSkill,0,0,0,skill_2,9020,2,0,9017,0,10,0.9,hit,9018,0,20000,800,40,0,9,0,0,1.5,1,0,12,0,0,0,17,10,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,20,0,1,0
108023,召唤冰元素,召唤冰元素,寒冰妖王水BOSS技能3,Summon,0,0,0,skill_1,0,1,0,0,0,90000,1,0,0,0,0,0,90001,0,2,0,0,3,0,0,25,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,0,0,2,0
108024,普攻,普攻,0,Skill,1,0,0,0,0,0,attack,9019,0,4,1.34,hit,0,0.53,10000,400,75,0,0,0,0,6,0,0,2,0,0,0,20,9,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,10,0,1,0
108025,水,水,0,Skill,1,0,0,0,0,0,attack_2,0,0,5,1.14,hit,0,0.5,10000,400,75,0,0,0,0,7,0,0,2,0,0,0,20,9,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,10,0,2,0
108026,阴,阴,0,Skill,1,0,0,0,0,0,attack,0,0,4,1.14,hit,0,0.47,10000,400,75,0,0,0,0,5,0,0,2,0,0,0,20,9,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,10,0,1,0
108027,火,火,0,FlySkill,1,0,0,attack,0,1,0,2034,0,8,1.84,hit,0,0,12000,400,0,0,0,0,0,2.6,0,0,2,0,0,0,20,9,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,15,0,2,0
108028,木,木,0,Skill,1,0,0,0,0,0,attack,0,0,4,1.74,hit,0,0.97,10000,400,90,0,0,0,0,9,0,0,2,0,0,0,20,9,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,10,0,1,0
108029,阳,阳,0,Skill,1,0,0,0,0,0,attack,0,0,4,1.34,hit,0,0.53,10000,400,75,0,0,0,0,6,0,0,2,0,0,0,20,9,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,10,0,2,0
108030,第一章BOSS焚天技能,火龙喷发,狻猊火BOSS技能2 done,AOESkill,0,0,0,skill,5257,1.5,0,5170,0,9,0.9,hit,0,0,28000,1000,0,1,1,0,0,3.5,1,0,12,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,30,0,1,0
