INDEX,NEED_LEVEL,MONEY_COST,SKILL_BOOK_COST,TOTAL_MONEY_COST,TOTAL_SKILL_BOOK_COST
INT,INT,INT,INT,INT,INT
1,1,100,1,0,0
2,2,200,1,100,1
3,3,300,2,300,2
4,4,400,2,600,4
5,5,500,2,1000,6
6,6,600,2,1500,8
7,7,700,2,2100,10
8,8,800,3,2800,12
9,9,900,3,3600,15
10,10,1000,3,4500,18
11,11,1100,3,5500,21
12,12,1200,3,6600,24
13,13,1300,4,7800,27
14,14,1400,4,9100,31
15,15,1500,4,10500,35
16,16,1600,4,12000,39
17,17,1700,4,13600,43
18,18,1800,5,15300,47
19,19,1900,5,17100,52
20,20,2000,5,19000,57
21,21,2100,5,21000,62
22,22,2200,5,23100,67
23,23,2300,6,25300,72
24,24,2400,6,27600,78
25,25,2500,6,30000,84
26,26,2600,6,32500,90
27,27,2700,6,35100,96
28,28,2800,7,37800,102
29,29,2900,7,40600,109
30,30,3000,7,43500,116
31,31,3100,7,46500,123
32,32,3200,7,49600,130
33,33,3300,8,52800,137
34,34,3400,8,56100,145
35,35,3500,8,59500,153
36,36,3600,19,63000,161
37,37,3700,20,66600,180
38,38,3800,20,70300,200
39,39,3900,21,74100,220
40,40,4000,21,78000,241
41,41,4100,22,82000,262
42,42,4200,22,86100,284
43,43,4300,23,90300,306
44,44,4400,23,94600,329
45,45,4500,24,99000,352
46,46,4600,24,103500,376
47,47,4700,25,108100,400
48,48,4800,25,112800,425
49,49,4900,26,117600,450
50,50,5000,26,122500,476
51,51,5100,27,127500,502
52,52,5200,27,132600,529
53,53,5300,28,137800,556
54,54,5400,28,143100,584
55,55,5500,29,148500,612
56,56,5600,57,154000,641
57,57,5700,58,159600,698
58,58,5800,59,165300,756
59,59,5900,60,171100,815
60,60,6000,61,177000,875
61,61,6100,62,183000,936
62,62,6200,63,189100,998
63,63,6300,64,195300,1061
64,64,6400,65,201600,1125
65,65,6500,66,208000,1190
66,66,6600,67,214500,1256
67,67,6700,68,221100,1323
68,68,6800,69,227800,1391
69,69,6900,70,234600,1460
70,70,7000,71,241500,1530
71,71,7100,72,248500,1601
72,72,7200,73,255600,1673
73,73,7300,74,262800,1746
74,74,7400,75,270100,1820
75,75,7500,76,277500,1895
76,76,7600,77,285000,1971
77,77,7700,78,292600,2048
78,78,7800,79,300300,2126
79,79,7900,80,308100,2205
80,80,8000,81,316000,2285
81,81,8100,82,324000,2366
82,82,8200,83,332100,2448
83,83,8300,84,340300,2531
84,84,8400,85,348600,2615
85,85,8500,86,357000,2700
86,86,8600,87,365500,2786
87,87,8700,88,374100,2873
88,88,8800,89,382800,2961
89,89,8900,90,391600,3050
90,90,9000,109,400500,3140
91,91,9100,110,409500,3249
92,92,9200,111,418600,3359
93,93,9300,113,427800,3470
94,94,9400,114,437100,3583
95,95,9500,115,446500,3697
96,96,9600,116,456000,3812
97,97,9700,117,465600,3928
98,98,9800,119,475300,4045
99,99,9900,120,485100,4164
100,100,10000,121,495000,4284
101,101,10100,122,505000,4405
102,102,10200,123,515100,4527
103,103,10300,125,525300,4650
104,104,10400,126,535600,4775
105,105,10500,127,546000,4901
106,106,10600,128,556500,5028
107,107,10700,129,567100,5156
108,108,10800,131,577800,5285
109,109,10900,132,588600,5416
110,110,11000,133,599500,5548
111,111,11100,134,610500,5681
112,112,11200,135,621600,5815
113,113,11300,137,632800,5950
114,114,11400,138,644100,6087
115,115,11500,139,655500,6225
116,116,11600,140,667000,6364
117,117,11700,141,678600,6504
118,118,11800,143,690300,6645
119,119,11900,144,702100,6788
120,120,12000,145,714000,6932
