INT,INT,INT,INT,INT
INDEX,BONUSDROP_1,BONUSDROP_2,BONUSDROP_3,STAGELOCK
10001,2000202,0,0,20005
10002,2000202,0,0,20010
10003,2000202,0,0,20015
10004,2000202,0,0,20020
10005,2000202,0,0,20025
10006,2000202,0,0,20030
10007,2000202,0,0,20035
10008,2000202,0,0,20040
10009,2000202,0,0,20045
10010,2000202,0,0,20050
10011,2000202,0,0,20055
10012,2000202,0,0,20060
10013,2000202,0,0,20065
10014,2000202,0,0,20070
10015,2000202,0,0,20075
10016,2000202,0,0,20080
10017,2000202,0,0,20085
10018,2000202,0,0,20090
10019,2000202,0,0,20095
10020,2000202,0,0,20100
10021,2000202,0,0,20105
10022,2000202,0,0,20110
10023,2000202,0,0,20115
10024,2000202,0,0,20120
10025,2000202,0,0,20125
10026,2000202,0,0,20130
10027,2000202,0,0,20135
10028,2000202,0,0,20140
10029,2000202,0,0,20145
10030,2000202,0,0,20150
10031,2000202,0,0,20155
10032,2000202,0,0,20160
10033,2000202,0,0,20165
10034,2000202,0,0,20170
10035,2000202,0,0,20175
10036,2000202,0,0,20180
10037,2000202,0,0,20185
10038,2000202,0,0,20190
10039,2000202,0,0,20195
10040,2000202,0,0,20200
10041,2000202,0,0,20205
10042,2000202,0,0,20210
10043,2000202,0,0,20215
10044,2000202,0,0,20220
10045,2000202,0,0,20225
10046,2000202,0,0,20230
10047,2000202,0,0,20235
10048,2000202,0,0,20240
10049,2000202,0,0,20245
10050,2000202,0,0,20250
11001,2000202,2000202,0,21005
11002,2000202,2000202,0,21010
11003,2000202,2000202,0,21015
11004,2000202,2000202,0,21020
11005,2000202,2000202,0,21025
11006,2000202,2000202,0,21030
11007,2000202,2000202,0,21035
11008,2000202,2000202,0,21040
11009,2000202,2000202,0,21045
11010,2000202,2000202,0,21050
11011,2000202,2000202,0,21055
11012,2000202,2000202,0,21060
11013,2000202,2000202,0,21065
11014,2000202,2000202,0,21070
11015,2000202,2000202,0,21075
11016,2000202,2000202,0,21080
11017,2000202,2000202,0,21085
11018,2000202,2000202,0,21090
11019,2000202,2000202,0,21095
11020,2000202,2000202,0,21100
11021,2000202,2000202,0,21105
11022,2000202,2000202,0,21110
11023,2000202,2000202,0,21115
11024,2000202,2000202,0,21120
11025,2000202,2000202,0,21125
11026,2000202,2000202,0,21130
11027,2000202,2000202,0,21135
11028,2000202,2000202,0,21140
11029,2000202,2000202,0,21145
11030,2000202,2000202,0,21150
11031,2000202,2000202,0,21155
11032,2000202,2000202,0,21160
11033,2000202,2000202,0,21165
11034,2000202,2000202,0,21170
11035,2000202,2000202,0,21175
11036,2000202,2000202,0,21180
11037,2000202,2000202,0,21185
11038,2000202,2000202,0,21190
11039,2000202,2000202,0,21195
11040,2000202,2000202,0,21200
11041,2000202,2000202,0,21205
11042,2000202,2000202,0,21210
11043,2000202,2000202,0,21215
11044,2000202,2000202,0,21220
11045,2000202,2000202,0,21225
11046,2000202,2000202,0,21230
11047,2000202,2000202,0,21235
11048,2000202,2000202,0,21240
11049,2000202,2000202,0,21245
11050,2000202,2000202,0,21250
12001,2000202,2000202,2000202,22005
12002,2000202,2000202,2000202,22010
12003,2000202,2000202,2000202,22015
12004,2000202,2000202,2000202,22020
12005,2000202,2000202,2000202,22025
12006,2000202,2000202,2000202,22030
12007,2000202,2000202,2000202,22035
12008,2000202,2000202,2000202,22040
12009,2000202,2000202,2000202,22045
12010,2000202,2000202,2000202,22050
12011,2000202,2000202,2000202,22055
12012,2000202,2000202,2000202,22060
12013,2000202,2000202,2000202,22065
12014,2000202,2000202,2000202,22070
12015,2000202,2000202,2000202,22075
12016,2000202,2000202,2000202,22080
12017,2000202,2000202,2000202,22085
12018,2000202,2000202,2000202,22090
12019,2000202,2000202,2000202,22095
12020,2000202,2000202,2000202,22100
12021,2000202,2000202,2000202,22105
12022,2000202,2000202,2000202,22110
12023,2000202,2000202,2000202,22115
12024,2000202,2000202,2000202,22120
12025,2000202,2000202,2000202,22125
12026,2000202,2000202,2000202,22130
12027,2000202,2000202,2000202,22135
12028,2000202,2000202,2000202,22140
12029,2000202,2000202,2000202,22145
12030,2000202,2000202,2000202,22150
12031,2000202,2000202,2000202,22155
12032,2000202,2000202,2000202,22160
12033,2000202,2000202,2000202,22165
12034,2000202,2000202,2000202,22170
12035,2000202,2000202,2000202,22175
12036,2000202,2000202,2000202,22180
12037,2000202,2000202,2000202,22185
12038,2000202,2000202,2000202,22190
12039,2000202,2000202,2000202,22195
12040,2000202,2000202,2000202,22200
12041,2000202,2000202,2000202,22205
12042,2000202,2000202,2000202,22210
12043,2000202,2000202,2000202,22215
12044,2000202,2000202,2000202,22220
12045,2000202,2000202,2000202,22225
12046,2000202,2000202,2000202,22230
12047,2000202,2000202,2000202,22235
12048,2000202,2000202,2000202,22240
12049,2000202,2000202,2000202,22245
12050,2000202,2000202,2000202,22250
