ID,TYPE,NAME
INT,INT,STRING
1001,1,普通关卡第1章
1002,1,普通关卡第2章
1003,1,普通关卡第3章
1004,1,普通关卡第4章
1005,1,普通关卡第5章
1006,1,普通关卡第6章
1007,1,普通关卡第7章
1008,1,普通关卡第8章
1009,1,普通关卡第9章
1010,1,普通关卡第10章
1011,1,普通关卡第11章
1012,1,普通关卡第12章
1013,1,普通关卡第13章
1014,1,普通关卡第14章
1015,1,普通关卡第15章
1016,1,普通关卡第16章
1017,1,普通关卡第17章
1018,1,普通关卡第18章
1019,1,普通关卡第19章
1020,1,普通关卡第20章
1021,1,普通关卡第21章
1022,1,普通关卡第22章
1023,1,普通关卡第23章
1024,1,普通关卡第24章
1025,1,普通关卡第25章
1026,1,普通关卡第26章
1027,1,普通关卡第27章
1028,1,普通关卡第28章
1029,1,普通关卡第29章
1030,1,普通关卡第30章
1031,1,普通关卡第31章
1032,1,普通关卡第32章
1033,1,普通关卡第33章
1034,1,普通关卡第34章
1035,1,普通关卡第35章
1036,1,普通关卡第36章
1037,1,普通关卡第37章
1038,1,普通关卡第38章
1039,1,普通关卡第39章
1040,1,普通关卡第40章
1041,1,普通关卡第41章
1042,1,普通关卡第42章
1043,1,普通关卡第43章
1044,1,普通关卡第44章
1045,1,普通关卡第45章
1046,1,普通关卡第46章
1047,1,普通关卡第47章
1048,1,普通关卡第48章
1049,1,普通关卡第49章
1050,1,普通关卡第50章
2001,2,困难关卡第1章
2002,2,困难关卡第2章
2003,2,困难关卡第3章
2004,2,困难关卡第4章
2005,2,困难关卡第5章
2006,2,困难关卡第6章
2007,2,困难关卡第7章
2008,2,困难关卡第8章
2009,2,困难关卡第9章
2010,2,困难关卡第10章
2011,2,困难关卡第11章
2012,2,困难关卡第12章
2013,2,困难关卡第13章
2014,2,困难关卡第14章
2015,2,困难关卡第15章
2016,2,困难关卡第16章
2017,2,困难关卡第17章
2018,2,困难关卡第18章
2019,2,困难关卡第19章
2020,2,困难关卡第20章
2021,2,困难关卡第21章
2022,2,困难关卡第22章
2023,2,困难关卡第23章
2024,2,困难关卡第24章
2025,2,困难关卡第25章
2026,2,困难关卡第26章
2027,2,困难关卡第27章
2028,2,困难关卡第28章
2029,2,困难关卡第29章
2030,2,困难关卡第30章
2031,2,困难关卡第31章
2032,2,困难关卡第32章
2033,2,困难关卡第33章
2034,2,困难关卡第34章
2035,2,困难关卡第35章
2036,2,困难关卡第36章
2037,2,困难关卡第37章
2038,2,困难关卡第38章
2039,2,困难关卡第39章
2040,2,困难关卡第40章
2041,2,困难关卡第41章
2042,2,困难关卡第42章
2043,2,困难关卡第43章
2044,2,困难关卡第44章
2045,2,困难关卡第45章
2046,2,困难关卡第46章
2047,2,困难关卡第47章
2048,2,困难关卡第48章
2049,2,困难关卡第49章
2050,2,困难关卡第50章
3001,3,大师关卡第1章
3002,3,大师关卡第2章
3003,3,大师关卡第3章
3004,3,大师关卡第4章
3005,3,大师关卡第5章
3006,3,大师关卡第6章
3007,3,大师关卡第7章
3008,3,大师关卡第8章
3009,3,大师关卡第9章
3010,3,大师关卡第10章
3011,3,大师关卡第11章
3012,3,大师关卡第12章
3013,3,大师关卡第13章
3014,3,大师关卡第14章
3015,3,大师关卡第15章
3016,3,大师关卡第16章
3017,3,大师关卡第17章
3018,3,大师关卡第18章
3019,3,大师关卡第19章
3020,3,大师关卡第20章
3021,3,大师关卡第21章
3022,3,大师关卡第22章
3023,3,大师关卡第23章
3024,3,大师关卡第24章
3025,3,大师关卡第25章
3026,3,大师关卡第26章
3027,3,大师关卡第27章
3028,3,大师关卡第28章
3029,3,大师关卡第29章
3030,3,大师关卡第30章
3031,3,大师关卡第31章
3032,3,大师关卡第32章
3033,3,大师关卡第33章
3034,3,大师关卡第34章
3035,3,大师关卡第35章
3036,3,大师关卡第36章
3037,3,大师关卡第37章
3038,3,大师关卡第38章
3039,3,大师关卡第39章
3040,3,大师关卡第40章
3041,3,大师关卡第41章
3042,3,大师关卡第42章
3043,3,大师关卡第43章
3044,3,大师关卡第44章
3045,3,大师关卡第45章
3046,3,大师关卡第46章
3047,3,大师关卡第47章
3048,3,大师关卡第48章
3049,3,大师关卡第49章
3050,3,大师关卡第50章
