INDEX,GROUP_ID,INFO,ITEM_ID,ITEM_COUNT,ITEM_DROP_WEIGHT,LOOT_TIME,QUALITY
INT,INT,STRING,INT,INT,INT,INT,INT
1,91201,黄金经验宝物,15203,4,100,1,1
2,91202,黄金经验宝物,15203,8,100,1,1
3,91203,黄金经验宝物,15203,12,100,1,1
4,91204,黄金经验宝物,15203,16,100,1,1
5,91001,金龙宝宝,30305,4,100,1,1
6,91002,金龙宝宝,30305,8,100,1,1
7,91003,金龙宝宝,30305,12,100,1,1
8,91004,金龙宝宝,30305,16,100,1,1
9,91301,极品精炼仙露,2000007,30,100,1,1
10,91302,极品精炼仙露,2000007,60,100,1,1
11,91303,极品精炼仙露,2000007,90,100,1,1
12,91304,极品精炼仙露,2000007,120,100,1,1
13,91401,宝物精炼石,2000003,200,100,1,1
14,91402,宝物精炼石,2000003,400,100,1,1
15,91403,宝物精炼石,2000003,600,100,1,1
16,91404,宝物精炼石,2000003,800,100,1,1
17,91101,突破石,2000002,200,100,1,1
18,91102,突破石,2000002,400,100,1,1
19,91103,突破石,2000002,600,100,1,1
20,91104,突破石,2000002,800,100,1,1
21,99301,名将副本第1章第1关,1000004,6,100,1,1
22,99301,名将副本第1章第1关,1000004,7,75,1,1
23,99301,名将副本第1章第1关,1000004,8,50,1,1
24,99301,名将副本第1章第1关,1000004,9,25,1,1
25,99302,名将副本第1章第2关,1000004,7,100,1,1
26,99302,名将副本第1章第2关,1000004,8,75,1,1
27,99302,名将副本第1章第2关,1000004,9,50,1,1
28,99302,名将副本第1章第2关,1000004,11,25,1,1
29,99303,名将副本第1章第3关,1000004,8,100,1,1
30,99303,名将副本第1章第3关,1000004,9,75,1,1
31,99303,名将副本第1章第3关,1000004,10,50,1,1
32,99303,名将副本第1章第3关,1000004,12,25,1,1
33,99304,名将副本第1章第4关,1000004,9,100,1,1
34,99304,名将副本第1章第4关,1000004,10,75,1,1
35,99304,名将副本第1章第4关,1000004,12,50,1,1
36,99304,名将副本第1章第4关,1000004,14,25,1,1
37,99305,名将副本第1章第5关,1000004,10,100,1,1
38,99305,名将副本第1章第5关,1000004,11,75,1,1
39,99305,名将副本第1章第5关,1000004,13,50,1,1
40,99305,名将副本第1章第5关,1000004,15,25,1,1
41,99306,名将副本第2章第1关,1000004,6,100,1,1
42,99306,名将副本第2章第1关,1000004,7,75,1,1
43,99306,名将副本第2章第1关,1000004,8,50,1,1
44,99306,名将副本第2章第1关,1000004,9,25,1,1
45,99307,名将副本第2章第2关,1000004,7,100,1,1
46,99307,名将副本第2章第2关,1000004,8,75,1,1
47,99307,名将副本第2章第2关,1000004,9,50,1,1
48,99307,名将副本第2章第2关,1000004,11,25,1,1
49,99308,名将副本第2章第3关,1000004,8,100,1,1
50,99308,名将副本第2章第3关,1000004,9,75,1,1
51,99308,名将副本第2章第3关,1000004,10,50,1,1
52,99308,名将副本第2章第3关,1000004,12,25,1,1
53,99309,名将副本第2章第4关,1000004,9,100,1,1
54,99309,名将副本第2章第4关,1000004,10,75,1,1
55,99309,名将副本第2章第4关,1000004,12,50,1,1
56,99309,名将副本第2章第4关,1000004,14,25,1,1
57,99310,名将副本第2章第5关,1000004,10,100,1,1
58,99310,名将副本第2章第5关,1000004,11,75,1,1
59,99310,名将副本第2章第5关,1000004,13,50,1,1
60,99310,名将副本第2章第5关,1000004,15,25,1,1
61,99311,名将副本第3章第1关,1000004,11,100,1,1
62,99311,名将副本第3章第1关,1000004,12,75,1,1
63,99311,名将副本第3章第1关,1000004,14,50,1,1
64,99311,名将副本第3章第1关,1000004,17,25,1,1
65,99312,名将副本第3章第2关,1000004,12,100,1,1
66,99312,名将副本第3章第2关,1000004,13,75,1,1
67,99312,名将副本第3章第2关,1000004,16,50,1,1
68,99312,名将副本第3章第2关,1000004,18,25,1,1
69,99313,名将副本第3章第3关,1000004,13,100,1,1
70,99313,名将副本第3章第3关,1000004,14,75,1,1
71,99313,名将副本第3章第3关,1000004,17,50,1,1
72,99313,名将副本第3章第3关,1000004,20,25,1,1
73,99314,名将副本第3章第4关,1000004,14,100,1,1
74,99314,名将副本第3章第4关,1000004,15,75,1,1
75,99314,名将副本第3章第4关,1000004,18,50,1,1
76,99314,名将副本第3章第4关,1000004,21,25,1,1
77,99315,名将副本第3章第5关,1000004,15,100,1,1
78,99315,名将副本第3章第5关,1000004,17,75,1,1
79,99315,名将副本第3章第5关,1000004,20,50,1,1
80,99315,名将副本第3章第5关,1000004,23,25,1,1
81,99316,名将副本第4章第1关,1000004,11,100,1,1
82,99316,名将副本第4章第1关,1000004,12,75,1,1
83,99316,名将副本第4章第1关,1000004,14,50,1,1
84,99316,名将副本第4章第1关,1000004,17,25,1,1
85,99317,名将副本第4章第2关,1000004,12,100,1,1
86,99317,名将副本第4章第2关,1000004,13,75,1,1
87,99317,名将副本第4章第2关,1000004,16,50,1,1
88,99317,名将副本第4章第2关,1000004,18,25,1,1
89,99318,名将副本第4章第3关,1000004,13,100,1,1
90,99318,名将副本第4章第3关,1000004,14,75,1,1
91,99318,名将副本第4章第3关,1000004,17,50,1,1
92,99318,名将副本第4章第3关,1000004,20,25,1,1
93,99319,名将副本第4章第4关,1000004,14,100,1,1
94,99319,名将副本第4章第4关,1000004,15,75,1,1
95,99319,名将副本第4章第4关,1000004,18,50,1,1
96,99319,名将副本第4章第4关,1000004,21,25,1,1
97,99320,名将副本第4章第5关,1000004,15,100,1,1
98,99320,名将副本第4章第5关,1000004,17,75,1,1
99,99320,名将副本第4章第5关,1000004,20,50,1,1
100,99320,名将副本第4章第5关,1000004,23,25,1,1
101,99321,名将副本第5章第1关,1000004,16,100,1,1
102,99321,名将副本第5章第1关,1000004,18,75,1,1
103,99321,名将副本第5章第1关,1000004,21,50,1,1
104,99321,名将副本第5章第1关,1000004,24,25,1,1
105,99322,名将副本第5章第2关,1000004,17,100,1,1
106,99322,名将副本第5章第2关,1000004,19,75,1,1
107,99322,名将副本第5章第2关,1000004,22,50,1,1
108,99322,名将副本第5章第2关,1000004,26,25,1,1
109,99323,名将副本第5章第3关,1000004,18,100,1,1
110,99323,名将副本第5章第3关,1000004,20,75,1,1
111,99323,名将副本第5章第3关,1000004,23,50,1,1
112,99323,名将副本第5章第3关,1000004,27,25,1,1
113,99324,名将副本第5章第4关,1000004,19,100,1,1
114,99324,名将副本第5章第4关,1000004,21,75,1,1
115,99324,名将副本第5章第4关,1000004,25,50,1,1
116,99324,名将副本第5章第4关,1000004,29,25,1,1
117,99325,名将副本第5章第5关,1000004,20,100,1,1
118,99325,名将副本第5章第5关,1000004,22,75,1,1
119,99325,名将副本第5章第5关,1000004,26,50,1,1
120,99325,名将副本第5章第5关,1000004,30,25,1,1
121,99326,名将副本第6章第1关,1000004,16,100,1,1
122,99326,名将副本第6章第1关,1000004,18,75,1,1
123,99326,名将副本第6章第1关,1000004,21,50,1,1
124,99326,名将副本第6章第1关,1000004,24,25,1,1
125,99327,名将副本第6章第2关,1000004,18,100,1,1
126,99327,名将副本第6章第2关,1000004,20,75,1,1
127,99327,名将副本第6章第2关,1000004,23,50,1,1
128,99327,名将副本第6章第2关,1000004,27,25,1,1
129,99328,名将副本第6章第3关,1000004,20,100,1,1
130,99328,名将副本第6章第3关,1000004,22,75,1,1
131,99328,名将副本第6章第3关,1000004,26,50,1,1
132,99328,名将副本第6章第3关,1000004,30,25,1,1
133,99329,名将副本第6章第4关,1000004,22,100,1,1
134,99329,名将副本第6章第4关,1000004,24,75,1,1
135,99329,名将副本第6章第4关,1000004,29,50,1,1
136,99329,名将副本第6章第4关,1000004,33,25,1,1
137,99330,名将副本第6章第5关,1000004,24,100,1,1
138,99330,名将副本第6章第5关,1000004,26,75,1,1
139,99330,名将副本第6章第5关,1000004,31,50,1,1
140,99330,名将副本第6章第5关,1000004,36,25,1,1
141,99331,名将副本第7章第1关,1000004,21,100,1,1
142,99331,名将副本第7章第1关,1000004,23,75,1,1
143,99331,名将副本第7章第1关,1000004,27,50,1,1
144,99331,名将副本第7章第1关,1000004,32,25,1,1
145,99332,名将副本第7章第2关,1000004,23,100,1,1
146,99332,名将副本第7章第2关,1000004,25,75,1,1
147,99332,名将副本第7章第2关,1000004,30,50,1,1
148,99332,名将副本第7章第2关,1000004,35,25,1,1
149,99333,名将副本第7章第3关,1000004,25,100,1,1
150,99333,名将副本第7章第3关,1000004,28,75,1,1
151,99333,名将副本第7章第3关,1000004,33,50,1,1
152,99333,名将副本第7章第3关,1000004,38,25,1,1
153,99334,名将副本第7章第4关,1000004,27,100,1,1
154,99334,名将副本第7章第4关,1000004,30,75,1,1
155,99334,名将副本第7章第4关,1000004,35,50,1,1
156,99334,名将副本第7章第4关,1000004,41,25,1,1
157,99335,名将副本第7章第5关,1000004,29,100,1,1
158,99335,名将副本第7章第5关,1000004,32,75,1,1
159,99335,名将副本第7章第5关,1000004,38,50,1,1
160,99335,名将副本第7章第5关,1000004,44,25,1,1
161,99336,名将副本第8章第1关,1000004,21,100,1,1
162,99336,名将副本第8章第1关,1000004,23,75,1,1
163,99336,名将副本第8章第1关,1000004,27,50,1,1
164,99336,名将副本第8章第1关,1000004,32,25,1,1
165,99337,名将副本第8章第2关,1000004,23,100,1,1
166,99337,名将副本第8章第2关,1000004,25,75,1,1
167,99337,名将副本第8章第2关,1000004,30,50,1,1
168,99337,名将副本第8章第2关,1000004,35,25,1,1
169,99338,名将副本第8章第3关,1000004,25,100,1,1
170,99338,名将副本第8章第3关,1000004,28,75,1,1
171,99338,名将副本第8章第3关,1000004,33,50,1,1
172,99338,名将副本第8章第3关,1000004,38,25,1,1
173,99339,名将副本第8章第4关,1000004,27,100,1,1
174,99339,名将副本第8章第4关,1000004,30,75,1,1
175,99339,名将副本第8章第4关,1000004,35,50,1,1
176,99339,名将副本第8章第4关,1000004,41,25,1,1
177,99340,名将副本第8章第5关,1000004,29,100,1,1
178,99340,名将副本第8章第5关,1000004,32,75,1,1
179,99340,名将副本第8章第5关,1000004,38,50,1,1
180,99340,名将副本第8章第5关,1000004,44,25,1,1
181,99341,名将副本第9章第1关,1000004,26,100,1,1
182,99341,名将副本第9章第1关,1000004,29,75,1,1
183,99341,名将副本第9章第1关,1000004,34,50,1,1
184,99341,名将副本第9章第1关,1000004,39,25,1,1
185,99342,名将副本第9章第2关,1000004,28,100,1,1
186,99342,名将副本第9章第2关,1000004,31,75,1,1
187,99342,名将副本第9章第2关,1000004,36,50,1,1
188,99342,名将副本第9章第2关,1000004,42,25,1,1
189,99343,名将副本第9章第3关,1000004,30,100,1,1
190,99343,名将副本第9章第3关,1000004,33,75,1,1
191,99343,名将副本第9章第3关,1000004,39,50,1,1
192,99343,名将副本第9章第3关,1000004,45,25,1,1
193,99344,名将副本第9章第4关,1000004,32,100,1,1
194,99344,名将副本第9章第4关,1000004,35,75,1,1
195,99344,名将副本第9章第4关,1000004,42,50,1,1
196,99344,名将副本第9章第4关,1000004,48,25,1,1
197,99345,名将副本第9章第5关,1000004,34,100,1,1
198,99345,名将副本第9章第5关,1000004,37,75,1,1
199,99345,名将副本第9章第5关,1000004,44,50,1,1
200,99345,名将副本第9章第5关,1000004,51,25,1,1
201,99346,名将副本第10章第1关,1000004,26,100,1,1
202,99346,名将副本第10章第1关,1000004,29,75,1,1
203,99346,名将副本第10章第1关,1000004,34,50,1,1
204,99346,名将副本第10章第1关,1000004,39,25,1,1
205,99347,名将副本第10章第2关,1000004,28,100,1,1
206,99347,名将副本第10章第2关,1000004,31,75,1,1
207,99347,名将副本第10章第2关,1000004,36,50,1,1
208,99347,名将副本第10章第2关,1000004,42,25,1,1
209,99348,名将副本第10章第3关,1000004,30,100,1,1
210,99348,名将副本第10章第3关,1000004,33,75,1,1
211,99348,名将副本第10章第3关,1000004,39,50,1,1
212,99348,名将副本第10章第3关,1000004,45,25,1,1
213,99349,名将副本第10章第4关,1000004,32,100,1,1
214,99349,名将副本第10章第4关,1000004,35,75,1,1
215,99349,名将副本第10章第4关,1000004,42,50,1,1
216,99349,名将副本第10章第4关,1000004,48,25,1,1
217,99350,名将副本第10章第5关,1000004,34,100,1,1
218,99350,名将副本第10章第5关,1000004,37,75,1,1
219,99350,名将副本第10章第5关,1000004,44,50,1,1
220,99350,名将副本第10章第5关,1000004,51,25,1,1
221,99351,名将副本第11章第1关,1000004,31,100,1,1
222,99351,名将副本第11章第1关,1000004,34,75,1,1
223,99351,名将副本第11章第1关,1000004,40,50,1,1
224,99351,名将副本第11章第1关,1000004,47,25,1,1
225,99352,名将副本第11章第2关,1000004,34,100,1,1
226,99352,名将副本第11章第2关,1000004,37,75,1,1
227,99352,名将副本第11章第2关,1000004,44,50,1,1
228,99352,名将副本第11章第2关,1000004,51,25,1,1
229,99353,名将副本第11章第3关,1000004,37,100,1,1
230,99353,名将副本第11章第3关,1000004,41,75,1,1
231,99353,名将副本第11章第3关,1000004,48,50,1,1
232,99353,名将副本第11章第3关,1000004,56,25,1,1
233,99354,名将副本第11章第4关,1000004,40,100,1,1
234,99354,名将副本第11章第4关,1000004,44,75,1,1
235,99354,名将副本第11章第4关,1000004,52,50,1,1
236,99354,名将副本第11章第4关,1000004,60,25,1,1
237,99355,名将副本第11章第5关,1000004,43,100,1,1
238,99355,名将副本第11章第5关,1000004,47,75,1,1
239,99355,名将副本第11章第5关,1000004,56,50,1,1
240,99355,名将副本第11章第5关,1000004,65,25,1,1
241,99356,名将副本第12章第1关,1000004,31,100,1,1
242,99356,名将副本第12章第1关,1000004,34,75,1,1
243,99356,名将副本第12章第1关,1000004,40,50,1,1
244,99356,名将副本第12章第1关,1000004,47,25,1,1
245,99357,名将副本第12章第2关,1000004,34,100,1,1
246,99357,名将副本第12章第2关,1000004,37,75,1,1
