INT,INT,INT,STRING,STRING,INT,INT,INT,INT,INT,INT,INT,INT
INDEX,TEAM_TYPE,ELEMENT_ID,TEAM_NAME,DESCRIPTION,TEAM_PET_0,TEAM_PET_1,TEAM_PET_2,TEAM_BUFF_1,TEAM_BUFF_2,TEAM_BUFF_3,TEAM_STAGE,STAGE_BUFF
0,阵法类型,对应属性的ID,对应队伍的名称,描述,队伍限定的宠物1,队伍限定的宠物2,队伍限定的宠物3,对应的附加buff,对应的附加buff,对应的附加buff,可以获得额外BUFF的关卡,对应关卡可以获得的BUFF
1,1,0,灼焰之阵,灼焰之阵\n三翻四复,,,,70001,70001,,10000,70001
2,1,1,涌泉之阵,涌泉之阵,,,,70002,70002,,10001,70002
3,1,2,幽木之阵,幽木之阵,,,,70003,70003,,10002,70003
4,1,3,烈阳之阵,烈阳之阵,,,,70004,70004,,10003,70004
5,1,4,玄阴之阵,玄阴之阵,,,,70005,70005,,10004,70005
6,2,,欢欢之阵1,欢欢之阵1,101001,101002,101003,70001,70001,70001,,
7,2,,欢欢之阵2,欢欢之阵2,101031,101032,101033,70002,70002,70002,,
8,2,,欢欢之阵3,欢欢之阵3,104121,104122,104123,70003,70003,70003,,
9,2,,欢欢之阵4,欢欢之阵4,104194,104195,104201,70004,70004,70004,,
10,2,,欢欢之阵5,欢欢之阵5,204003,204011,204022,70005,70005,70005,,
11,2,,欢欢之阵6,欢欢之阵6,205001,205011,205021,70001,70001,70001,,
12,2,,欢欢之阵7,欢欢之阵7,205111,205121,205131,70002,70002,70002,,
13,2,,欢欢之阵8,欢欢之阵8,205111,205121,205131,70003,70003,70003,,
14,2,,欢欢之阵9,欢欢之阵9,205131,205141,205151,70004,70004,70004,,
15,2,,欢欢之阵10,欢欢之阵10,205161,205171,205181,70005,70005,70005,,
