ID,ACTIVE_ID,NAME,LEVEL,ATTACK,PHYSICAL_DEFENCE,MAGIC_DEFENCE,HP,MP,HIT,DODGE,CRITICAL_STRIKE,CRITICAL_DERATE,ATTACK_DAMAGE,MITIGATIONG,SKILL_LEVEL1,SKILL_LEVEL2,SKILL_LEVEL3,SKILL_LEVEL4
INT,INT,STRING,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
1001,50001,无双,50,87,62,44,2305,300,10000,500,1000,500,1000,500,1,1,1,1
1002,50002,无双,50,87,62,44,2305,300,10000,500,1000,500,1000,500,1,1,1,1
1003,50003,无双,50,87,62,44,2305,300,10000,500,1000,500,1000,500,1,1,1,1
1004,50101,上官欢,50,87,62,44,2305,300,10000,500,1000,500,1000,500,1,1,1,1
1005,50102,上官欢,50,87,62,44,2305,300,10000,500,1000,500,1000,500,1,1,1,1
1006,50103,上官欢,50,87,62,44,2305,300,10000,500,1000,500,1000,500,1,1,1,1
2001,30074,古墓暗灵,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2002,30075,冰凌元帅,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2003,30076,持枪仙君,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2004,30077,独孤求败,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2005,30078,夺魄,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2006,30079,虎力大仙,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2007,30080,健美牛头,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2008,30081,巨钳蟹将,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2009,30082,鹿力大仙,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2010,30083,冥界战将,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2011,30084,魔化武士,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2012,30085,三头怪鸟,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2013,30086,神木大圣,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2014,30087,向阳菊仙,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2015,30088,天门守将,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2016,30089,天翼隼,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2017,30090,羊力大仙,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2018,30091,真武马面,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2019,30092,诸乘射手,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2020,30093,碧眼冰蝶,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2021,30094,珠贝仙子,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2022,30095,苍叶白虎,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2023,30096,洞雪兽,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2024,30097,梵地麒麟,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2025,30098,焚天炎龙,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2026,30099,黑无常,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2027,30100,泽月罗仙,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2028,30101,鲁班巨像,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2029,30102,傀儡魔甲,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2030,30103,雷火金刚,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2031,30104,雷震童子,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2032,30105,猫天师,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2033,30106,瞑木玄武,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2034,30107,六根道人,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2035,30108,神火兽,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2036,30109,石矶,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2037,30110,古木山精,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2038,30111,白无常,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2039,30112,通天眼,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2040,30113,吞天兽,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2041,30114,战神武魂,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2042,30115,霞光朱雀,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2043,30116,游云青龙,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2044,30117,御火剑使,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
2045,30118,执伞浪人,50,87,62,44,2305,0,10000,500,1000,500,1000,500,1,1,1,1
