INDEX,ITEM_NAME,ITEM_QUALITY,ITEM_ATLAS_NAME,ITEM_SPRITE_NAME,DESCRIBE,USEABLE,GUIDE_TIME,ITEM_GROUP_ID,CONDITION_GROUP_ID,ITEM_GROUP_TYPE,FUNCTION,FUNCTION_TIP,AWARD_NOTICE,USELEVEL
INT,STRING,INT,STRING,STRING,STRING,INT,INT,INT,STRING,INT,INT,STRING,STRING,INT
2000001,天命石,5,ResourceAtlas1,material_tianming,鸿钧老祖使用紫气仙石炼丹时凝结所成，可以用来提升角色天命的等级。,0,0,0,0,0,0,去天命,0,0
2000002,突破石,5,ResourceAtlas1,material_tupo,混沌初开时清气所凝原石，可以增加修仙者的道行，提升突破等级。,0,0,0,0,0,10002,前往突破,0,0
2000003,进阶神玉,5,ResourceAtlas1,material_faqijinglian,散发着神秘光芒的晶砂，可以用来提升神器的精炼等级。,0,0,0,0,0,10008,神器精炼,0,0
2000004,下品精炼仙露,5,ResourceAtlas1,material_jinglian1,用于装备精炼，提供5点精炼经验。,0,0,0,0,0,10006,装备精炼,0,0
2000005,中品精炼仙露,5,ResourceAtlas1,material_jinglian2,用于装备精炼，提供10点精炼经验。,0,0,0,0,0,10006,装备精炼,0,0
2000006,上品精炼仙露,5,ResourceAtlas1,material_jinglian3,用于装备精炼，提供25点精炼经验。,0,0,0,0,0,10006,装备精炼,0,0
2000007,极品精炼仙露,5,ResourceAtlas1,material_jinglian4,用于装备精炼，提供50点精炼经验。,0,0,0,0,0,10006,装备精炼,0,0
2000008,技能秘籍,5,ResourceAtlas1,material_jinengshu,上古封灵师顶级法术秘笈，可提升灵将技能等级。,0,0,0,0,0,10004,升级技能,0,0
2000009,扫荡券,5,ResourceAtlas1,material_saodangquan,威能巨大的符箓，可横扫三星通关的关卡。,0,0,0,0,0,0,0,0,0
2000010,银符令,5,ResourceAtlas1,material_yinlingfu,用于普通召唤的令符，有几率召唤出绿色，蓝色，紫色三种品质的灵将之一。,0,0,0,0,0,10015,去抽卡,0,0
2000011,金符令,5,ResourceAtlas1,material_jinlingfu,用于高级召唤的令符，有几率召唤出蓝色，紫色，橙色三种品质的灵将之一。,0,0,0,0,0,10015,去抽卡,0,0
2000012,星相石碎片,4,ResourceAtlas1,material_dianxingshi,天宫陨落的星相石碎片，可在星相中激活星宿，获取额外属性。,0,0,0,0,0,0,0,0,0
2000013,体力丹,4,ResourceAtlas1,material_tilidan,封灵师恢复体力的必备仙品，增加体力25点。,1,0,990001,0,0,0,0,恭喜少侠，你的体力恢复了,0
2000014,精力丹,4,ResourceAtlas1,material_jinglidan,封灵师恢复精力的必备神器，增加精力10点。,1,0,990002,0,0,0,0,恭喜少侠，你的精力恢复了,0
2000015,降魔令,4,ResourceAtlas1,material_xiangmoling,使用后增加一个降魔令，在天魔乱入中消耗。,1,0,9000012,0,0,0,0,恭喜少侠，你的降魔令恢复了,0
2000016,免战牌大,4,ResourceAtlas1,material_mianzhanda,使用后获得8小时的夺宝防御时间。,1,8,0,0,0,0,0,恭喜少侠，你获得了8个小时的免战时间,0
2000017,免战牌小,3,ResourceAtlas1,material_mianzhanxiao,使用后获得1小时的夺宝防御时间。,1,1,0,0,0,0,0,恭喜少侠，你获得了1个小时的免战时间,0
2000018,刷新令,4,ResourceAtlas1,material_shuaxinling,使用后可刷新灵将商铺中的商品列表。,0,0,0,0,0,0,0,0,0
2000020,红色灵将精华,5,ResourceAtlas1,material_fulingjinghua,集齐一定数量可兑换相应红色灵将。,0,0,0,0,0,0,0,0,0
2000021,红色装备精华,5,ResourceAtlas1,material_zhuangbeijinghua,集齐一定数量可兑换相应红色装备。,0,0,0,0,0,0,0,0,0
2000100,测试宝箱1,5,ResourceAtlas1,material_vipbaoxiang,放入消耗品道具背包，使用后随机获取一个GROUPID配置的道具,1,0,99011,0,1,0,0,0,0
