WINDOW_NAME,WIN_POINT_COLOR,INFO
STRING,STRING,STRING
LOGIN_WINDOW,FFFFFF#FFFFFF#FFFFFF,登录窗口
ANNOUNCE_INFO_WINDOW,FFFFFF#FFFFFF#000000,公告板窗口
SELECT_SERVER_WINDOW,FFFFFF#FFFFFF#FFFF00,选择服务区
GUIDE_DIALOG_WINDOW,FFFFFF#FFFFFF#0000FF,简单对话窗口引导剧情对话窗口
BATTLE_PLAYER_WINDOW,FFFFFF#FFFFFF#00FFFF,战斗界面标识
SELECT_CREATE_ROLE_WINDOW,FFFFFF#FFFFFF#FF0000,创建人物窗口
GUIDE_MASK_WINDOW,FFFFFF#FFFFFF#800080,手指遮罩
SCROLL_WORLD_MAP_WINDOW,FFFFFF#FFFFFF#008000,闯荡关卡界面
STAGE_INFO_WINDOW,FFFFFF#FFFFFF#FF1493,出战信息窗口
SHOP_WINDOW,FFFFFF#FFFFFF#808080,商店窗口
shop_gain_pet_window,FFFFFF#000000#FFFFFF,集市抽卡获得灵将动画
TEAM_WINDOW,FFFFFF#000000#000000,队伍信息窗口
0,0,0
START_GAME_LOADING_WINDOW,FFFFFF#000000#FFFF00,游戏开始loading界面
MAIN_SCENE_LOADING_WINDOW,FFFFFF#000000#FFFF00,进入主界面loading界面
BATTLE_LOADING_WINDOW,FFFFFF#000000#FFFF00,战斗开始loading界面
GUILD_BOSS_BATTLE_LOADING_WINDOW,FFFFFF#000000#FFFF00,公会BOSS战斗开始loading界面
BOSS_BATTLE_LOADING_WINDOW,FFFFFF#000000#FFFF00,BOSS战斗开始loading界面
PVP_BATTLE_LOADING_WINDOW,FFFFFF#000000#FFFF00,6V6战斗开始loading界面
PVP_FOUR_VS_FOUR_BATTLE_LOADING_WINDOW,FFFFFF#000000#FFFF00,巅峰竞技开始loading界面
0,0,0
GRABTREASURE_BATTLE_LOADING_WINDOW,FFFFFF#000000#FFFF00,夺宝战斗开始loading界面
0,0,0
NEW_FUNC_OPEN_WINDOW,FFFFFF#000000#0000FF,新功能开启后去看看弹窗
BAG_PET_WINDOW,FFFFFF#000000#00FFFF,灵将列表弹框
TASK_REWARD_WINDOW,FFFFFF#000000#FF0000,关卡奖励窗口
FATE_RESULT_WINDOW,FFFFFF#000000#800080,天命成功窗口
TOTAL_TASK_WINDOW,FFFFFF#000000#008000,任务奖励领取窗口
BAG_INFO_WINDOW,FFFFFF#000000#FF1493,玩家背包(非主界面背包)
SEND_MAIL_WINDOW,FFFFFF#000000#808080,测试发送邮件
RECOVER_WINDOW,FFFFFF#FFFF00#FFFFFF,分解窗口底UI
FIRST_LOAD_WINDOW,FFFFFF#FFFF00#000000,登陆用户名window
BACK_GROUP_MAIL_WINDOW,FFFFFF#FFFF00#FFFF00,领取邮件窗口
FIRST_LOAD_SDK_WINDOW,FFFFFF#FFFF00#0000FF,SDK window
BACK_GROUP_FRIEND_WINDOW,FFFFFF#FFFF00#FF0000,好友返回窗口(标记好友窗口)
RANKLIST_MAIN_UI_WINDOW,FFFFFF#FFFF00#800080,主界面排行
ROLE_SEL_BOTTOM_LEFT_GROUP,FFFFFF#FFFF00#008000,ROLE
NEW_MYSTERIOUS_SHOP_WINDOW,FFFFFF#FFFF00#FF1493,神秘商店
LANDING_WINDOW,FFFFFF#FFFF00#808080,换号选取登陆界面
0,0,0
TRIAL_WINDOW,FFFFFF#0000FF#000000,历练选择入口
ARENA_MAIN_WINDOW,FFFFFF#0000FF#FFFF00,竞技场窗口
ARENA_RANK_WINDOW,FFFFFF#0000FF#0000FF,竞技场排行窗口
FRIEND_VISIT_WINDOW,FFFFFF#0000FF#00FFFF,好友访问窗口
0,0,0
GRABTREASURE_WINDOW,FFFFFF#0000FF#800080,夺宝主界面
RAMMBOCK_WINDOW,FFFFFF#0000FF#008000,群魔乱舞窗口
RANKLIST_RAMMBOCK_WINDOW,FFFFFF#0000FF#FF1493,群魔排行窗口
SHOP_RENOWN_WINDOW,FFFFFF#0000FF#808080,群魔威名商店
UNION_LIST_WINDOW,FFFFFF#00FFFF#FFFFFF,工会列表
UNION_CREATE_WINDOW,FFFFFF#00FFFF#000000,工会创建
UNION_MAIN_WINDOW,FFFFFF#00FFFF#FFFF00,工会主界面
UNION_CHECK_WINDOW,FFFFFF#00FFFF#0000FF,公会动态消息盒
BOSS_RAID_WINDOW,FFFFFF#00FFFF#00FFFF,天魔界面
0,0,0
PET_ALBUM_WINDOW,FFFFFF#00FFFF#800080,灵将图鉴
PET_DETAILS_WINDOW,FFFFFF#00FFFF#008000,灵将资料
0,0,0
USER_AGREEMENT_WINDOW,FFFFFF#00FFFF#FF1493,用户协议窗口
PET_LEVEL_UP_INFO_WINDOW,FFFFFF#00FFFF#808080,队伍界面，升级界面
BREAK_INFO_WINDOW,FFFFFF#FF0000#FFFFFF,队伍界面，突破窗口
BREAK_RESULT_WINDOW,FFFFFF#FF0000#000000,突破成功窗口
