INDEX,LV,REWORD
INT,INT,STRING
1,1,1000002#5000
2,2,1000002#5000
3,3,1000002#5000
4,4,1000002#5000
5,5,1000002#5000
6,6,1000002#5000
7,7,1000002#5000
8,8,1000002#5000
9,9,1000002#5000
10,10,1000002#5000
11,11,1000002#5000
12,12,1000002#5000
13,13,1000002#5000
14,14,1000002#5000
15,15,1000002#5000
16,16,1000002#5000
17,17,1000002#5000
18,18,1000002#5000
19,19,1000002#5000
20,20,1000002#5000
21,21,1000002#5000
22,22,1000002#5000
23,23,1000002#5000
24,24,1000002#5000
25,25,1000002#5000
26,26,1000002#5000
27,27,1000002#5000
28,28,1000002#5000
29,29,1000002#5000
30,30,1000002#5000
31,31,1000002#5000
32,32,1000002#5000
33,33,1000002#5000
34,34,1000002#5000
35,35,1000002#5000
36,36,1000002#5000
37,37,1000002#5000
38,38,1000002#5000
39,39,1000002#5000
40,40,1000002#5000
41,41,1000002#5000
42,42,1000002#5000
43,43,1000002#5000
44,44,1000002#5000
45,45,1000002#5000
46,46,1000002#5000
47,47,1000002#5000
48,48,1000002#5000
49,49,1000002#5000
50,50,1000002#5000
51,51,1000002#5000
52,52,1000002#5000
53,53,1000002#5000
54,54,1000002#5000
55,55,1000002#5000
56,56,1000002#5000
57,57,1000002#5000
58,58,1000002#5000
59,59,1000002#5000
60,60,1000002#5000
61,61,1000002#5000
62,62,1000002#5000
63,63,1000002#5000
64,64,1000002#5000
65,65,1000002#5000
66,66,1000002#5000
67,67,1000002#5000
68,68,1000002#5000
69,69,1000002#5000
70,70,1000002#5000
71,71,1000002#5000
72,72,1000002#5000
73,73,1000002#5000
74,74,1000002#5000
75,75,1000002#5000
76,76,1000002#5000
77,77,1000002#5000
78,78,1000002#5000
79,79,1000002#5000
80,80,1000002#5000
81,81,1000002#5000
82,82,1000002#5000
83,83,1000002#5000
84,84,1000002#5000
85,85,1000002#5000
86,86,1000002#5000
87,87,1000002#5000
88,88,1000002#5000
89,89,1000002#5000
90,90,1000002#5000
91,91,1000002#5000
92,92,1000002#5000
93,93,1000002#5000
94,94,1000002#5000
95,95,1000002#5000
96,96,1000002#5000
97,97,1000002#5000
98,98,1000002#5000
99,99,1000002#5000
100,100,1000002#5000
101,101,1000002#5000
102,102,1000002#5000
103,103,1000002#5000
104,104,1000002#5000
105,105,1000002#5000
106,106,1000002#5000
107,107,1000002#5000
108,108,1000002#5000
109,109,1000002#5000
110,110,1000002#5000
111,111,1000002#5000
112,112,1000002#5000
113,113,1000002#5000
114,114,1000002#5000
115,115,1000002#5000
116,116,1000002#5000
117,117,1000002#5000
118,118,1000002#5000
119,119,1000002#5000
120,120,1000002#5000
