INDEX,NAME,TXT,DESCRIBE,PET_TYPE,FIRST_SHOW,RENDER_TYPE,CLASS,INFO,MODEL,POS_Y,ROTATION_Y,HEAD_ATLAS_NAME,HEAD_SPRITE_NAME,IS_TUJIAN_SHOW,SCALE,UI_SCALE,STAR_LEVEL,APTITUDE_LEVEL,ELEMENT_INDEX,MOVE_SPEED,LOOKBOUND,AI_TIME,SKILL_COOLDOWN,ATTACK_SKILL,BASE_ATTACK,ADD_ATTACK,BASE_BREAK_ATTACK,BREAK_ATTACK,BASE_HP,ADD_HP,BASE_BREAK_HP,BREAK_HP,BASE_MP,ADD_MP,BASE_BREAK_MP,BREAK_MP,BASE_PHYSICAL_DEFENCE,ADD_PHYSICAL_DEFENCE,BASE_BREAK_PHYSICAL_DEFENCE,BREAK_PHYSICAL_DEFENCE,BASE_MAGIC_DEFENCE,ADD_MAGIC_DEFENCE,BASE_BREAK_MAGIC_DEFENCE,BREAK_MAGIC_DEFENCE,HIT,DODGE,CRITICAL_STRIKE,CRITICAL_DERATE,ATTACK_DAMAGE,MITIGATIONG,PET_SKILL_1,PET_SKILL_2,PET_SKILL_3,PET_SKILL_4,SKILL_ACTIVE_LEVEL_1,SKILL_ACTIVE_LEVEL_2,SKILL_ACTIVE_LEVEL_3,SKILL_ACTIVE_LEVEL_4,SKILL_DESCRIPTOR,DROP_EXP,MODEL_2,MAXMANA,MATTACK_DAMAGE,SKILL,EFFECT,UI_EFFECT,SKILLPOINTS,MAX_LEVEL,MAX_LEVEL_BREAK,MAX_STRENGTH,EXP_MULRIPLE,EXP_ELEMENT_MULRIPLE,SUMMON_TIME,ACTIVE_TIME,PUNISH_TIME,LEVEL_BERAK_FLAG,ATTACK_TYPE,BASE_MAGIC_DEF,ADD_MAGIC_DEF,RELATE_ID_1,RELATE_ID_2,RELATE_ID_3,RELATE_ID_4,RELATE_ID_5,RELATE_ID_6,RELATE_ID_7,RELATE_ID_8,RELATE_ID_9,RELATE_ID_10,RELATE_ID_11,RELATE_ID_12,RELATE_ID_13,RELATE_ID_14,RELATE_ID_15,SELL_PRICE,AUTO_HP,AUTO_MP,CRITICAL_STRIKE_DAMAGE,CRITICAL_DAMAGE_DERATE,CHARM_DEF,FEAR_DEF,FREEZE_DEF,STUN_DEF,BEATBACK_DEF,KNOCKDOWN_DEF,GREEN_REDUCTION,RED_REDUCTION,BLUE_REDUCTION,SHADOW_REDUCTION,GOLD_REDUCTION,DROP_HP_MAX_NUM,DROP_HP,DROP_MP_MAX_NUM,DROP_MP,ATTACKSPEED,ATTACK_STATE_1,ATTACK_STATE_2,ATTACK_STATE_3,AFFECT_BUFFER_1,AFFECT_BUFFER_2,AFFECT_BUFFER_3,GROUP_ID,EVOLUTION_ID,EVOLUTION_GET,STORE_GET
INT,STRING,STRING,STRING,INT,INT,INT,STRING,STRING,INT,FLOAT,INT,STRING,STRING,INT,FLOAT,FLOAT,INT,INT,INT,FLOAT,FLOAT,FLOAT,FLOAT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,STRING,INT,STRING,INT,INT,STRING,STRING,STRING,INT,INT,INT,INT,FLOAT,FLOAT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,STRING,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
50001,无双,0,无双，清灵门掌门之女，才貌双全，后台够硬，要和她一起征战四方，踏上世间最巅峰么？,0,0,0,CHAR,0,90001,0,0,AvatarAtlas,icon_blade_female_3,0,1,1,3,8,5,5.4,12,0.4,0.3,400115,112,0,0,0,1260,0,0,0,300,20,0,0,72,0,0,0,72,0,0,0,10000,100,100,0,0,0,100025,100025,100025,100025,0,0,3,4,0,1000,character_2,200,0,0,0,0,0,120,15,240,0,0,-1,-1,-1,0,0,0,0,60118,60128,60138,60148,60119,60129,60158,60168,60178,60188,60139,60149,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,10,20,30,40,50,1,20,1,10,0,0,0,0,0,0,0,0,191002,0,0
50002,无双,0,无双，清灵门掌门之女，才貌双全，后台够硬，要和她一起征战四方，踏上世间最巅峰么？,0,0,0,CHAR,二星,90001,0,0,AvatarAtlas,icon_blade_female_4,0,1,1,4,10,5,5.4,12,0.4,0.3,400115,120,0,0,0,1350,0,0,0,300,20,0,0,82,0,0,0,82,0,0,0,10000,100,100,0,0,0,100025,100025,100025,100025,0,0,3,4,0,1000,character_2,200,0,0,0,0,0,120,15,240,0,0,-1,-1,-1,0,0,0,0,60218,60228,60238,60248,60219,60229,60258,60268,60278,60288,60239,60249,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1,10,0,0,0,0,0,0,0,0,191003,0,0
50003,无双,0,无双，清灵门掌门之女，才貌双全，后台够硬，要和她一起征战四方，踏上世间最巅峰么？,0,0,0,CHAR,三星,90001,0,0,AvatarAtlas,icon_blade_female_5,0,1,1,5,14,5,5.4,12,0.4,0.3,400115,156,0,0,0,1755,0,0,0,300,20,0,0,104,0,0,0,104,0,0,0,10000,100,100,0,0,0,100025,100025,100025,100025,0,0,3,4,0,1000,character_2,200,0,0,0,0,0,120,15,240,0,0,-1,-1,-1,0,0,0,0,60318,60328,60338,60348,60319,60329,60358,60368,60378,60388,60339,60349,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1,10,0,0,0,0,0,0,0,0,0,0,0
50101,上官欢,0,上官，天资绝佳，根骨惊奇，据说很有桃花运，要和他一起游历五境，荡尽天下不平事么？,0,0,0,CHAR,0,90007,0,0,AvatarAtlas,icon_blade_male_3,0,1.1,1,3,8,5,5.4,12,0.36,0.3,400114,112,0,0,0,1260,0,0,0,300,20,0,0,72,0,0,0,72,0,0,0,10000,100,100,0,0,0,100025,100025,100025,100025,0,0,3,4,0,1000,character_2,200,0,0,0,0,0,120,15,240,0,0,-1,-1,-1,0,0,0,0,60418,60428,60438,60448,60419,60429,60458,60468,60478,60488,60439,60449,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1,10,0,0,0,0,0,0,0,0,191005,0,0
50102,上官欢,0,上官，天资绝佳，根骨惊奇，据说很有桃花运，要和他一起游历五境，荡尽天下不平事么？,0,0,0,CHAR,二星,90007,0,0,AvatarAtlas,icon_blade_male_4,0,1.1,1,4,10,5,5.4,12,0.36,0.3,400114,120,0,0,0,1350,0,0,0,300,20,0,0,82,0,0,0,82,0,0,0,10000,100,100,0,0,0,100025,100025,100025,100025,0,0,3,4,0,1000,character_2,200,0,0,0,0,0,120,15,240,0,0,-1,-1,-1,0,0,0,0,60518,60528,60538,60548,60519,60529,60558,60568,60578,60588,60539,60549,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1,10,0,0,0,0,0,0,0,0,191006,0,0
50103,上官欢,0,上官，天资绝佳，根骨惊奇，据说很有桃花运，要和他一起游历五境，荡尽天下不平事么？,0,0,0,CHAR,三星,90007,0,0,AvatarAtlas,icon_blade_male_5,0,1.1,1,5,14,5,5.4,12,0.36,0.3,400114,156,0,0,0,1755,0,0,0,300,20,0,0,104,0,0,0,104,0,0,0,10000,100,100,0,0,0,100025,100025,100025,100025,0,0,3,4,0,1000,character_2,200,0,0,0,0,0,120,15,240,0,0,-1,-1,-1,0,0,0,0,60618,60628,60638,60648,60619,60629,60658,60668,60678,60688,60639,60649,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1,10,0,0,0,0,0,0,0,0,0,0,0
30001,幼齿浣熊,幼齿浣熊,浣熊灵兽的幼熊，常在山间溪流中玩耍，喜欢恶作剧。,2,0,0,PET,1星火,11001,0,0,AvatarAtlas,icon_civet_1_huo,0,0.8,0.8,1,6,0,6.3,11,0.05,1,400001,68,0,0,0,628,0,0,0,0,0,0,0,35,0,0,0,42,0,0,0,10000,100,100,0,0,0,101001,301001,301073,301072,0,0,3,4,0,280,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,15000,10000,15000,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,51,0,0,0,0,0,0,0,0,0,0,0
30002,雏雀,雏雀,森林中的鸟雀灵兽幼崽，虽然攻击力不高，但是数量繁多。,2,0,0,PET,1星木,11002,0,0,AvatarAtlas,icon_maque_1_mu,0,0.6,0.6,1,6,2,6.3,11,0.2,0.7,400002,68,0,0,0,628,0,0,0,0,0,0,0,35,0,0,0,42,0,0,0,10000,100,100,0,0,0,101002,301002,301073,301072,0,0,3,4,0,280,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,15000,20000,10000,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,34,1,26,0,0,0,0,0,0,0,0,0,0,0
30003,豁牙小妖,豁牙小妖,喜欢在黑夜中吓唬小孩子，大大豁牙是他最典型的特征。,0,0,0,PET,1星阳,11003,0,0,AvatarAtlas,icon_runeimp_1_yang,0,0.6,0.6,1,6,3,5.9399999999999995,11,0.05,0.8,400003,67,0,0,0,628,0,0,0,0,0,0,0,39,0,0,0,39,0,0,0,10000,100,100,0,0,0,101003,301003,301073,301072,0,0,3,4,0,560,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,15000,15000,15000,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,51,0,0,0,0,0,0,0,0,0,0,0
30004,松子鼠,松子鼠,对松子有着不同寻常的执着。,2,0,0,PET,1星阴,11004,0,0,AvatarAtlas,icon_fox_1_yin,0,0.9,0.9,1,6,4,5.9399999999999995,11,0.05,1,400004,68,0,0,0,628,0,0,0,0,0,0,0,35,0,0,0,42,0,0,0,10000,100,100,0,0,0,101004,301004,301073,301072,0,0,3,4,0,840,monster_devil,200,0,0,0,0,0,120,15,240,1,1.2,15000,20000,10000,1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000002#1000,0,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,51,0,0,0,0,0,0,0,0,0,0,0
