INDEX,NAME,TIP_TITLE,INFO,BUFFER_TYPE,ANIMATION,EFFECT,VALUE_COEFF,EFFECT_PARAM,TIME,ADD_TIME,TIMES,AFFECT_TYPE,AFFECT_VALUE,ADD_AFFECT_VALUE,AFFECT_TYPE_1,AFFECT_VALUE_1,ADD_AFFECT_VALUE_1,BUFF_RANGE,BUFFER_ATLAS_NAME,BUFFER_SPRITE_NAME,SKILL_ATLAS_NAME,SKILL_SPRITE_NAME,SCRIPT,ITEM_TYPE,ITEM_ID,ITEM_NUM,COST_TYPE,COST_ID,COST_NUM,EXTRA_CONDITION,SHOCKSCERRN_TIME,RANGE,AFFECT_TIME,SPUTTERING_DAMAGE,TARGET,EXTRA_BUFFID,START_BATTLE,UPGRADE_BATTLE
INT,STRING,STRING,STRING,STRING,STRING,INT,STRING,INT,FLOAT,STRING,INT,STRING,INT,STRING,STRING,INT,STRING,INT,STRING,STRING,STRING,STRING,INT,INT,INT,INT,INT,INT,INT,INT,FLOAT,INT,FLOAT,INT,INT,INT,INT,INT
300101,生命,生命,增加生命5%,AffectValueBuffer,0,1,0,0,99999,0,0,HP_MAX_RATE,500,0,0,0,0,1,,,TowerBuff_2,xue_lv,0,1,1003,5,0,2000008,5,0,0,0,0,0,0,0,30,50
300102,暴击率,暴击率,增加暴击率5%,AffectValueBuffer,0,1,0,0,99999,0,0,CRITICAL_STRIKE_RATE,500,0,0,0,0,1,,,TowerBuff,bao_lv,0,1,1003,5,0,2000008,5,0,0,0,0,0,0,0,30,50
300103,抗暴率,抗暴率,增加抗暴率5%,AffectValueBuffer,0,1,0,0,99999,0,0,DEFENCE_CRITICAL_STRIKE_RATE,500,0,0,0,0,1,,,TowerBuff,kang_lv,0,1,1003,5,0,2000008,5,0,0,0,0,0,0,0,30,50
300104,命中率,命中率,增加命中率5%,AffectValueBuffer,0,1,0,0,99999,0,0,HIT_TARGET_RATE,500,0,0,0,0,1,,,TowerBuff_1,ming_lv,0,1,1003,5,0,2000008,5,0,0,0,0,0,0,0,30,50
300105,闪避率,闪避率,增加闪避率5%,AffectValueBuffer,0,1,0,0,99999,0,0,DODGE_RATE,500,0,0,0,0,1,,,TowerBuff_1,shan_lv,0,1,1003,5,0,2000008,5,0,0,0,0,0,0,0,30,50
300106,伤害率,伤害率,增加伤害率5%,AffectValueBuffer,0,1,0,0,99999,0,0,HIT_RATE,500,0,0,0,0,1,,,TowerBuff,gong_lv,0,1,1003,5,0,2000008,5,0,0,0,0,0,0,0,30,50
300107,减伤率,减伤率,增加减伤率5%,AffectValueBuffer,0,1,0,0,99999,0,0,DEFENCE_HIT_RATE,500,0,0,0,0,1,,,TowerBuff_1,mian_lv,0,1,1003,5,0,2000008,5,0,0,0,0,0,0,0,30,50
300121,生命,生命,增加生命10%,AffectValueBuffer,0,1,0,0,99999,0,0,HP_MAX_RATE,1000,0,0,0,0,1,,,TowerBuff_2,xue_lan,0,1,1003,5,0,2000008,5,0,0,0,0,0,0,0,30,50
300122,暴击率,暴击率,增加暴击率10%,AffectValueBuffer,0,1,0,0,99999,0,0,CRITICAL_STRIKE_RATE,1000,0,0,0,0,1,,,TowerBuff,bao_lan,0,1,1003,5,0,2000008,5,0,0,0,0,0,0,0,30,50
300123,抗暴率,抗暴率,增加抗暴率10%,AffectValueBuffer,0,1,0,0,99999,0,0,DEFENCE_CRITICAL_STRIKE_RATE,1000,0,0,0,0,1,,,TowerBuff,kang_lan,0,1,1003,5,0,2000008,5,0,0,0,0,0,0,0,30,50
300124,命中率,命中率,增加命中率10%,AffectValueBuffer,0,1,0,0,99999,0,0,HIT_TARGET_RATE,1000,0,0,0,0,1,,,TowerBuff_1,ming_lan,0,1,1003,5,0,2000008,5,0,0,0,0,0,0,0,30,50
300125,闪避率,闪避率,增加闪避率10%,AffectValueBuffer,0,1,0,0,99999,0,0,DODGE_RATE,1000,0,0,0,0,1,,,TowerBuff_1,shan_lan,0,1,1003,5,0,2000008,5,0,0,0,0,0,0,0,30,50
300126,伤害率,伤害率,增加伤害率10%,AffectValueBuffer,0,1,0,0,99999,0,0,HIT_RATE,1000,0,0,0,0,1,,,TowerBuff,gong_lan,0,1,1003,5,0,2000008,5,0,0,0,0,0,0,0,30,50
300127,减伤率,减伤率,增加减伤率10%,AffectValueBuffer,0,1,0,0,99999,0,0,DEFENCE_HIT_RATE,1000,0,0,0,0,1,,,TowerBuff_1,mian_lan,0,1,1003,5,0,2000008,5,0,0,0,0,0,0,0,30,50
300141,生命,生命,增加生命15%,AffectValueBuffer,0,1,0,0,99999,0,0,HP_MAX_RATE,1500,0,0,0,0,1,,,TowerBuff_2,xue_cheng,0,1,1003,5,0,2000008,5,0,0,0,0,0,0,0,30,50
300142,暴击率,暴击率,增加暴击率15%,AffectValueBuffer,0,1,0,0,99999,0,0,CRITICAL_STRIKE_RATE,1500,0,0,0,0,1,,,TowerBuff,bao_cheng,0,1,1003,5,0,2000008,5,0,0,0,0,0,0,0,30,50
300143,抗暴率,抗暴率,增加抗暴率15%,AffectValueBuffer,0,1,0,0,99999,0,0,DEFENCE_CRITICAL_STRIKE_RATE,1500,0,0,0,0,1,,,TowerBuff,kang_cheng,0,1,1003,5,0,2000008,5,0,0,0,0,0,0,0,30,50
300144,命中率,命中率,增加命中率15%,AffectValueBuffer,0,1,0,0,99999,0,0,HIT_TARGET_RATE,1500,0,0,0,0,1,,,TowerBuff_1,ming_cheng,0,1,1003,5,0,2000008,5,0,0,0,0,0,0,0,30,50
300145,闪避率,闪避率,增加闪避率15%,AffectValueBuffer,0,1,0,0,99999,0,0,DODGE_RATE,1500,0,0,0,0,1,,,TowerBuff_1,shan_cheng,0,1,1003,5,0,2000008,5,0,0,0,0,0,0,0,30,50
300146,伤害率,伤害率,增加伤害率15%,AffectValueBuffer,0,1,0,0,99999,0,0,HIT_RATE,1500,0,0,0,0,1,,,TowerBuff,gong_cheng,0,1,1003,5,0,2000008,5,0,0,0,0,0,0,0,30,50
300147,减伤率,减伤率,增加减伤率15%,AffectValueBuffer,0,1,0,0,99999,0,0,DEFENCE_HIT_RATE,1500,0,0,0,0,1,,,TowerBuff_1,mian_cheng,0,1,1003,5,0,2000008,5,0,0,0,0,0,0,0,30,50
300161,测试,0,0,AffectValueBuffer,0,1,0,0,99,0,0,HP_MAX,500,0,HP_MAX,500,0,0,SkillAtlas,buff_10,SkillAtlas,skill_critic_27,0,1,1003,5,0,2000008,5,1,1,0,0,0,0,0,30,50
300162,测试,0,0,AffectValueBuffer,0,1,0,0,99,0,0,ATTACK,100,0,ATTACK,100,0,0,SkillAtlas,buff_10,SkillAtlas,skill_critic_27,0,1,1003,5,0,2000008,5,2,0,5,0,10000,0,0,30,50
300163,测试,0,0,AffectValueBuffer,0,1,0,0,99,0,0,DODGE_RATE,1000,0,DODGE_RATE,1000,0,0,SkillAtlas,buff_10,SkillAtlas,skill_critic_27,0,1,1003,5,0,2000008,5,5,0,0,0,0,1,300001,30,50
