INDEX,BANEDLIST
INT,STRING
1,毛泽东
2,周恩来
3,刘少奇
4,朱德
5,彭德怀
6,林彪
7,刘伯承
8,陈毅
9,贺龙
10,聂荣臻
11,徐向前
12,罗荣桓
13,叶剑英
14,李大钊
15,陈独秀
16,孙中山
17,孙文
18,孙逸仙
19,邓小平
20,陈云
21,江泽民
22,李鹏
23,朱镕基
24,李瑞环
25,尉健行
26,李岚清
27,胡锦涛
28,罗干
29,温家宝
30,吴邦国
31,曾庆红
32,贾庆林
33,黄菊
34,吴官正
35,李长春
36,吴仪
37,回良玉
38,曾培炎
39,周永康
40,曹刚川
41,唐家璇
42,华建敏
43,陈至立
44,陈良宇
45,张德江
46,张立昌
47,张德江
48,俞正声
49,刘云山
50,王岐山
51,张高丽
52,王乐泉
53,刘云山
54,王刚
55,王兆国
56,刘淇
57,贺国强
58,郭伯雄
59,胡耀邦
60,王乐泉
61,王兆国
62,周永康
63,李登辉
64,连战
65,陈水扁
66,宋楚瑜
67,吕秀莲
68,郁慕明
69,蒋介石
70,蒋中正
71,蒋经国
72,马英九
73,习近平
74,李克强
75,吴帮国
76,无帮国
77,无邦国
78,无帮过
79,瘟家宝
80,假庆林
81,甲庆林
82,假青林
83,离长春
84,习远平
85,袭近平
86,李磕墙
87,贺过墙
88,和锅枪
89,粥永康
90,轴永康
91,肘永康
92,周健康
93,粥健康
94,周小康
95,李肇星务
96,国务委员
97,国务院
98,中央委员
99,发改委
100,国家发展和改革委员会
101,发展和改革委员会
102,国家发展与改革委员会
103,发展与改革委员会
104,薄熙来
105,温家饱
106,温假饱
107,胡惊涛
108,习仲勋
109,华国锋
110,彭丽媛
111,新闻出版总署
112,新闻出版署
113,布什
114,布莱尔
115,小泉
116,纯一郎
117,萨马兰奇
118,安南
119,阿拉法特
120,普京
121,默克尔
122,克林顿
123,里根
124,尼克松
125,林肯
126,杜鲁门
127,赫鲁晓夫
128,列宁
129,斯大林
130,马克思
131,恩格斯
132,金正日
133,金日成
134,萨达姆
135,胡志明
136,西哈努克
137,希拉克
138,撒切尔
139,阿罗约
140,曼德拉
141,卡斯特罗
142,富兰克林
143,华盛顿
144,艾森豪威尔
145,拿破仑
146,亚历山大
147,路易
148,拉姆斯菲尔德
149,劳拉
150,鲍威尔
151,奥巴马
152,本拉登
153,奥马尔
154,柴玲
155,达赖喇嘛
156,江青
157,张春桥
158,姚文元
159,王洪文
160,东条英机
161,希特勒
162,墨索里尼
163,冈村秀树
164,冈村宁次
165,高丽朴
166,赵紫阳
167,王丹
168,沃尔开西
169,李洪志
170,李大师
171,赖昌星
172,马加爵
173,班禅
174,额尔德尼
175,山本五十六
176,阿扁
177,阿扁万岁
178,热那亚
179,热比娅
180,尖阁列岛
181,实际神
182,东方闪电
183,全能神
184,安倍晋三
185,金正恩
186,恐怖组织
187,买毒品
188,卖毒品
189,茉莉花
190,钓鱼岛
191,钓鱼岛不属于中国
192,突尼斯
193,gongchandang
194,西藏314事件
195,新疆7.5事件
196,新疆国
197,党中央
198,新闻管制
199,一边一国
200,两国论
201,分裂中国
202,革命
203,茉莉花
204,突尼斯
205,国内动态详情
206,回回
207,六四
208,六四运动
209,美国之音
210,密宗
211,民国
212,民进党
213,民运
214,民主
215,民主潮
216,摩门教
217,纳粹
218,南华早报
219,南蛮
220,明慧网
221,起义
222,亲民党
223,瘸腿帮
224,人民报
225,法轮功
226,法轮大法
227,打倒共产党
228,台独万岁
229,圣战
230,示威
231,台独
232,台独分子
233,台联
234,台湾民国
235,台湾岛国
236,台湾国
237,台湾独立
238,太子党
239,天安门事件
240,屠杀
241,小泉
242,新党
243,新疆独立
244,新疆分裂
245,新疆国
246,疆独
247,西藏独立
248,西藏分裂
249,西藏国
250,藏独
251,藏青会
252,藏妇会
253,学潮
254,学运
255,一党专政
256,一中一台
257,两个中国
258,一贯道
259,游行
260,造反
261,真善忍
262,镇压
263,政变
264,政治
265,政治反对派
266,政治犯
267,中共
268,共产党
269,反党
270,反共
271,政府
272,民主党
273,中国之春
274,转法轮
275,自焚
276,共党
277,共匪
278,苏家屯
279,基地组织
280,塔利班
281,东亚病夫
282,支那
283,高治联
284,高自联
285,专政
286,专制
287,世界维吾尔大会
288,核工业基地
289,核武器
290,铀
291,原子弹
292,氢弹
293,导弹
294,核潜艇
295,大参考
296,小参考
297,国内动态清样
298,释迦牟尼
299,阿弥陀佛
300,多维
301,河殇
302,摩门教
303,穆罕默德
304,圣战
305,耶和华
306,耶稣
307,伊斯兰
308,真主安拉
309,白莲教
310,天主教
311,基督教
312,东正教
313,大法
314,法轮
315,法轮功
316,瘸腿帮
317,真理教
318,真善忍
319,转法轮
320,自焚
321,走向圆满
322,黄大仙
323,跳大神
324,神汉
325,神婆
326,真理教
327,大卫教
328,阎王
329,黑白无常
330,牛头马面
331,藏独
332,高丽棒子
333,疆独
334,蒙古鞑子
335,台独
336,台独分子
337,台联
338,台湾民国
339,西藏独立
340,新疆独立
341,南蛮
342,老毛子
343,回民吃猪肉
344,k粉
345,古柯碱
346,谋杀
347,杀人
348,吸毒
349,贩毒
350,赌博
351,拐卖
352,走私
353,卖淫
354,造反
355,强奸
356,轮奸
357,抢劫
358,先奸后杀
359,押大
360,押小
361,押注
362,下注
363,抽头
364,坐庄
365,赌马
366,赌球
367,筹码
368,老虎机
369,轮盘赌
370,安非他命
371,大麻
372,可卡因
373,海洛因
374,冰毒
375,摇头丸
376,杜冷丁
377,鸦片
378,罂粟
379,迷幻药
380,白粉
381,嗑药
382,吸毒
383,冰毒
384,冰粉
385,二奶
386,偷窥图片
387,成人影片
388,AV电影下载
389,夫妻床上激情自拍
390,处女
391,房事
392,押大
393,押小
394,坐台
395,猥亵
396,猥琐
397,肉欲
398,肉体
399,排泄
400,卵子
401,搞基
402,约炮
403,撸管子
404,处男
405,黄盘
406,毛盘
407,艾滋病
408,性病
409,叫春
410,牛B
411,牛比
412,J8
413,小姐兼职
414,交媾
415,毛片
416,黄片
417,交配
418,房事
419,性事
420,偷窥
421,马拉戈壁
422,AIDS
423,aids
424,Aids
425,DICK
426,dick
427,Dick
428,penis
429,sex
430,SM
431,屙
432,爱滋
433,淋病
434,梅毒
435,爱液
436,屄
437,逼
438,臭机八
439,臭鸡巴
440,吹喇叭
441,吹箫
442,催情药
443,屌
444,肛交
445,肛门
446,龟头
447,黄色
448,机八
449,机巴
450,鸡八
451,鸡巴
452,机掰
453,机巴
454,鸡叭
455,鸡鸡
456,鸡掰
457,鸡奸
458,妓女
459,奸
460,茎
461,精液
462,精子
463,尻
464,口交
465,滥交
466,乱交
467,轮奸
468,卖淫
469,屁眼
470,嫖娼
471,强奸
472,强奸犯
473,情色
474,肉棒
475,乳房
476,乳峰
477,乳交
478,乳头
479,乳晕
480,三陪
481,色情
482,射精
483,手淫
484,威而钢
485,威而柔
486,伟哥
487,性高潮
488,性交
489,性虐
490,性欲
491,穴
492,颜射
493,阳物
494,一夜情
495,阴部
496,阴唇
497,阴道
498,阴蒂
499,阴核
500,阴户
501,阴茎
502,阴门
503,淫
504,淫秽
505,淫乱
506,淫水
507,淫娃
508,淫液
509,淫汁
510,淫穴
511,淫洞
512,援交妹
513,做爱
514,梦遗
515,阳痿
516,早泄
517,奸淫
518,性欲
519,性交
520,Bitch
521,bt
522,cao
523,FUCK
524,Fuck
525,fuck
526,kao
527,NMD
528,NND
529,sb
530,shit
