INDEX,TYPE,INFO,MIN,MAX,NUM
INT,INT,STRING,INT,INT,INT
1,1,竞技场战力验证,1,10000,2000
2,1,竞技场战力验证,10001,50000,2000
3,1,竞技场战力验证,50001,100000,2000
4,1,竞技场战力验证,100001,300000,2000
5,1,竞技场战力验证,300001,500000,2000
6,1,竞技场战力验证,500001,9999999,2000
7,2,天魔战力验证,1,3000,100000000
8,2,天魔战力验证,3001,10000,150000000
9,2,天魔战力验证,10001,20000,200000000
10,2,天魔战力验证,20001,50000,250000000
11,2,天魔战力验证,50001,100000,300000000
12,2,天魔战力验证,100001,9999999,400000000
13,3,宗门BOSS战力验证,1,3000,2000000
14,3,宗门BOSS战力验证,3001,10000,2400000
15,3,宗门BOSS战力验证,10001,20000,2800000
16,3,宗门BOSS战力验证,20001,50000,3200000
17,3,宗门BOSS战力验证,50001,100000,3600000
18,3,宗门BOSS战力验证,100001,9999999,4000000
