INDEX,APTITUDE_LEVEL,BREAK_LEVEL,BASE_BREAK_HP,BASE_BREAK_ATTACK,BASE_BREAK_PHYSICAL_DEFENCE,BASE_BREAK_MAGIC_DEFENCE,BREAK_HP,BREAK_ATTACK,BREAK_PHYSICAL_DEFENCE,BREAK_MAGIC_DEFENCE
INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
2000,2,0,0,0,0,0,35,3,2,2
2001,2,1,130,12,6,8,40,4,3,3
2002,2,2,148,13,7,8,51,5,4,4
2003,2,3,166,15,8,9,69,7,5,5
2004,2,4,184,16,9,9,95,10,7,6
2005,2,5,202,18,10,10,130,13,9,8
2006,2,6,220,19,11,10,175,17,12,10
2007,2,7,238,21,12,11,232,22,15,13
2008,2,8,256,22,13,11,303,29,19,17
2009,2,9,274,24,14,12,390,37,23,21
2010,2,10,292,25,15,12,495,46,28,26
2011,2,11,315,27,17,14,619,56,33,31
2012,2,12,338,29,18,15,761,67,39,37
6000,6,0,0,0,0,0,46,4,2,2
6001,6,1,172,15,9,9,53,5,3,3
6002,6,2,195,17,11,10,68,6,4,4
6003,6,3,219,19,12,10,92,8,5,6
6004,6,4,243,21,14,11,126,11,7,8
6005,6,5,267,23,15,11,172,15,9,10
6006,6,6,290,25,17,12,231,20,12,13
6007,6,7,314,27,18,13,306,27,16,17
6008,6,8,338,29,20,13,399,35,20,22
6009,6,9,362,31,21,14,513,45,25,28
6010,6,10,385,33,23,14,652,56,30,35
6011,6,11,416,35,25,16,815,68,36,43
6012,6,12,446,38,27,18,1002,82,43,51
8000,8,0,0,0,0,0,53,4,3,2
8001,8,1,200,16,9,11,61,5,4,3
8002,8,2,228,18,11,12,78,6,5,4
8003,8,3,256,20,12,12,106,8,6,6
8004,8,4,283,22,14,13,145,12,8,8
8005,8,5,311,25,15,14,198,16,11,10
8006,8,6,339,27,17,15,267,22,15,13
8007,8,7,367,29,18,15,355,29,19,17
8008,8,8,394,31,20,16,464,38,24,22
8009,8,9,422,33,21,17,597,49,30,28
8010,8,10,450,35,23,18,759,61,37,35
8011,8,11,485,38,25,20,949,74,44,43
8012,8,12,521,41,27,22,1168,89,52,51
10000,10,0,0,0,0,0,62,5,3,3
10001,10,1,226,20,10,12,75,6,4,4
10002,10,2,258,23,12,13,100,8,5,5
10003,10,3,289,25,13,14,137,11,7,7
10004,10,4,320,28,15,14,187,15,9,9
10005,10,5,351,30,17,15,250,20,12,12
10006,10,6,383,33,18,16,337,27,18,18
10007,10,7,414,36,20,17,450,36,24,24
10008,10,8,445,38,22,18,587,47,27,27
10009,10,9,477,41,23,18,750,60,35,35
10010,10,10,508,44,25,19,837,75,45,45
10011,10,11,548,47,27,22,1150,92,51,51
10012,10,12,588,50,30,24,1375,110,63,63
14000,14,0,0,0,0,0,75,6,4,4
14001,14,1,260,23,12,15,87,7,5,5
14002,14,2,296,26,14,16,112,9,6,6
14003,14,3,332,29,16,17,150,12,8,8
14004,14,4,368,32,18,18,212,17,11,11
14005,14,5,404,35,20,19,287,23,15,15
14006,14,6,440,38,22,20,387,31,20,20
14007,14,7,476,41,24,21,512,41,27,27
14008,14,8,512,44,26,22,675,54,33,33
14009,14,9,548,47,28,23,862,69,41,41
14010,14,10,584,50,30,24,1075,86,52,52
14011,14,11,630,54,33,27,1312,105,60,60
14012,14,12,676,58,36,30,1575,126,74,74
