INDEX,FLOOR_NUM,STAR_1,FIGHT_POINT_STAR,FIGHT_POINT_1,STAR_2,FIGHT_POINT_2,STAR_3,FIGHT_POINT_3,STAR_REWARD_3,STAR_REWARD_6,STAR_REWARD_9,BASE_EQUIP_TOKEN,BASE_MONEY,LOST_GROUPID_VIP0,PRICE_VIP0,BASE_PRICE_VIP0,LOST_GROUPID_VIP1,PRICE_VIP1,BASE_PRICE_VIP1,LOST_GROUPID_VIP2,PRICE_VIP2,BASE_PRICE_VIP2,LOST_GROUPID_VIP3,PRICE_VIP3,BASE_PRICE_VIP3,LOST_GROUPID_VIP4,PRICE_VIP4,BASE_PRICE_VIP4,LOST_GROUPID_VIP5,PRICE_VIP5,BASE_PRICE_VIP5,LOST_GROUPID_VIP6,PRICE_VIP6,BASE_PRICE_VIP6,LOST_GROUPID_VIP7,PRICE_VIP7,BASE_PRICE_VIP7,LOST_GROUPID_VIP8,PRICE_VIP8,BASE_PRICE_VIP8,LOST_GROUPID_VIP9,PRICE_VIP9,BASE_PRICE_VIP9,LOST_GROUPID_VIP10,PRICE_VIP10,BASE_PRICE_VIP10,LOST_GROUPID_VIP11,PRICE_VIP11,BASE_PRICE_VIP11,LOST_GROUPID_VIP12,PRICE_VIP12,BASE_PRICE_VIP12
INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
1,1,25011,2198,1046,25012,2198,25013,2198,0,0,0,40|50|60,800|1000|1200,92801|92802,128|128,200|200,92801|92802,128|128,200|200,92801|92802,128|128,200|200,92801|92802,128|128,200|200,92801|92802,128|128,200|200,92801|92802,128|128,200|200,92801|92802,128|128,200|200,92801|92802,128|128,200|200,92801|92802,128|128,200|200,92801|92802,128|128,200|200,92801|92802,128|128,200|200,92801|92802,128|128,200|200,92801|92802,128|128,200|200
2,1,25021,2962,2671,25022,2671,25023,2962,0,0,0,40|50|60,800|1000|1200,92801|92802,128|129,200|201,92801|92802,128|129,200|201,92801|92802,128|129,200|201,92801|92802,128|129,200|201,92801|92802,128|129,200|201,92801|92802,128|129,200|201,92801|92802,128|129,200|201,92801|92802,128|129,200|201,92801|92802,128|129,200|201,92801|92802,128|129,200|201,92801|92802,128|129,200|201,92801|92802,128|129,200|201,92801|92802,128|129,200|201
3,1,25031,4580,2973,25032,2984,25033,4580,92101,92201,92301,40|50|60,800|1000|1200,92801|92802,128|130,200|202,92801|92802,128|130,200|202,92801|92802,128|130,200|202,92801|92802,128|130,200|202,92801|92802,128|130,200|202,92801|92802,128|130,200|202,92801|92802,128|130,200|202,92801|92802,128|130,200|202,92801|92802,128|130,200|202,92801|92802,128|130,200|202,92801|92802,128|130,200|202,92801|92802,128|130,200|202,92801|92802,128|130,200|202
4,2,25041,7051,5130,25042,5793,25043,7051,0,0,0,40|50|60,800|1000|1200,92801|92802,128|131,200|203,92801|92802,128|131,200|203,92801|92802,128|131,200|203,92801|92802,128|131,200|203,92801|92802,128|131,200|203,92801|92802,128|131,200|203,92801|92802,128|131,200|203,92801|92802,128|131,200|203,92801|92802,128|131,200|203,92801|92802,128|131,200|203,92801|92802,128|131,200|203,92801|92802,128|131,200|203,92801|92802,128|131,200|203
5,2,25051,16105,7173,25052,10178,25053,16105,0,0,0,40|50|60,800|1000|1200,92801|92802,128|132,200|204,92801|92802,128|132,200|204,92801|92802,128|132,200|204,92801|92802,128|132,200|204,92801|92802,128|132,200|204,92801|92802,128|132,200|204,92801|92802,128|132,200|204,92801|92802,128|132,200|204,92801|92802,128|132,200|204,92801|92802,128|132,200|204,92801|92802,128|132,200|204,92801|92802,128|132,200|204,92801|92802,128|132,200|204
6,2,25061,30588,25089,25062,24898,25063,30588,92102,92202,92302,40|50|60,800|1000|1200,92801|92802,128|133,200|205,92801|92802,128|133,200|205,92801|92802,128|133,200|205,92801|92802,128|133,200|205,92801|92802,128|133,200|205,92801|92802,128|133,200|205,92801|92802,128|133,200|205,92801|92802,128|133,200|205,92801|92802,128|133,200|205,92801|92802,128|133,200|205,92801|92802,128|133,200|205,92801|92802,128|133,200|205,92801|92802,128|133,200|205
7,3,25071,34015,30780,25072,31048,25073,34015,0,0,0,40|50|60,800|1000|1200,92801|92802,128|134,200|206,92801|92802,128|134,200|206,92801|92802,128|134,200|206,92801|92802,128|134,200|206,92801|92802,128|134,200|206,92801|92802,128|134,200|206,92801|92802,128|134,200|206,92801|92802,128|134,200|206,92801|92802,128|134,200|206,92801|92802,128|134,200|206,92801|92802,128|134,200|206,92801|92802,128|134,200|206,92801|92802,128|134,200|206
8,3,25081,42914,36981,25082,39948,25083,42914,0,0,0,40|50|60,800|1000|1200,92801|92802,128|135,200|207,92801|92802,128|135,200|207,92801|92802,128|135,200|207,92801|92802,128|135,200|207,92801|92802,128|135,200|207,92801|92802,128|135,200|207,92801|92802,128|135,200|207,92801|92802,128|135,200|207,92801|92802,128|135,200|207,92801|92802,128|135,200|207,92801|92802,128|135,200|207,92801|92802,128|135,200|207,92801|92802,128|135,200|207
9,3,25091,49114,45882,25092,45088,25093,49114,92103,92203,92303,40|50|60,800|1000|1200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200
10,4,25101,61196,53140,25102,57166,25103,61196,0,0,0,40|50|60,800|1000|1200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200
11,4,25111,67587,55213,25112,62640,25113,67587,0,0,0,40|50|60,800|1000|1200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200
12,4,25121,87753,74667,25122,81753,25123,87753,92104,92204,92304,40|50|60,800|1000|1200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200
13,5,25131,105753,93753,25132,99753,25133,105753,0,0,0,40|50|60,800|1000|1200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200
14,5,25141,123753,111753,25142,117753,25143,123753,0,0,0,40|50|60,800|1000|1200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200
