INDEX,SEVER_DAY,COST,TIMES,GROUP_ID,DESC
INT,INT,INT,INT,STRING,STRING
1,1,1,1,40110#1|1000002#10000,单笔充值达到1元
2,1,6,1,40110#1|1000002#10000,单笔充值达到6元
3,1,30,1,40110#1|1000002#10000,单笔充值达到30元
4,1,50,1,40110#1|1000002#10000,单笔充值达到50元
5,2,1,1,40110#1|1000002#10000,单笔充值达到1元
6,2,6,1,40110#1|1000002#10000,单笔充值达到6元
7,2,30,1,40110#1|1000002#10000,单笔充值达到30元
8,2,50,1,40110#1|1000002#10000,单笔充值达到50元
9,3,1,1,40110#1|1000002#10000,单笔充值达到1元
10,3,6,1,40110#1|1000002#10000,单笔充值达到6元
11,3,30,1,40110#1|1000002#10000,单笔充值达到30元
12,3,50,1,40110#1|1000002#10000,单笔充值达到50元
13,4,1,1,40110#1|1000002#10000,单笔充值达到1元
14,4,6,1,40110#1|1000002#10000,单笔充值达到6元
15,4,30,1,40110#1|1000002#10000,单笔充值达到30元
16,4,50,1,40110#1|1000002#10000,单笔充值达到50元
17,5,1,1,40110#1|1000002#10000,单笔充值达到1元
18,5,6,1,40110#1|1000002#10000,单笔充值达到6元
19,5,30,1,40110#1|1000002#10000,单笔充值达到30元
20,5,50,1,40110#1|1000002#10000,单笔充值达到50元
21,6,1,1,40110#1|1000002#10000,单笔充值达到1元
22,6,6,1,40110#1|1000002#10000,单笔充值达到6元
23,6,30,1,40110#1|1000002#10000,单笔充值达到30元
24,6,50,1,40110#1|1000002#10000,单笔充值达到50元
25,7,1,1,40110#1|1000002#10000,单笔充值达到1元
26,7,6,1,40110#1|1000002#10000,单笔充值达到6元
27,7,30,1,40110#1|1000002#10000,单笔充值达到30元
28,7,50,1,40110#1|1000002#10000,单笔充值达到50元
