INDEX,SHOP_TYPE,TAB_ID,TAB_NAME,ITEM_ID,ITEM_SHOW_LEVEL,VIP_LEVEL_DISPLAY,COST_TYPE_1,COST_NUM_1,COST_TYPE_2,COST_NUM_2,BUY_NUM,REFRESH_BYDAY,MAX_ITEM_NUM,OPEN_TYPE,OPEN_NUM,NUMBER_STAGE_1,STAGE_PRICE_1,NUMBER_STAGE_2,STAGE_PRICE_2,NUMBER_STAGE_3,STAGE_PRICE_3,NUMBER_STAGE_4,STAGE_PRICE_4,NUMBER_STAGE_5,STAGE_PRICE_5
INT,INT,INT,STRING,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
1,1,1,绿装,14001,0,0,1000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,绿装,14002,0,0,1000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,绿装,14003,0,0,1000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,绿装,14004,0,0,1000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2,蓝装,14005,0,0,1000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,2,蓝装,14006,0,0,1000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,2,蓝装,14007,0,0,1000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,2,蓝装,14008,0,0,1000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,3,紫装,14009,0,0,1000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,3,紫装,14010,0,0,1000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,3,紫装,14011,0,0,1000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,3,紫装,14012,0,0,1000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,4,奖励,14013,0,0,1000001,10,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0
14,1,4,奖励,14014,0,0,1000001,10,0,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0
15,1,4,奖励,14015,0,0,1000001,10,0,0,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0
16,1,4,奖励,14016,0,0,1000001,10,0,0,1,0,0,1,12,0,0,0,0,0,0,0,0,0,0
17,5,1,道具,14001,0,0,1000001,0,0,0,10,0,0,4,0,5,10,10,15,0,0,0,0,0,0
18,5,1,道具,14002,0,0,1000001,0,0,0,10,0,0,4,1,5,10,10,15,0,0,0,0,0,0
19,5,1,道具,14003,0,0,1000001,0,0,0,10,0,0,4,2,5,10,10,15,0,0,0,0,0,0
20,5,1,道具,14004,0,0,1000001,0,0,0,10,0,0,4,3,5,10,10,15,0,0,0,0,0,0
21,5,1,道具,14005,0,0,1000001,0,0,0,10,0,0,4,4,5,10,10,15,0,0,0,0,0,0
22,5,1,道具,14006,0,0,1000001,0,0,0,10,0,0,4,5,5,10,10,15,0,0,0,0,0,0
23,5,1,道具,14007,0,0,1000001,0,0,0,20,0,0,4,6,5,10,10,15,20,30,0,0,0,0
24,5,1,道具,14008,0,0,1000001,0,0,0,20,0,0,4,7,5,10,10,15,20,30,0,0,0,0
25,5,1,道具,14009,0,0,1000001,0,0,0,20,0,0,4,8,5,10,10,15,20,30,0,0,0,0
26,5,1,道具,14010,0,0,1000001,0,0,0,20,0,0,4,9,5,10,10,15,20,30,0,0,0,0
27,5,1,道具,14011,0,0,1000001,0,0,0,20,0,0,4,10,5,10,10,15,20,30,0,0,0,0
28,5,2,礼包,14001,0,0,1000001,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,5,2,礼包,14002,0,0,1000001,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,5,2,礼包,14003,0,0,1000001,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,5,2,礼包,14004,0,1,1000001,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,5,2,礼包,14005,0,2,1000001,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,5,2,礼包,14006,0,3,1000001,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,5,2,礼包,14007,0,4,1000001,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,5,2,礼包,14008,0,5,1000001,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,5,2,礼包,14009,0,6,1000001,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,5,2,礼包,14010,0,7,1000001,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,4,1,道具,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
39,4,2,时装,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
40,4,4,奖励,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
41,4,3,限时,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
42,4,3,限时,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
43,4,3,限时,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
44,4,3,限时,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
45,4,3,限时,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
46,4,3,限时,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
47,4,3,限时,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
48,4,3,限时,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
49,4,3,限时,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
50,4,3,限时,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
51,4,3,限时,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
52,4,3,限时,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
53,4,3,限时,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
54,4,3,限时,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
55,4,3,限时,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
56,4,3,限时,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
57,4,3,限时,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
58,4,3,限时,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
59,4,3,限时,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
60,4,3,限时,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
61,4,3,限时,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
62,4,3,限时,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
