INDEX,VIP_LEVEL,ITEM_ID,COUNT
INT,INT,INT,INT
1001,0,1000002,50000
1002,1,16006,16
1003,0,16006,16
1004,0,1000001,100
1005,2,2000018,20
1006,0,1000002,100000
1007,3,2000203,1
1008,3,1000001,500
1009,0,1000001,800
1010,4,2000008,100
1011,0,1000001,200
1012,5,2000018,15
1013,0,1000001,300
1014,6,30293,5
1015,0,2000013,2
1016,7,2000014,2
1017,0,16106,16
1018,0,16106,16
1019,8,2000002,200
1020,0,1000001,200
1021,9,2000003,400
1022,0,15203,2
1023,10,2000014,10
1024,0,1000001,300
1025,11,2000002,400
1026,0,16206,16
1027,0,16206,16
1028,12,2000002,400
