INDEX,NAME,TYPE,DIFFICULTY,DIFFICULTY_ATLAS_NAME,DIFFICULTY_SPRITE_NAME,STAGE_ID,DROP_ITEM,BATTLE_POINT,OPEN_LEVEL,OPEN_DAY,COST,DAILY_ATTACK_NUM
INT,STRING,INT,INT,STRING,STRING,INT,STRING,INT,INT,STRING,INT,INT
1,神器经验金印,2,1,DailyPVEUIAtlas,a_ui_richang_nandu_01putong,24011,15203#4,25500,50,0#1#3#5,10,1
2,神器经验金印,2,2,DailyPVEUIAtlas,a_ui_richang_nandu_02jingying,24012,15203#8,126800,70,0#1#3#5,10,1
3,神器经验金印,2,3,DailyPVEUIAtlas,a_ui_richang_nandu_03yingxiong,24013,15203#12,398800,85,0#1#3#5,10,1
7,经验巨蛋,6,1,DailyPVEUIAtlas,a_ui_richang_nandu_01putong,24021,30305#4,25500,25,0#2#4#6,10,1
8,经验巨蛋,6,2,DailyPVEUIAtlas,a_ui_richang_nandu_02jingying,24022,30305#6,126800,50,0#2#4#6,10,1
9,经验巨蛋,6,3,DailyPVEUIAtlas,a_ui_richang_nandu_03yingxiong,24023,30305#8,398800,75,0#2#4#6,10,1
10,经验巨蛋,6,4,DailyPVEUIAtlas,a_ui_richang_nandu_04shishi,24024,30305#10,848400,100,0#2#4#6,10,1
13,极品精炼仙露,3,1,DailyPVEUIAtlas,a_ui_richang_nandu_01putong,24031,2000007#30,46900,30,0#1#3#5,10,1
14,极品精炼仙露,3,2,DailyPVEUIAtlas,a_ui_richang_nandu_02jingying,24032,2000007#60,218100,60,0#1#3#5,10,1
15,极品精炼仙露,3,3,DailyPVEUIAtlas,a_ui_richang_nandu_03yingxiong,24033,2000007#90,450700,90,0#1#3#5,10,1
19,银币,1,1,DailyPVEUIAtlas,a_ui_richang_nandu_01putong,24061,1000002#630000,46900,30,0#2#4#6,10,1
20,银币,1,2,DailyPVEUIAtlas,a_ui_richang_nandu_02jingying,24062,1000002#1250000,218100,45,0#2#4#6,10,1
21,银币,1,3,DailyPVEUIAtlas,a_ui_richang_nandu_03yingxiong,24063,1000002#1880000,450700,60,0#2#4#6,10,1
22,银币,1,4,DailyPVEUIAtlas,a_ui_richang_nandu_04shishi,24064,1000002#2500000,931400,80,0#2#4#6,10,1
25,进阶神玉,4,1,DailyPVEUIAtlas,a_ui_richang_nandu_01putong,24041,2000003#200,126800,25,0#1#3#5,10,1
26,进阶神玉,4,2,DailyPVEUIAtlas,a_ui_richang_nandu_02jingying,24042,2000003#400,295800,50,0#1#3#5,10,1
27,进阶神玉,4,3,DailyPVEUIAtlas,a_ui_richang_nandu_03yingxiong,24043,2000003#600,527200,75,0#1#3#5,10,1
28,进阶神玉,4,4,DailyPVEUIAtlas,a_ui_richang_nandu_04shishi,24044,2000003#800,931400,100,0#1#3#5,10,1
31,突破石,5,1,DailyPVEUIAtlas,a_ui_richang_nandu_01putong,24051,2000002#200,126800,50,0#2#4#6,10,1
32,突破石,5,2,DailyPVEUIAtlas,a_ui_richang_nandu_02jingying,24052,2000002#400,295800,70,0#2#4#6,10,1
33,突破石,5,3,DailyPVEUIAtlas,a_ui_richang_nandu_03yingxiong,24053,2000002#600,527200,85,0#2#4#6,10,1
