INT,INT,INT,INT
INDEX,VIP_LEVEL,ITEM_ID,COUNT
1001,0,1000001,100
1002,0,1000002,100
1003,1,2000001,100
1004,0,2000002,100
1005,2,2000003,100
1006,0,2000004,100
1007,3,2000005,100
1008,0,2000006,100
1009,4,2000007,100
1010,0,2000008,100
1011,5,2000009,100
1012,0,1000001,100
1013,6,1000002,100
1014,0,2000001,100
1015,7,2000002,100
1016,0,2000003,100
1017,0,2000004,100
1018,8,2000005,100
1019,0,2000006,100
1020,0,2000007,100
1021,0,2000008,100
1022,9,2000009,100
1023,0,1000001,100
1024,0,1000002,100
1025,10,2000001,100
1026,0,2000002,100
1027,0,2000003,100
1028,0,2000004,100
1029,0,2000005,100
1030,0,2000006,100
