INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
INDEX,STAR_LEVEL,LEVEL,COST,ITEM_TYPE1,ITEM_ID1,ITEM_NUMBER1,ITEM_TYPE2,ITEM_ID2,ITEM_NUMBER2,ITEM_TYPE3,ITEM_ID3,ITEM_NUMBER3,ITEM_TYPE4,ITEM_ID4,ITEM_NUMBER4
0,符灵星级,符灵等级,分解金币消耗,得到物品类型1,物品id1,物品数量1,得到物品类型2,物品id2,物品数量2,得到物品类型3,物品id3,物品数量3,得到物品类型4,物品id4,物品数量4
1,1,1,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
2,1,2,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
3,1,3,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
4,1,4,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
5,1,5,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
6,1,6,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
7,1,7,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
8,1,8,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
9,1,9,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
10,1,10,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
11,1,11,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
12,1,12,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
13,1,13,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
14,1,14,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
15,1,15,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
16,1,16,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
17,1,17,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
18,1,18,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
19,1,19,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
20,1,20,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
21,1,21,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
22,1,22,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
23,1,23,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
24,1,24,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
25,1,25,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
26,1,26,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
27,1,27,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
28,1,28,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
29,1,29,1000,17,,1,0,300005,0,0,300011,0,0,300017,0
