OBJECT_NAME,SOUND_FILE,HIT_SOUND_FILE,DELAY_TIME,IS_LOOP,INTERVAL_TIME,IS_NEED_REPLAY,SOUND_TYPE,INFO
STRING,STRING,STRING,FLOAT,INT,FLOAT,INT,INT,STRING
sworddancer_skill,Sound/skillsound/Sound_sworddancer_skill,0,0,0,0,0,1,御火剑使 主角技能（从天而降一把剑）
redbird_skill_pet,Sound/skillsound/Sound_redbird_skill_pet,0,0,0,0,0,1,朱雀 灵将技能（一个半球形防护光效扩散爆掉的感觉）
goldenlion_att,Sound/skillsound/,0,0,0,0,0,1,焚天炎龙 普攻（砸地效果）
goldenlion_skill,Sound/skillsound/Sound_goldenlion_skill,0,0,0,0,0,1,焚天炎龙 主角技能（无敌盾）
goldenlion_skill_pet,Sound/skillsound/Sound_goldenlion_pet,0,0,0,0,0,1,焚天炎龙 灵将技能（砸地火圈扩散效果）
bullhead_att1,Sound/skillsound/,0,0,0,0,0,1,健美牛头 普攻（带有火焰的拳迅速挥击的效果）1段
bullhead_att2,Sound/skillsound/,0,0,0,0,0,1,健美牛头 普攻（带有火焰的拳迅速挥击的效果）2段
deerlord_attack1,Sound/skillsound/,0,0,0,0,0,1,鹿力大仙 普攻（一个水系的锥形物体飞出的效果）
horsehead_att,Sound/skillsound/,0,0,0,0,0,1,真武角马 普攻（挥拳的音效）
duopo_attfly,Sound/skillsound/,0,0,0,0,0,1,夺魄 普攻（一个黑紫色的黑暗物质打出的飞行效果）
anjingling_attfly,Sound/skillsound/,0,0,0,0,0,1,暗精灵 普攻（一个暗系的坠型道具飞出的效果）
qiuju_att1,Sound/skillsound/,0,0,0,0,0,1,天道医师 普攻（一个太阳花道具飞出的效果）
guainia_attack,Sound/skillsound/,0,0,0,0,0,1,三头怪鸟 普攻（一个火焰物体飞出的效果）
huaqingting_att,Sound/skillsound/,0,0,0,0,0,1,诸乘射手 普攻(弓箭的射出效果)
tianyi_attfly,Sound/skillsound/,0,0,0,0,0,1,天翼隼 普攻（一个光球型的飞行道具被打出的效果）
dongxueshou_skill_pet_1,Sound/skillsound/Sound_dongxueshou_skill_pet_1,0,0,0,0,0,1,洞穴兽 主角技能（下雪特效）
duopo_skill1,Sound/skillsound/Sound_duopo_skill1,0,0,0,0.3,1,1,夺魄 主角技能（暗影箭雨效果）
mingjiezhanjiang_skill_pet,Sound/skillsound/Sound_mingjiezhanjiang_skill_pet,0,0,0,0,0,1,冥界战神 主角技能（从天而降一个冥界战将的大锤子，咋地上击晕）
monkey_skill,Sound/skillsound/Sound_monkey_skill,0,0,0,0,0,1,雷火金刚 主角技能（主角攻击力提升效果）
monkey_skill_pet,Sound/skillsound/Sound_monkey_skill,0,0,0,0,0,1,雷火金刚 灵将技能（火圈效果）
whitetriger_skill,Sound/skillsound/Sound_whitetriger_skill,0,0,0,0,0,1,白虎 主角技能（绿色光圈开启后获得伤害减免）
