INT,STRING,STRING,STRING,STRING,INT,INT,INT,INT,INT
INDEX,NAME,TXT,ICON_ATLAS_NAME,ICON_SPRITE_NAME,ATTACHATTRIBUTE_GROUP,TYPE,ATTACHATTRIBUTE,RATE,IS_BEST
0,属性名,属性类型描述,图标集名称,图标名称,随机属性GROUPID,属性类型ID,属性数值,属性获取权重,是否推荐属性
1,攻击力,攻击,SmalliconAtlas,skill_atk,11001,1,50000,100,1
2,命中,命中百分比,SmalliconAtlas,skill_hit,11001,14,450,200,1
3,攻击力,攻击,SmalliconAtlas,skill_atk,11002,1,86300,100,1
4,命中,命中百分比,SmalliconAtlas,skill_hit,11002,14,797,200,1
5,攻击力,攻击,SmalliconAtlas,skill_atk,11003,1,122600,100,1
6,命中,命中百分比,SmalliconAtlas,skill_hit,11003,14,1143,200,1
7,攻击力,攻击,SmalliconAtlas,skill_atk,11004,1,160000,100,1
8,命中,命中百分比,SmalliconAtlas,skill_hit,11004,14,1500,200,1
9,生命上限,hp上限数值,SmalliconAtlas,skill_hp,12001,7,430000,100,1
10,生命恢复,生命恢复,SmalliconAtlas,skill_hp,12001,32,30000,200,
11,生命上限,hp上限数值,SmalliconAtlas,skill_hp,12002,7,763300,100,1
12,生命恢复,生命恢复,SmalliconAtlas,skill_hp,12002,32,53100,200,
13,生命上限,hp上限数值,SmalliconAtlas,skill_hp,12003,7,1096600,100,1
14,生命恢复,生命恢复,SmalliconAtlas,skill_hp,12003,32,76200,200,
15,生命上限,hp上限数值,SmalliconAtlas,skill_hp,12004,7,1440000,100,1
16,生命恢复,生命恢复,SmalliconAtlas,skill_hp,12004,32,100000,200,
17,魔法上限,mp上限数值,SmalliconAtlas,skill_mp,13001,11,130000,100,1
18,魔法上限,mp上限数值,SmalliconAtlas,skill_mp,13002,11,229000,100,1
19,魔法上限,mp上限数值,SmalliconAtlas,skill_mp,13003,11,328000,100,1
20,魔法上限,mp上限数值,SmalliconAtlas,skill_mp,13004,11,430000,100,1
21,生命上限,hp上限数值,SmalliconAtlas,skill_hp,14001,7,430000,100,1
22,攻击力,攻击,SmalliconAtlas,skill_atk,14001,1,50000,100,1
23,命中,命中百分比,SmalliconAtlas,skill_hit,14001,14,450,200,1
