INDEX,NAME,BASE_SHOW,NUM,FRAGMENT_1,FRAGMENT_2,FRAGMENT_3,FRAGMENT_4,FRAGMENT_5,FRAGMENT_6
INT,STRING,INT,INT,INT,INT,INT,INT,INT,INT
15001,紫云障,1,3,17001,17002,17003,0,0,0
15002,神木塔,1,3,17004,17005,17006,0,0,0
15003,金乌神鼓,0,4,17007,17008,17009,17010,0,0
15004,冰魄寒光卷,0,4,17011,17012,17013,17014,0,0
15005,五火神雷伞,0,5,17015,17016,17017,17018,17019,0
15006,天火灵幡,0,5,17020,17021,17022,17023,17024,0
15101,雪魂钟,1,3,17025,17026,17027,0,0,0
15102,天蝉灵叶,1,3,17028,17029,17030,0,0,0
15103,玄女琴,0,4,17031,17032,17033,17034,0,0
15104,天心樽,0,4,17035,17036,17037,17038,0,0
15105,九疑鼎,0,5,17039,17040,17041,17042,17043,0
15106,天蓝神砂,0,5,17044,17045,17046,17047,17048,0
15202,经验神器中,0,3,17049,17050,17051,0,0,0
15203,经验神器大,0,4,17052,17053,17054,17055,0,0
