INDEX,LEVEL_UP_EXP_1,TOTAL_EXP_1,LEVEL_UP_EXP_2,TOTAL_EXP_2,LEVEL_UP_EXP_3,TOTAL_EXP_3,LEVEL_UP_EXP_4,TOTAL_EXP_4,LEVEL_UP_EXP_5,TOTAL_EXP_5,LEVEL_UP_EXP_6,TOTAL_EXP_6,LEVEL_UP_EXP_7,TOTAL_EXP_7
INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
0,5,0,10,0,20,0,25,0,30,0,40,0,40,0
1,10,5,20,10,40,20,50,25,60,30,80,40,80,40
2,15,15,30,30,60,60,75,75,90,90,120,120,120,120
3,25,30,50,60,100,120,125,150,150,180,200,240,200,240
4,40,55,80,110,160,220,200,275,240,330,320,440,320,440
5,55,95,110,190,220,380,275,475,330,570,440,760,440,760
6,70,150,140,300,280,600,350,750,420,900,560,1200,560,1200
7,90,220,180,440,360,880,450,1100,540,1320,720,1760,720,1760
8,115,310,230,620,460,1240,575,1550,690,1860,920,2480,920,2480
9,140,425,280,850,560,1700,700,2125,840,2550,1120,3400,1120,3400
10,170,565,340,1130,680,2260,850,2825,1020,3390,1360,4520,1360,4520
11,200,735,400,1470,800,2940,1000,3675,1200,4410,1600,5880,1600,5880
12,235,935,470,1870,940,3740,1175,4675,1410,5610,1880,7480,1880,7480
13,270,1170,540,2340,1080,4680,1350,5850,1620,7020,2160,9360,2160,9360
14,310,1440,620,2880,1240,5760,1550,7200,1860,8640,2480,11520,2480,11520
15,350,1750,700,3500,1400,7000,1750,8750,2100,10500,2800,14000,2800,14000
16,395,2100,790,4200,1580,8400,1975,10500,2370,12600,3160,16800,3160,16800
17,440,2495,880,4990,1760,9980,2200,12475,2640,14970,3520,19960,3520,19960
18,490,2935,980,5870,1960,11740,2450,14675,2940,17610,3920,23480,3920,23480
19,545,3425,1090,6850,2180,13700,2725,17125,3270,20550,4360,27400,4360,27400
20,600,3970,1200,7940,2400,15880,3000,19850,3600,23820,4800,31760,4800,31760
21,660,4570,1320,9140,2640,18280,3300,22850,3960,27420,5280,36560,5280,36560
22,720,5230,1440,10460,2880,20920,3600,26150,4320,31380,5760,41840,5760,41840
23,785,5950,1570,11900,3140,23800,3925,29750,4710,35700,6280,47600,6280,47600
24,850,6735,1700,13470,3400,26940,4250,33675,5100,40410,6800,53880,6800,53880
25,920,7585,1840,15170,3680,30340,4600,37925,5520,45510,7360,60680,7360,60680
26,990,8505,1980,17010,3960,34020,4950,42525,5940,51030,7920,68040,7920,68040
27,1065,9495,2130,18990,4260,37980,5325,47475,6390,56970,8520,75960,8520,75960
28,1140,10560,2280,21120,4560,42240,5700,52800,6840,63360,9120,84480,9120,84480
29,1220,11700,2440,23400,4880,46800,6100,58500,7320,70200,9760,93600,9760,93600
30,1300,12920,2600,25840,5200,51680,6500,64600,7800,77520,10400,103360,10400,103360
31,1385,14220,2770,28440,5540,56880,6925,71100,8310,85320,11080,113760,11080,113760
32,1475,15605,2950,31210,5900,62420,7375,78025,8850,93630,11800,124840,11800,124840
33,1565,17080,3130,34160,6260,68320,7825,85400,9390,102480,12520,136640,12520,136640
34,1660,18645,3320,37290,6640,74580,8300,93225,9960,111870,13280,149160,13280,149160
35,1755,20305,3510,40610,7020,81220,8775,101525,10530,121830,14040,162440,14040,162440
36,1855,22060,3710,44120,7420,88240,9275,110300,11130,132360,14840,176480,14840,176480
37,1955,23915,3910,47830,7820,95660,9775,119575,11730,143490,15640,191320,15640,191320
38,2060,25870,4120,51740,8240,103480,10300,129350,12360,155220,16480,206960,16480,206960
39,2165,27930,4330,55860,8660,111720,10825,139650,12990,167580,17320,223440,17320,223440
40,2275,30095,4550,60190,9100,120380,11375,150475,13650,180570,18200,240760,18200,240760
41,2385,32370,4770,64740,9540,129480,11925,161850,14310,194220,19080,258960,19080,258960
42,2500,34755,5000,69510,10000,139020,12500,173775,15000,208530,20000,278040,20000,278040
43,2620,37255,5240,74510,10480,149020,13100,186275,15720,223530,20960,298040,20960,298040
44,2740,39875,5480,79750,10960,159500,13700,199375,16440,239250,21920,319000,21920,319000
45,2860,42615,5720,85230,11440,170460,14300,213075,17160,255690,22880,340920,22880,340920
46,2985,45475,5970,90950,11940,181900,14925,227375,17910,272850,23880,363800,23880,363800
47,3115,48460,6230,96920,12460,193840,15575,242300,18690,290760,24920,387680,24920,387680
48,3245,51575,6490,103150,12980,206300,16225,257875,19470,309450,25960,412600,25960,412600
49,3380,54820,6760,109640,13520,219280,16900,274100,20280,328920,27040,438560,27040,438560
