INT,INT,STRING,STRING,STRING
INDEX,IMAGE_TYPE,IMAGE_PATH,IMAGE_ATLAS,IMAGE_SPRITE
1001,0,textures/cutsence/Prg_Storyboard01,,
1002,0,textures/cutsence/Prg_Storyboard02,,
1003,0,textures/cutsence/Prg_Storyboard03,,
1004,0,textures/cutsence/Prg_Storyboard04,,
1005,0,textures/cutsence/Prg_Storyboard05,,
1101,0,textures/cutsence/Prg_Effect01,,
1102,0,textures/cutsence/Prg_Effect02,,
1103,0,textures/cutsence/Prg_Effect03,,
1104,0,textures/cutsence/Prg_Effect04,,
1105,0,textures/cutsence/Prg_Effect05,,
1106,0,textures/cutsence/Prg_Effect06,,
1107,0,textures/cutsence/Prg_Effect07,,
1108,0,textures/cutsence/Prg_Effect08,,
1109,0,textures/cutsence/Prg_Effect09,,
1110,0,textures/cutsence/Prg_Effect10,,
1111,0,textures/cutsence/Prg_Effect11,,
1112,0,textures/cutsence/Prg_Effect12,,
1201,0,textures/cutsence/Prg_Text01,,
1202,0,textures/cutsence/Prg_Text02,,
1203,0,textures/cutsence/Prg_Text03,,
1204,0,textures/cutsence/Prg_Text04,,
1205,0,textures/cutsence/Prg_Text05,,
1206,0,textures/cutsence/Prg_Text06,,
1207,0,textures/cutsence/Prg_Text07,,
1208,0,textures/cutsence/Prg_Text08,,
1209,0,textures/cutsence/Prg_Text09,,
1210,0,textures/cutsence/Prg_Text10,,
1211,0,textures/cutsence/Prg_Text11,,
1212,0,textures/cutsence/Prg_Text12,,
1213,0,textures/cutsence/Prg_Text13,,
1214,0,textures/cutsence/Prg_Text14,,
1215,0,textures/cutsence/Prg_Text15,,
1216,0,textures/cutsence/Prg_Text16,,
1217,0,textures/cutsence/Prg_Text17,,
1218,0,textures/cutsence/Prg_Text18,,
