INDEX,LIST_ID,STAGE_ID,STAGETYPE,EVENTIMG,EVENTBARIMG,STAGEDIFFICULTY,DESC
INT,INT,INT,INT,STRING,STRING,INT,STRING
1001,100,24061,0,textures/EventStage/ui_zhanshi_money,textures/EventStage/ui_huodongneirong_jingqian1,1,银两
1002,100,24062,0,textures/EventStage/ui_zhanshi_money,textures/EventStage/ui_huodongneirong_jingqian2,2,银两
1003,100,24063,0,textures/EventStage/ui_zhanshi_money,textures/EventStage/ui_huodongneirong_jingqian3,3,银两
1004,100,24064,0,textures/EventStage/ui_zhanshi_money,textures/EventStage/ui_huodongneirong_jingqian3,4,银两
2001,101,24011,1,textures/EventStage/ui_zhanshi_exp,textures/EventStage/ui_huodongneirong_jy_green,2,黄金经验宝物
2002,101,24012,1,textures/EventStage/ui_zhanshi_exp,textures/EventStage/ui_huodongneirong_jy_green,3,黄金经验宝物
2003,101,24013,1,textures/EventStage/ui_zhanshi_exp,textures/EventStage/ui_huodongneirong_jy_green,4,黄金经验宝物
2004,101,24014,1,textures/EventStage/ui_zhanshi_exp,textures/EventStage/ui_huodongneirong_jy_green,5,黄金经验宝物
2005,101,24021,1,textures/EventStage/ui_zhanshi_exp,textures/EventStage/ui_huodongneirong_jy_red,2,金龙宝宝
2006,101,24022,1,textures/EventStage/ui_zhanshi_exp,textures/EventStage/ui_huodongneirong_jy_red,3,金龙宝宝
2007,101,24023,1,textures/EventStage/ui_zhanshi_exp,textures/EventStage/ui_huodongneirong_jy_red,4,金龙宝宝
2008,101,24024,1,textures/EventStage/ui_zhanshi_exp,textures/EventStage/ui_huodongneirong_jy_red,5,金龙宝宝
2009,101,24031,1,textures/EventStage/ui_zhanshi_exp,textures/EventStage/ui_huodongneirong_jy_blue,2,极品精炼仙露
2010,101,24032,1,textures/EventStage/ui_zhanshi_exp,textures/EventStage/ui_huodongneirong_jy_blue,3,极品精炼仙露
2011,101,24033,1,textures/EventStage/ui_zhanshi_exp,textures/EventStage/ui_huodongneirong_jy_blue,4,极品精炼仙露
2012,101,24034,1,textures/EventStage/ui_zhanshi_exp,textures/EventStage/ui_huodongneirong_jy_blue,5,极品精炼仙露
2013,101,24041,1,textures/EventStage/ui_zhanshi_exp,textures/EventStage/ui_huodongneirong_jy_gold,2,宝物精炼石
2014,101,24042,1,textures/EventStage/ui_zhanshi_exp,textures/EventStage/ui_huodongneirong_jy_gold,3,宝物精炼石
2015,101,24043,1,textures/EventStage/ui_zhanshi_exp,textures/EventStage/ui_huodongneirong_jy_gold,4,宝物精炼石
2016,101,24044,1,textures/EventStage/ui_zhanshi_exp,textures/EventStage/ui_huodongneirong_jy_gold,5,宝物精炼石
2017,101,24051,1,textures/EventStage/ui_zhanshi_exp,textures/EventStage/ui_huodongneirong_jy_shadow,2,突破石
2018,101,24052,1,textures/EventStage/ui_zhanshi_exp,textures/EventStage/ui_huodongneirong_jy_shadow,3,突破石
2019,101,24053,1,textures/EventStage/ui_zhanshi_exp,textures/EventStage/ui_huodongneirong_jy_shadow,4,突破石
2020,101,24054,1,textures/EventStage/ui_zhanshi_exp,textures/EventStage/ui_huodongneirong_jy_shadow,5,突破石
3001,102,25011,2,textures/ad2,textures/EventStage/ui_huodongneirong_mj_green,5,木第1关简单
3002,102,25012,2,textures/ad2,textures/EventStage/ui_huodongneirong_mj_red,5,木第1关普通
3003,102,25013,2,textures/ad2,textures/EventStage/ui_huodongneirong_mj_blue,5,木第1关困难
3004,102,25021,2,textures/ad2,textures/EventStage/ui_huodongneirong_mj_gold,5,火第2关简单
3005,102,25022,2,textures/ad2,textures/EventStage/ui_huodongneirong_mj_shadow,5,火第2关普通
3006,102,25023,2,textures/ad2,textures/EventStage/ui_huodongneirong_mj_shadow,5,火第2关困难
3007,102,25031,2,textures/ad2,textures/EventStage/ui_huodongneirong_mj_shadow,5,水第3关简单
3008,102,25032,2,textures/ad2,textures/EventStage/ui_huodongneirong_mj_shadow,5,水第3关普通
3009,102,25033,2,textures/ad2,textures/EventStage/ui_huodongneirong_mj_shadow,5,水第3关困难
3010,102,25041,2,textures/ad2,textures/EventStage/ui_huodongneirong_mj_shadow,5,阳第4关简单
3011,102,25042,2,textures/ad2,textures/EventStage/ui_huodongneirong_mj_shadow,5,阳第4关普通
3012,102,25043,2,textures/ad2,textures/EventStage/ui_huodongneirong_mj_shadow,5,阳第4关困难
3013,102,25051,2,textures/ad2,textures/EventStage/ui_huodongneirong_mj_shadow,5,阴第5关简单
